,https://roic.ai/company/AZRE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,881345000,1124138000,2626148000,4182985000,7700600000,9926209000,12958000000,15236000000
2,COGS,52491000,79816000,190648000,375787000,691947000,868963000,1146000000,1261000000
3,Gross Profit,828854000,1044322000,2435500000,3807198000,7008653000,9057246000,11812000000,13975000000
4,Gross Profit Ratio,0.9404,0.9290,0.9274,0.9102,0.9101,0.9125,0.9116,0.9172
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,235300000,425952000,672841000,797161000,1187379000,1313765000,2434000000,2988000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",235300000,425952000,672841000,797161000,1187379000,1313765000,2434000000,2988000000
9,Other Expenses,252352000,322430000,687781000,1046565000,1882451000,2137133000,2860000000,3202000000
10,Operating Expenses,487652000,748382000,1360622000,1843726000,3069830000,3450898000,5294000000,6190000000
11,COGS and Expenses,540143000,828198000,1551270000,2219513000,3761777000,4319861000,6440000000,7451000000
12,Interest Income ,111842000,153891000,221565000,320082000,508708000,932176000,564000000,587000000
13,Interest Expense (Gain),645121000,999630000,2325776000,2763992000,5844184000,5953638000,8526000000,8997000000
14,Depreciation and Amortization,252352000,322430000,687781000,1046565000,1882451000,2137133000,2860000000,3202000000
15,EBITDA,164825000,492177000,1691113000,3530245000,6653071000,8321982000,9606000000,8289000000
16,EBITDA ratio,0.1870,0.4378,0.6440,0.8440,0.8640,0.8384,0.7413,0.5440
17,Operating Income,341202000,295940000,1074878000,1963472000,3938823000,5606348000,6518000000,4530000000
18,Operating Income ratio,0.3871,0.2633,0.4093,0.4694,0.5115,0.5648,0.5030,0.2973
19,Total Other Income Expenses (Gains),-1100785000,-1131418000,-2401973000,-2262708000,-5213934000,-5315043000,-8366000000,-8435000000
20,Income Before Tax,-759583000,-835478000,-1327095000,-299236000,-1275111000,291305000,-1848000000,-3905000000
21,Income Before Tax Ratio,-0.8618,-0.7432,-0.5053,-0.0715,-0.1656,0.0293,-0.1426,-0.2563
22,Income Tax expense (Gain),15847000,253112000,327745000,892333000,-252882000,152812000,489000000,296000000
23,Net Income,-748495000,-1082995000,-1650189000,-1172645000,-820682000,78399000,-2269000000,-4206000000
24,Net Income ratio,-0.8493,-0.9634,-0.6284,-0.2803,-0.1066,0.0079,-0.1751,-0.2761
25,EPS,-66.05,-108.88,-62.00,-111.00,-32.00,2.37,-52.71,-87.66
26,EPS Diluted,-66.05,-108.88,-62.00,-111.00,-32.00,2.31,-52.71,-87.66
27,Weighted Average Shares Outstanding,16882318,16882318,16284844,13040618,25974111,33063832,43048026,47979581
28,Weighted Average Shares Outstanding Diluted,16882318,16882318,16284844,13040618,25974111,33968127,43048026,47979581
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633438/000119312517206393/0001193125-17-206393-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000119312518194556/0001193125-18-194556-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000156459019022105/0001564590-19-022105-index.html,- -,https://www.sec.gov/Archives/edgar/data/1633438/000156459021005286/0001564590-21-005286-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1599067000,2044290000,3090386000,5460670000,8346526000,10537581000,9792000000,11107000000
32,Short-Term Investments,- -,- -,- -,3296797000,1383573000,7408000,- -,- -
33,Cash and Short-Term Investments,1599067000,2044290000,3090386000,8757467000,9730099000,10544989000,9792000000,11107000000
34,Net Receivables,190915000,248493000,584487000,1201957000,2474728000,3549921000,4692000000,5192000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,157709000,1043453000,1362833000,4061622000,3269778000,3305296000,6260000000,10067000000
37,Total Current Assets,1947691000,3336236000,5037706000,14021046000,15474605000,17400206000,20744000000,26366000000
38,PP&E,6033617000,15145674000,24381429000,40942608000,56580701000,83444529000,100427000000,113061000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,5332000,95220000,105875000,129450000,153011000,393445000,55000000,29000000
41,Intangible Assets,5332000,95220000,105875000,129450000,153011000,393445000,55000000,29000000
42,Investments,- -,- -,6785000,6631000,7041000,- -,7000000,7000000
43,Tax Assets,69394000,4460000,34661000,31429000,1052393000,2406525000,2205000000,1748000000
44,Other Non-Current Assets,1218119000,1342118000,1762557000,2362801000,716370000,5219055000,8963000000,7254000000
45,Total Non-Current Assets,7326462000,16587472000,26291307000,43472919000,58509516000,91463554000,111657000000,122099000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9274153000,19923708000,31329013000,57493965000,73984121000,108863760000,132401000000,148465000000
48,Accounts Payable,16656000,971467000,1899488000,3618251000,1521854000,3477382000,1795000000,4294000000
49,Short-Term Debt,1909456000,2254344000,5750696000,4015046000,1708883000,10113838000,3534000000,13884000000
50,Tax Payable,11296000,115945000,45215000,232420000,5878000,93688000,50000000,46000000
51,Deferred Revenue,- -,- -,80201000,79937000,79192000,99065000,110000000,110000000
52,Other Current Liabilities,117166000,447090000,385824000,906206000,1837939000,3314984000,3786000000,5775000000
53,Total Current Liabilities,2043278000,3672901000,8116209000,8619440000,5147868000,17005269000,9225000000,24063000000
54,Long-Term Debt,7111393000,15478509000,18776128000,31142762000,52234940000,61658403000,90178000000,93281000000
55,Deferred Revenue,232403000,317702000,1190142000,1383691000,1563732000,1800155000,2129000000,2353000000
56,Deferred Tax Liabilities,71196000,117661000,470048000,1078255000,892138000,2053808000,2622000000,2046000000
57,Other Non-Current Liabilities,39616000,89572000,480991000,742958000,869993000,948874000,1030000000,2270000000
58,Total Non-Current Liabilities,7454608000,16003444000,20917309000,34347666000,55560803000,66461240000,95959000000,99950000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,3848000000,3642000000
61,Total Liabilities,9497886000,19676345000,29033518000,42967106000,60708671000,83466509000,105184000000,124013000000
62,Preferred Stock,2385725000,4689942000,9733272000,- -,- -,- -,- -,- -
63,Common Stock,68000,68000,68000,1073000,1076000,1773000,2000000,2000000
64,Retained Earnings,-1745307000,-2828302000,-4508156000,-5723420000,-6593471000,-6311095000,-8580000000,-12786000000
65,Other Comprehensive Income/Loss,20012000,23192000,28807000,40326000,-294672000,-747545000,-1937000000,-972000000
66,Other Total Stockholders Equity,-894401000,-1642112000,-2958166000,18904151000,19004604000,32186606000,37533000000,38004000000
67,Total Stockholders Equity,-233903000,242788000,2295825000,13222130000,12117537000,25129739000,27018000000,24248000000
68,Total Liabilities And Stockholders Equity,9263983000,19919133000,31329343000,56189236000,72826208000,108596248000,132202000000,148261000000
69,Minority Interest,10170000,4575000,-330000,1304729000,1157913000,267512000,199000000,204000000
70,Total Liabilities & Equity,9274153000,19923708000,31329013000,57493965000,73984121000,108863760000,132401000000,148465000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633438/000119312517206393/0001193125-17-206393-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000119312518194556/0001193125-18-194556-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000156459019022105/0001564590-19-022105-index.html,- -,https://www.sec.gov/Archives/edgar/data/1633438/000156459021005286/0001564590-21-005286-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-748495000,-1082995000,-1650189000,-1172645000,-820682000,78399000,-2269000000,-4206000000
74,Depreciation and Amortization,252352000,322430000,687781000,1046565000,1882451000,2137133000,2860000000,3202000000
75,Deferred Income Tax,-19528000,61179000,299078000,383250000,-655229000,-507642000,149000000,-329000000
76,Stock Based Compensation,4419000,7428000,51732000,13774000,25060000,82699000,186000000,1001000000
77,Change in Working Capital,-264837000,-91729000,267192000,-440028000,-417736000,-1519315000,-39000000,-838000000
78,Accounts Receivable,-35962000,-72677000,-353277000,-581850000,-1168931000,-1123829000,-1390000000,-874000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-29133000,-102863000,126754000,18902000,124265000,-34778000,236000000,-176000000
81,Other Working Capital,86297000,85299000,952641000,193285000,179296000,398845000,340000000,224000000
82,Other Non-Cash Items,752688000,607007000,1078274000,141894000,1825261000,1844642000,2791000000,6147000000
