,https://roic.ai/company/HOOK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,7629000,11942000,19584000,18448000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,19584000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,9772000,21965000,46312000,54787000,-82853000
6,General and Administrative Exp.,4385000,6844000,16715000,18082000,-17269000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4385000,6844000,16715000,18082000,-17269000
9,Other Expenses,- -,- -,-6737000,-6517000,- -
10,Operating Expenses,14157000,28809000,56290000,66352000,-100122000
11,COGS and Expenses,12088000,23197000,56290000,66352000,- -
12,Interest Income ,- -,- -,1587000,400000,27000
13,Interest Expense (Gain),606000,778000,877000,786000,-898000
14,Depreciation and Amortization,398000,640000,1443000,4150000,- -
15,EBITDA,-11715000,-14795000,-40717000,-39146000,-76564000
16,EBITDA ratio,-Infinity,-1.9393,-3.4096,-1.9989,-4.1503
17,Operating Income,-14157000,-21180000,-51085000,-53285000,-81674000
18,Operating Income ratio,-Infinity,-2.7762,-4.2778,-2.7208,-4.4273
19,Total Other Income Expenses (Gains),1438000,4967000,8048000,9203000,6008000
20,Income Before Tax,-12719000,-16213000,-43037000,-44082000,-75666000
21,Income Before Tax Ratio,-Infinity,-2.1252,-3.6038,-2.2509,-4.1016
22,Income Tax expense (Gain),4000,24000,- -,- -,-1000
23,Net Income,-12723000,-16237000,-43037000,-44082000,-75665000
24,Net Income ratio,-Infinity,-2.1283,-3.6038,-2.2509,-4.1015
25,EPS,-0.78,-0.99,-2.41,-1.69,-2.79
26,EPS Diluted,-0.78,-0.99,-2.41,-1.69,-2.79
27,Weighted Average Shares Outstanding,16324008,16324008,17859935,26084024,27119565
28,Weighted Average Shares Outstanding Diluted,16324008,16324008,17859935,26084024,27119565
