,https://roic.ai/company/LQDT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,44463000,60719000,75869000,89415000,147813000,198620000,263941000,236283000,286791000,327378000,475304000,505856000,495661000,397125000,316454000,270015000,224514000,226525000,205940000,257531000
2,COGS,- -,4481000,5743000,6288000,12160000,47043000,71303000,86591000,119150000,126395000,198123000,199494000,211659000,166009000,143127000,126227000,100087000,102414000,96016000,107678000
3,Gross Profit,- -,56238000,70126000,83127000,135653000,151577000,192638000,149692000,167641000,200983000,277181000,306362000,284002000,231116000,173327000,143788000,124427000,124111000,109924000,149853000
4,Gross Profit Ratio,- -,0.9262,0.9243,0.9297,0.9177,0.7632,0.7299,0.6335,0.5845,0.6139,0.5832,0.6056,0.5730,0.5820,0.5477,0.5325,0.5542,0.5479,0.5338,0.5819
5,Research and Development Exp.,- -,- -,12814000,14696000,20081000,33417000,41512000,46479000,49032000,52178000,67553000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,101187000,30104000,38520000,67867000,67760000,75802000,80349000,174946000,193423000,169254000,144336000,118823000,90944000,85843000,71324000,76611000
7,Selling and Marketing Exp.,- -,3798000,- -,- -,- -,- -,- -,18253000,21250000,23279000,31252000,40170000,41951000,41465000,37570000,54509000,48418000,47534000,35629000,37635000
8,"Selling, General and Administrative Exp.",- -,3798000,- -,- -,101187000,30104000,38520000,86120000,89010000,99081000,111601000,215116000,235374000,210719000,181906000,173332000,139362000,133377000,106953000,114246000
9,Other Expenses,- -,48922000,50881000,62573000,1540000,71753000,94002000,3929000,4937000,5694000,14166000,17374000,16595000,9235000,6502000,9447000,5991000,10140000,6863000,6975000
10,Operating Expenses,- -,52720000,63695000,77269000,122808000,135274000,174034000,136528000,142979000,156953000,193320000,232490000,251969000,219954000,188408000,182779000,145353000,143517000,113816000,121221000
11,COGS and Expenses,- -,57201000,69438000,83557000,134968000,182317000,245337000,223119000,262129000,283348000,391443000,431984000,463628000,385963000,331535000,309006000,245440000,245931000,209832000,228899000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,516000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,924000,411000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1190000,2218000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1862000,570000,765000,1554000,2115000,2895000,3929000,4937000,5694000,14166000,17374000,16595000,9235000,6502000,5796000,4599000,5091000,6290000,6969000
15,EBITDA,1324000,4989000,6380000,6053000,14829000,20594000,22994000,17609000,29144000,30855000,96332000,86029000,66642000,-135151000,-26399000,-33842000,-16344000,-12969000,3317000,34548000
16,EBITDA ratio,0.0298,0.0822,0.0841,0.0677,0.1003,0.1037,0.0871,0.0745,0.1016,0.0942,0.2027,0.1701,0.1345,-0.3403,-0.0834,-0.1253,-0.0728,-0.0573,0.0161,0.1342
17,Operating Income,1493000,3518000,6431000,5858000,12845000,16303000,18604000,13164000,24138000,37328000,82166000,67951000,50417000,-144215000,-34118000,-40000000,-21393000,-19508000,-3897000,27168000
18,Operating Income ratio,0.0336,0.0579,0.0848,0.0655,0.0869,0.0821,0.0705,0.0557,0.0842,0.1140,0.1729,0.1343,0.1017,-0.3631,-0.1078,-0.1481,-0.0953,-0.0861,-0.0189,0.1055
19,Total Other Income Expenses (Gains),-169000,-391000,-621000,-570000,430000,2176000,1495000,516000,69000,-1190000,-2218000,704000,-370000,-171000,1217000,362000,450000,1448000,924000,411000
20,Income Before Tax,1324000,3127000,5810000,5288000,13275000,18479000,20099000,13680000,24207000,36138000,79948000,68655000,50047000,-144386000,-32901000,-39638000,-20943000,-18060000,-2973000,27579000
21,Income Before Tax Ratio,0.0298,0.0515,0.0766,0.0591,0.0898,0.0930,0.0761,0.0579,0.0844,0.1104,0.1682,0.1357,0.1010,-0.3636,-0.1040,-0.1468,-0.0933,-0.0797,-0.0144,0.1071
22,Income Tax expense (Gain),- -,351000,541000,1166000,5294000,7460000,8546000,7961000,12194000,15459000,31652000,27551000,19657000,-39571000,27025000,-451000,-9328000,1200000,801000,-23370000
23,Net Income,1324000,2776000,5269000,4122000,7981000,11019000,11553000,5719000,12013000,8512000,48296000,41104000,30390000,-104815000,-59926000,-39187000,-11615000,-19260000,-3774000,50949000
24,Net Income ratio,0.0298,0.0457,0.0694,0.0461,0.0540,0.0555,0.0438,0.0242,0.0419,0.0260,0.1016,0.0813,0.0613,-0.2639,-0.1894,-0.1451,-0.0517,-0.0850,-0.0183,0.1978
25,EPS,0.10,0.19,0.31,0.22,0.33,0.40,0.41,0.21,0.44,0.31,1.57,1.30,0.97,-3.50,-1.96,-1.25,-0.36,-0.58,-0.11,1.53
26,EPS Diluted,0.07,0.17,0.29,0.18,0.31,0.39,0.41,0.21,0.44,0.29,1.47,1.26,0.97,-3.50,-1.96,-1.25,-0.36,-0.58,-0.11,1.45
27,Weighted Average Shares Outstanding,13561073,14428121,16865313,18736364,24080780,27768679,27964748,27699223,27098016,27736865,30854796,31616926,31243932,29987985,30638163,31402921,32095491,33062976,33612263,33333557
28,Weighted Average Shares Outstanding Diluted,18107552,16124927,18280366,22900000,26087809,28146923,28151878,27846693,27406883,29081933,32783079,32657236,31395301,29987985,30638163,31402921,32095491,33062976,33612263,35024108
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1235468/000110465906083372/a06-25894_110k.htm,https://www.sec.gov/Archives/edgar/data/1235468/000104746907009840/0001047469-07-009840-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746908012900/0001047469-08-012900-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746909010688/0001047469-09-010688-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746910010322/0001047469-10-010322-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746911010022/0001047469-11-010022-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746912010864/0001047469-12-010864-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746913010744/0001047469-13-010744-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746914009487/0001047469-14-009487-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746915008919/0001047469-15-008919-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746916016885/0001047469-16-016885-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000162828017012164/0001628280-17-012164-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546818000007/0001235468-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546819000042/0001235468-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546820000206/0001235468-20-000206-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,5510000,10378000,54359000,39954000,51954000,33538000,43378000,128984000,104782000,95109000,62598000,95465000,134513000,94348000,58448000,36497000,76036000,106335000
32,Short-Term Investments,- -,- -,6668000,- -,12289000,21655000,11244000,30616000,33405000,- -,- -,- -,- -,- -,- -,- -,20000000,30000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,12178000,10378000,66648000,61609000,63198000,64154000,76783000,128984000,104782000,95109000,62598000,95465000,134513000,94348000,78448000,66497000,76036000,106335000
34,Net Receivables,- -,- -,1939000,685000,2557000,5098000,4658000,4243000,4475000,6049000,16226000,24050000,21688000,39685000,11560000,14064000,6597000,9235000,6974000,5866000
35,Inventory,- -,- -,866000,1934000,4704000,16467000,13327000,14280000,17321000,15065000,20669000,29261000,78478000,25510000,27610000,20736000,10122000,5843000,5607000,12468000
36,Other Current Assets,- -,- -,555000,1588000,2002000,5486000,7653000,8705000,10122000,21155000,20900000,16045000,21933000,27729000,11229000,9774000,7816000,8350000,5962000,7173000
37,Total Current Assets,- -,- -,15538000,14585000,75911000,88660000,88836000,91382000,108701000,171253000,162577000,164465000,184697000,188389000,184912000,138922000,102983000,89925000,94579000,131842000
38,PP&E,- -,- -,1052000,1000000,2362000,4202000,4730000,6147000,6781000,7042000,10382000,10380000,12283000,13356000,14376000,16793000,16610000,18846000,28404000,31112000
39,Goodwill,- -,- -,- -,- -,3678000,11446000,34696000,33738000,39831000,40549000,185771000,211711000,209656000,64073000,45134000,45388000,59819000,59467000,59839000,59872000
40,Intangible Assets,- -,- -,- -,9351000,4909000,4568000,5561000,4203000,3057000,2993000,34204000,28205000,17099000,4051000,2650000,427000,7366000,6043000,4758000,3453000
41,Intangible Assets,- -,- -,- -,9351000,8587000,16014000,40257000,37941000,42888000,43542000,219975000,239916000,226755000,68124000,47784000,45815000,67185000,65510000,64597000,63325000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5871000,1021000,962000,930000,866000,806000,23822000
44,Other Non-Current Assets,- -,- -,1121000,1077000,1178000,2266000,3344000,3118000,6534000,5970000,7474000,6583000,7983000,12748000,12016000,12737000,14124000,12136000,8248000,5475000
45,Total Non-Current Assets,- -,- -,2173000,11428000,12127000,22482000,48331000,47206000,56203000,56554000,237831000,256879000,247021000,100099000,75197000,76307000,98849000,97358000,102055000,123734000
46,Other Assets,11113000,13715000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11113000,13715000,17711000,26013000,88038000,111142000,137167000,138588000,164904000,227807000,400408000,421344000,431718000,288488000,260109000,215229000,201832000,187283000,196634000,255576000
48,Accounts Payable,- -,- -,992000,924000,2073000,3333000,8303000,5456000,8605000,8590000,9997000,16539000,15994000,9500000,9732000,37482000,42828000,35304000,48127000,74324000
49,Short-Term Debt,- -,- -,404000,553000,79000,18000,22000,56000,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,3818000,4250000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2142000,3049000,3255000,4624000
52,Other Current Liabilities,- -,- -,7121000,8954000,19677000,23547000,29467000,26075000,40033000,50976000,89386000,68637000,90768000,59664000,75756000,33274000,23501000,30469000,19124000,25975000
53,Total Current Liabilities,- -,- -,8517000,10431000,21829000,26898000,37792000,31587000,48638000,59566000,109383000,85176000,106762000,69164000,85488000,70756000,68471000,68822000,74324000,109173000
54,Long-Term Debt,- -,- -,1594000,3906000,42000,29000,44000,- -,- -,- -,32000000,- -,- -,- -,- -,- -,- -,- -,- -,10098000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2937000,3892000,2087000,9022000,2899000,- -,3322000,12010000,11837000,3707000,2286000,2996000,1290000
57,Other Non-Current Liabilities,- -,- -,546000,733000,415000,2181000,2961000,82000,- -,4741000,- -,18390000,7973000,- -,- -,- -,- -,- -,7499000,- -
58,Total Non-Current Liabilities,- -,- -,2140000,4639000,457000,2210000,3005000,3019000,3892000,6828000,41022000,21289000,7973000,3322000,12010000,11837000,3707000,2286000,10495000,11388000
59,Other Liabilities,10362000,9984000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,159000,44000,2000,5000,- -,138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11317000,14348000
61,Total Liabilities,10362000,9984000,10657000,15070000,22286000,29108000,40797000,34606000,52530000,66394000,150405000,106465000,114735000,72486000,97498000,82593000,72178000,71108000,84819000,120561000
62,Preferred Stock,- -,- -,3000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,16000,19000,19000,27000,28000,28000,28000,27000,29000,31000,31000,28000,29000,29000,29000,33000,34000,34000,35000
64,Retained Earnings,- -,- -,-2589000,1533000,9514000,20533000,32086000,37805000,49818000,58330000,66365000,107469000,115702000,10887000,-49039000,-88226000,-100045000,-118572000,-122346000,-71398000
65,Other Comprehensive Income/Loss,- -,- -,-1650000,-24000,247000,653000,-1717000,-3618000,-4645000,52000,1246000,518000,-3451000,-5626000,-8571000,-6431000,-6449000,-7973000,-9782000,-9011000
66,Other Total Stockholders Equity,751000,3715000,11271000,9412000,55964000,60820000,65973000,69767000,67174000,103002000,182361000,206861000,204704000,210712000,220192000,227264000,236115000,242686000,243909000,- -
67,Total Stockholders Equity,751000,3731000,7054000,10943000,65752000,82034000,96370000,103982000,112374000,161413000,250003000,314879000,316983000,216002000,162611000,132636000,129654000,116175000,111815000,135015000
68,Total Liabilities And Stockholders Equity,11113000,13715000,17711000,26013000,88038000,111142000,137167000,138588000,164904000,227807000,400408000,421344000,431718000,288488000,260109000,215229000,201832000,187283000,196634000,255576000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11113000,13715000,17711000,26013000,88038000,111142000,137167000,138588000,164904000,227807000,400408000,421344000,431718000,288488000,260109000,215229000,201832000,187283000,196634000,255576000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1235468/000110465906083372/a06-25894_110k.htm,https://www.sec.gov/Archives/edgar/data/1235468/000104746907009840/0001047469-07-009840-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746908012900/0001047469-08-012900-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746909010688/0001047469-09-010688-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746910010322/0001047469-10-010322-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746911010022/0001047469-11-010022-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746912010864/0001047469-12-010864-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746913010744/0001047469-13-010744-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746914009487/0001047469-14-009487-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746915008919/0001047469-15-008919-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746916016885/0001047469-16-016885-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000162828017012164/0001628280-17-012164-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546818000007/0001235468-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546819000042/0001235468-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546820000206/0001235468-20-000206-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5269000,4122000,7981000,11019000,11553000,5719000,12013000,8512000,48296000,41104000,30390000,-104815000,-59926000,-39187000,-11615000,-19260000,-3774000,50949000
74,Depreciation and Amortization,- -,- -,570000,765000,1554000,2115000,2895000,3929000,4937000,5694000,14166000,17374000,16595000,9235000,6502000,5796000,4599000,5091000,6290000,6969000
75,Deferred Income Tax,- -,- -,- -,-701000,-691000,-2296000,-1305000,-1534000,-893000,66000,-1719000,-6852000,828000,-6282000,26177000,-620000,-10945000,136000,106000,-24510000
