,https://roic.ai/company/VVOS,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,3792261,11393277,13066237,16885000
2,COGS,1081641,2736034,2653429,5014000
3,Gross Profit,2710620,8657243,10412808,11871000
4,Gross Profit Ratio,0.7148,0.7599,0.7969,0.7031
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,9272890,16172505,16090049,25791000
7,Selling and Marketing Exp.,1163239,2310743,2314023,5551000
8,"Selling, General and Administrative Exp.",10436129,18483248,18404072,31342000
9,Other Expenses,610673,751228,717865,1644000
10,Operating Expenses,11046802,19234476,19121937,32986000
11,COGS and Expenses,12128443,21970510,21775366,38000000
12,Interest Income ,- -,21133,79612,117000
13,Interest Expense (Gain),102974,137876,96681,14000
14,Depreciation and Amortization,610673,751228,717865,733000
15,EBITDA,-7725509,-9865215,-11242331,-19541000
16,EBITDA ratio,-2.0372,-0.8659,-0.8604,-1.1573
17,Operating Income,-8336182,-10577233,-12039808,-20382000
18,Operating Income ratio,-2.1982,-0.9284,-0.9214,-1.2071
19,Total Other Income Expenses (Gains),-102974,-177086,-17069,94000
20,Income Before Tax,-8439156,-10754319,-12056877,-20288000
21,Income Before Tax Ratio,-2.2254,-0.9439,-0.9228,-1.2015
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-8439156,-10754319,-12056877,-20288000
24,Net Income ratio,-2.2254,-0.9439,-0.9228,-1.2015
25,EPS,-0.53,-0.67,-1.40,-1.58
26,EPS Diluted,-0.53,-0.67,-1.40,-1.58
27,Weighted Average Shares Outstanding,17666675,17666675,12869266,12869266
28,Weighted Average Shares Outstanding Diluted,17666675,17666675,12869266,12869266
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716166/000149315221006806/0001493152-21-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1716166/000149315222008452/0001493152-22-008452-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,1254723,469353,18205668,24030000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,1254723,469353,18205668,24030000
34,Net Receivables,595187,955986,1515586,1203000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,161686,558816,673061,2091000
37,Total Current Assets,2011596,1984155,20394315,27324000
38,PP&E,1281668,1139501,871597,2825000
39,Goodwill,3743521,2671434,2671434,2843000
40,Intangible Assets,1140276,689151,270121,341000
41,Intangible Assets,4883797,3360585,2941555,3184000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,26906,1067296,1120002,356000
