,https://roic.ai/company/MEDS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,955881,1496227,2912530,2481870,2931280,3831780,7436260,17122520,9889433
2,COGS,- -,- -,- -,944070,440047,189840,16360,- -,449050,2565500,11415198,5143468
3,Gross Profit,- -,- -,- -,11811,1056180,2722690,2465510,- -,3382730,4870760,5707322,4745965
4,Gross Profit Ratio,- -,- -,- -,0.0124,0.7059,0.9348,0.9934,- -,0.8828,0.6550,0.3333,0.4799
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1367895
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2268350,2350569,4377020,7488011,7053861
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,2268350,2350569,4377020,7488011,7053861
9,Other Expenses,- -,- -,- -,2095815,2487652,4051183,3449533,- -,949948,- -,- -,1616502
10,Operating Expenses,- -,- -,- -,2095815,2487652,4051183,3449533,2268350,3300517,4377020,7488011,10038258
11,COGS and Expenses,- -,- -,- -,3039885,2927699,3049600,3503470,2552740,3926840,7489540,18903209,15181726
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,7281,4154,130136,151500,157056,57541,53227,29389,23590
14,Depreciation and Amortization,- -,- -,- -,3987,4800,3802,- -,- -,- -,94731,102520,7351
15,EBITDA,- -,- -,- -,-2080017,-2003089,-983242,-2608630,446036,66581,-136472,-2404142,-5315876
16,EBITDA ratio,- -,- -,- -,-2.1760,-1.3388,-0.3376,-1.0511,0.1522,0.0174,-0.0184,-0.1404,-0.5375
17,Operating Income,- -,- -,- -,-2084004,-1431472,-987047,-984029,395095,-87616,125224,-2506662,-5315883
18,Operating Income ratio,- -,- -,- -,-2.1802,-0.9567,-0.3389,-0.3965,0.1348,-0.0229,0.0168,-0.1464,-0.5375
19,Total Other Income Expenses (Gains),- -,- -,- -,-7281,-580571,730467,-189081,-106115,96656,-409654,-29389,- -
20,Income Before Tax,- -,- -,- -,-2091285,-2012043,-256580,-1173110,288980,9040,-284430,-2536051,- -
21,Income Before Tax Ratio,- -,- -,- -,-2.1878,-1.3447,-0.0881,-0.4727,0.0986,0.0024,-0.0382,-0.1481,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,-2091285,-2012043,-1117180,-2760130,288980,9040,-284430,-2536051,- -
24,Net Income ratio,- -,- -,- -,-2.1878,-1.3447,-0.3836,-1.1121,0.0986,0.0024,-0.0382,-0.1481,- -
25,EPS,- -,- -,- -,-0.90,-0.42,-0.24,-0.54,0.06,0.00,-0.05,-0.33,- -
26,EPS Diluted,- -,- -,- -,-0.90,-0.42,-0.24,-0.54,0.06,0.00,-0.05,-0.33,- -
27,Weighted Average Shares Outstanding,- -,- -,- -,2350278,4971850,5219299,5257488,5325913,5376781,5927918,7705620,7705620
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,2350278,4971850,5219299,5257488,5681053,5826428,5927918,7705620,7705620
29,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1382574/000107878216002504/0001078782-16-002504-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878217000381/0001078782-17-000381-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878218000252/0001078782-18-000252-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315219003756/0001493152-19-003756-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315220005026/0001493152-20-005026-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315221007052/0001493152-21-007052-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315222007879/0001493152-22-007879-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,84317,705602,78710,14680,183910,869560,2871690,5919578,3122578
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,84317,705602,78710,14680,183910,869560,2871690,5919578,3122578
34,Net Receivables,- -,- -,- -,265863,349025,354740,299110,319470,433630,792050,1892718,978973
35,Inventory,- -,- -,- -,43373,46429,- -,- -,- -,79970,56760,1257754,56279
36,Other Current Assets,- -,- -,- -,1712,117260,1594220,23330,104100,82920,82460,151248,216414
37,Total Current Assets,- -,- -,- -,395265,1218316,2027670,337120,607480,1466080,3802960,9221298,4374244
38,PP&E,- -,- -,- -,8602,3802,- -,- -,- -,15010,932700,549768,1331784
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,725970,725970,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,725970,725970,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,10000,20530,109860,21636,60136
45,Total Non-Current Assets,- -,- -,- -,8602,3802,- -,- -,10000,761510,1768530,571404,1391920
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,403867,1222118,2027670,337120,617480,2227590,5571490,9792702,5766164
48,Accounts Payable,- -,- -,- -,162314,291059,220350,236850,106080,400540,334610,256829,477028
49,Short-Term Debt,- -,- -,- -,19333,- -,399303,378384,251725,321500,- -,356153,178561
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,22568,- -,- -,- -,- -,- -,10000,- -
52,Other Current Liabilities,- -,- -,- -,91355,240050,1140997,859356,167555,138330,186210,219256,270437
53,Total Current Liabilities,- -,- -,- -,273002,553677,1760650,1474590,525360,860370,520820,842238,926026
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,10590,404050,522550,225000,271306,1069965
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,685460,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,10590,404050,522550,910460,271306,1069965
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,772811,402459,- -
61,Total Liabilities,- -,- -,- -,273002,553677,1760650,1485180,929410,1382920,1431280,1113544,1995991
