,https://roic.ai/company/FMCB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,54508000,56729000,63749000,69700000,75838000,79005000,84488000,93177000,91961000,74380000,73351000,73640000,78708000,86750000,95070000,108323000,125503000,140514000,163080000,165268000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,74380000,73351000,73640000,78708000,86750000,95070000,108323000,125503000,140514000,158652000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9728,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17796000,21058000,24103000,26773000,27820000,27364000,27036000,31267000,30618000,29670000,31635000,33658000,36446000,39683000,41981000,45746000,50054000,55250000,57467000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,922000,1097000
8,"Selling, General and Administrative Exp.",17796000,21058000,24103000,26773000,27820000,27364000,27568000,31267000,30618000,31131000,32603000,34639000,37494000,42130000,44346000,47705000,52198000,57128000,58389000,1097000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1461000,-968000,-981000,-1048000,-2447000,-2365000,-1959000,-2144000,-1878000,-57467000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,29670000,31635000,33658000,36446000,39683000,41981000,45746000,50054000,55250000,922000,1097000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,29670000,31635000,33658000,36446000,39683000,41981000,45746000,50054000,55250000,922000,- -
