,https://roic.ai/company/HYMC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,47044000,163338000
2,COGS,- -,- -,- -,109621000,163338000
3,Gross Profit,- -,- -,- -,-62577000,- -
4,Gross Profit Ratio,- -,- -,- -,-1.3302,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,609580,875900,21084000,14619000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,609580,875900,21084000,14619000
9,Other Expenses,2780,- -,- -,374000,- -
10,Operating Expenses,2780,609580,875900,21458000,14619000
11,COGS and Expenses,2780,609580,875900,131079000,177957000
12,Interest Income ,- -,- -,797000,199000,- -
13,Interest Expense (Gain),- -,2844990,4386530,41486000,20593000
14,Depreciation and Amortization,- -,- -,- -,5886000,8429000
15,EBITDA,-2780,5080400,7897150,-85298000,-58012000
16,EBITDA ratio,-Infinity,Infinity,Infinity,-1.8132,-0.3552
17,Operating Income,-2780,-609580,-33941000,-89366000,-83911000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-1.8996,-0.5137
19,Total Other Income Expenses (Gains),- -,2844990,37451630,-43304000,-6183000
20,Income Before Tax,-2780,2235410,3510630,-132670000,-90094000
21,Income Before Tax Ratio,-Infinity,Infinity,Infinity,-2.8201,-0.5516
22,Income Tax expense (Gain),- -,555450,899800,- -,1530000
23,Net Income,-2780,1679960,2610820,-132670000,-88564000
24,Net Income ratio,-Infinity,Infinity,Infinity,-2.8201,-0.5422
25,EPS,-0.00,0.06,-327.95,-3.81,-2.54
26,EPS Diluted,-0.00,0.06,-327.95,-3.81,-2.54
27,Weighted Average Shares Outstanding,25000000,26000000,301559,34833211,34833211
28,Weighted Average Shares Outstanding Diluted,25000000,26000000,301559,34833211,34833211
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1718405/000114420419015791/0001144204-19-015791-index.htm,https://www.sec.gov/Archives/edgar/data/1718405/000110465920032562/0001104659-20-032562-index.htm,https://www.sec.gov/Archives/edgar/data/1718405/000171840521000029/0001718405-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1718405/000171840522000016/0001718405-22-000016-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,24950,535950,208540,56363000,12342000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,24950,535950,208540,56363000,12342000
34,Net Receivables,- -,- -,- -,426000,- -
35,Inventory,- -,- -,- -,12867000,11069000
36,Other Current Assets,166500,52290,99240,42344000,- -
37,Total Current Assets,191450,588240,307780,112000000,23411000
38,PP&E,- -,- -,- -,60223000,- -
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,212916690,215385760,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-10,60403000,- -
45,Total Non-Current Assets,- -,212916690,215385750,120626000,- -
46,Other Assets,- -,- -,- -,- -,118913000
