,https://roic.ai/company/MOR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,16757097,15308464,21978796,7978641,53031172,61962008,71645341,81024081,87036308,100777157,51916986,77960057,63977978,106222897,49743515,66790840,76442505,71755303,327698465,179611844
2,COGS,- -,- -,- -,-2514172,-7978641,-7947128,7138484,6743836,7284211,7024341,- -,29000,77000,77000,97000,33000,1796629,12085198,9174146,32195000
3,Gross Profit,- -,- -,- -,10492813,61009813,69909136,64506857,74280245,79752097,93752816,51916986,77931057,63900978,106145897,49646515,66757840,74645876,59670105,318524319,147416844
4,Gross Profit Ratio,- -,- -,- -,1.3151,1.1505,1.1283,0.9004,0.9168,0.9163,0.9303,1.0000,0.9996,0.9988,0.9993,0.9980,0.9995,0.9765,0.8316,0.9720,0.8208
5,Research and Development Exp.,19591834,8998012,12391295,-14029310,-17458350,-22237170,27599615,38967305,46899723,57477141,37673345,49151721,55962693,78655788,95723069,116808575,106397017,108431600,141426832,225211206
6,General and Administrative Exp.,18742819,7601078,7522188,-10072583,-21418416,- -,20484400,23910845,23226029,24584145,12081649,11282000,9612000,10354000,9521000,12315000,21927731,36664666,51403257,32677000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6382510,22671481,107742684,121542621
8,"Selling, General and Administrative Exp.",18742819,7601078,7522188,-10072583,-21418416,- -,20484400,23910845,23226029,24584145,12081649,11282000,9612000,10354000,9521000,12315000,28310241,59336147,159145941,154219621
9,Other Expenses,3940412,2175430,1423907,-710437,17458350,- -,- -,- -,-222418,-466267,-258000,7563000,4229000,4367000,4303000,5285000,79000,- -,- -,45610000
10,Operating Expenses,42275065,18774520,21337390,-24812330,-21418416,-22237170,48084015,62878150,69903334,81595019,49496994,67996721,69803693,93376788,109547069,134408575,134786258,167767747,300572773,425040827
11,COGS and Expenses,42275065,18774520,21337390,1818291,46855412,54944178,55222499,69621986,77187545,88619360,49496994,68025721,69880693,93453788,109644069,134441575,136582887,179852945,309746919,457235827
12,Interest Income ,446546,1086876,624164,- -,- -,- -,1485760,- -,4123286,1439129,178000,347000,1004000,1907000,1017000,236000,91000,2799473,92047221,723000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,6468,9538,33881,27270,8000,22000,118000,20000,20000,374000,179000,2272369,96214409,65824000
14,Depreciation and Amortization,2126491,2489606,2637048,3624560,4951250,5194820,5238185,5348950,6120325,6628779,6310535,4834447,4134479,3454842,3763813,4028948,3750259,6245162,8329559,10090958
15,EBITDA,-22268887,-1658447,2919160,7865343,10237128,16669430,23230385,18392228,19325762,18086329,8946492,21488454,-56217,24100410,-56080338,-64387156,-56547536,-98002946,127035978,-515135918
