,https://roic.ai/company/APO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,346480000,637850000,-266705000,966728000,2109898000,171632000,2859965000,3733571000,1560083000,1041670000,1970384000,2610173000,1093065000,2931849000,2354019000,5951598000
2,COGS,266772000,1450330000,843600000,1495010000,1943350000,1340778000,1745361000,1594235000,740559000,537429000,849187000,1035405000,574999000,1261087000,1088698000,3493380000
3,Gross Profit,79708000,-812480000,-1110305000,-528282000,166548000,-1169146000,1114604000,2139336000,819524000,504241000,1121197000,1574768000,518066000,1670762000,1265321000,2458218000
4,Gross Profit Ratio,0.2301,-1.2738,4.1630,-0.5465,0.0789,-6.8119,0.3897,0.5730,0.5253,0.4841,0.5690,0.6033,0.4740,0.5699,0.5375,0.4130
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,78166000,118442000,- -,94955000,127026000,174562000,189861000,221555000,220120000,210587000,247000000,257858000,266444000,330342000,354217000,476998000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",78166000,118442000,- -,94955000,127026000,174562000,212132000,221555000,220120000,210587000,247000000,257858000,266444000,330342000,354217000,476998000
9,Other Expenses,3288000,47987000,442547000,66288000,51574000,26260000,53236000,54241000,45069000,44474000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,81454000,166429000,442547000,161243000,178600000,200822000,265368000,275796000,265189000,255061000,247000000,257858000,266444000,330342000,354217000,476998000
11,COGS and Expenses,348226000,1616759000,1286147000,1656253000,2121950000,1541600000,2010729000,1870031000,1005748000,792490000,1096187000,1293263000,841443000,1591429000,1442915000,3970378000
12,Interest Income ,38423000,52500000,19368000,1450000,1528000,4731000,9693000,12266000,10392000,3232000,4072000,6421000,20654000,35522000,455424000,4255000
13,Interest Expense (Gain),8839000,345968000,62622000,50252000,35436000,40850000,37116000,29260000,22393000,30071000,43482000,52873000,59374000,98369000,380962000,139090000
14,Depreciation and Amortization,3288000,7869000,22099000,24299000,24249000,26260000,53236000,54241000,45069000,44474000,18735000,18379000,15233000,15758000,18828000,- -
15,EBITDA,391582000,-209088000,-864532000,-51911000,246039000,-389787000,466719000,850461000,382936000,235775000,555774000,1026301000,150252000,828326000,643370000,2571960000
16,EBITDA ratio,1.1302,-0.3278,3.2415,-0.0537,0.1166,-2.2711,0.1632,0.2278,0.2455,0.2263,0.2821,0.3932,0.1375,0.2825,0.2733,0.4321
17,Operating Income,-1746000,- -,-1552852000,- -,- -,- -,812120000,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-0.0050,- -,5.8224,- -,- -,- -,0.2840,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1795223000,2226090000,-1374316000,622849000,647013000,77698000,2301085000,618023000,322832000,128048000,186817000,452674000,-146350000,67429000,-357336000,2881054000
20,Income Before Tax,1793477000,1247181000,-2927168000,-66676000,634961000,-1292270000,3113205000,2481563000,877167000,377228000,1061014000,1769584000,105272000,1407849000,553768000,4862274000
21,Income Before Tax Ratio,5.1763,1.9553,10.9753,-0.0690,0.3009,-7.5293,1.0885,0.6647,0.5623,0.3621,0.5385,0.6780,0.0963,0.4802,0.2352,0.8170
22,Income Tax expense (Gain),6476000,6726000,-36995000,28714000,91737000,11929000,65410000,107569000,147245000,26733000,90707000,325945000,86021000,-128994000,86966000,594379000
23,Net Income,372979000,-569651000,-912258000,-155176000,94617000,-468826000,310957000,659391000,168229000,134497000,402850000,629104000,-10376000,843193000,156614000,1838491000
24,Net Income ratio,1.0765,-0.8931,3.4205,-0.1605,0.0448,-2.7316,0.1087,0.1766,0.1078,0.1291,0.2045,0.2410,-0.0095,0.2876,0.0665,0.3089
25,EPS,3.85,-5.87,-9.41,-1.60,0.83,-4.18,2.06,4.06,0.62,0.61,2.11,3.12,-0.21,3.72,0.44,8.08
26,EPS Diluted,3.85,-5.87,-9.41,-1.60,0.83,-4.18,2.06,4.03,0.62,0.61,2.11,3.10,-0.21,3.71,0.44,8.08
27,Weighted Average Shares Outstanding,96964769,96964769,96964769,96964769,96964769,116364110,127693489,139173386,155349017,173271666,183998080,190931743,201400500,207072413,227530600,227530600
