,https://roic.ai/company/SIBN,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,42101000,47983000,55380000,67301000,73387000,90152000
2,COGS,5165000,5112000,4833000,6790000,8902000,10428000
3,Gross Profit,36936000,42871000,50547000,60511000,64485000,79724000
4,Gross Profit Ratio,0.8773,0.8935,0.9127,0.8991,0.8787,0.8843
5,Research and Development Exp.,6380000,5513000,5376000,7279000,9459000,12441000
6,General and Administrative Exp.,12906000,13062000,12639000,20984000,19803000,- -
7,Selling and Marketing Exp.,35215000,41646000,44497000,68251000,73790000,- -
8,"Selling, General and Administrative Exp.",48121000,54708000,57136000,89235000,93593000,- -
9,Other Expenses,- -,- -,- -,- -,- -,118953000
10,Operating Expenses,54501000,60221000,62512000,96514000,103052000,131394000
11,COGS and Expenses,59666000,65333000,67345000,103304000,111954000,141822000
12,Interest Income ,71000,175000,769000,2551000,1097000,186000
13,Interest Expense (Gain),3308000,6204000,5108000,4949000,6101000,- -
14,Depreciation and Amortization,1038000,1013000,722000,774000,1130000,- -
15,EBITDA,-16243000,-15822000,-11623000,-32680000,-36466000,-49121000
16,EBITDA ratio,-0.3858,-0.3297,-0.2099,-0.4856,-0.4969,-0.5449
17,Operating Income,-17565000,-17350000,-11965000,-36003000,-38567000,-51670000
18,Operating Income ratio,-0.4172,-0.3616,-0.2161,-0.5350,-0.5255,-0.5731
19,Total Other Income Expenses (Gains),-3024000,-5689000,-5488000,-2400000,-5130000,-4902000
20,Income Before Tax,-20589000,-23039000,-17453000,-38403000,-43697000,-56572000
21,Income Before Tax Ratio,-0.4890,-0.4801,-0.3151,-0.5706,-0.5954,-0.6275
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-20589000,-23039000,-17453000,-38403000,-43697000,- -
24,Net Income ratio,-0.4890,-0.4801,-0.3151,-0.5706,-0.5954,- -
25,EPS,-1.33,-1.50,-2.20,-1.55,-1.50,-1.70
26,EPS Diluted,-1.33,-1.50,-2.20,-1.55,-1.50,-1.70
27,Weighted Average Shares Outstanding,15480394,15480394,7950284,24705980,29059171,33340093
28,Weighted Average Shares Outstanding Diluted,15480394,15480394,7950284,24705980,29059171,33340093
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1459839/000145983919000011/0001459839-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1459839/000145983920000031/0001459839-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1459839/000145983921000012/0001459839-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459839/000145983922000016/0001459839-22-000016-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,27900000,22408000,25120000,10435000,53581000,63419000
32,Short-Term Investments,- -,- -,97103000,81345000,142851000,83560000
33,Cash and Short-Term Investments,27900000,22408000,122223000,91780000,196432000,146979000
34,Net Receivables,5951000,7416000,8486000,11720000,13611000,- -
35,Inventory,1514000,2553000,3343000,5452000,5633000,- -
36,Other Current Assets,959000,1252000,1990000,2510000,2565000,28887000
37,Total Current Assets,36324000,33629000,136042000,111462000,218241000,175866000
38,PP&E,2608000,1896000,2154000,3954000,4527000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,47000,40000,- -,- -,- -,- -
42,Investments,- -,- -,- -,1278000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,457000,269000,325000,315000,374000,14640000
45,Total Non-Current Assets,3112000,2205000,2479000,5547000,4901000,14640000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,39436000,35834000,138521000,117009000,223142000,190506000
48,Accounts Payable,1025000,1814000,2146000,2811000,3271000,3198000
49,Short-Term Debt,- -,- -,- -,4358000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,12361000,5724000,6860000,11605000,10199000,13692000
53,Total Current Liabilities,13386000,7538000,9006000,18774000,13470000,16890000
54,Long-Term Debt,21074000,38704000,38963000,34865000,39455000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,113709000,118970000,360000,362000,854000,57000
58,Total Non-Current Liabilities,134783000,157674000,39323000,35227000,40309000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,39196000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,5505000
61,Total Liabilities,148169000,165212000,48329000,54001000,53779000,56086000
62,Preferred Stock,113121000,118548000,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,3000,3000,- -
64,Retained Earnings,-116685000,-139724000,-157177000,-195580000,-239277000,-295849000
65,Other Comprehensive Income/Loss,-2037000,-3022000,-3364000,-3795000,524000,352000
66,Other Total Stockholders Equity,-103133000,-105181000,250730000,262380000,408113000,- -
67,Total Stockholders Equity,-108733000,-129378000,90192000,63008000,169363000,134420000
68,Total Liabilities And Stockholders Equity,39436000,35834000,138521000,117009000,223142000,190506000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39436000,35834000,138521000,117009000,223142000,190506000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1459839/000145983919000011/0001459839-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1459839/000145983920000031/0001459839-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1459839/000145983921000012/0001459839-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459839/000145983922000016/0001459839-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-20589000,-23039000,-17453000,-38403000,-43697000,- -
74,Depreciation and Amortization,1038000,1013000,722000,774000,1130000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1398000,1438000,2312000,7464000,11927000,- -
77,Change in Working Capital,-198000,3153000,100945000,-34348000,112083000,-5756000
78,Accounts Receivable,-98000,-1313000,-1023000,-3236000,-2186000,- -
79,Inventory,1186000,-980000,-759000,-2105000,-274000,-5784000
80,Accounts Payable,-1469000,811000,251000,383000,835000,- -
81,Other Working Capital,22938000,26091000,127036000,92688000,204771000,- -
82,Other Non-Cash Items,1598000,-95000,-101045000,32886000,-112105000,-33777000
83,Cash Provided by Operating Activities,-16753000,-17530000,-14519000,-31627000,-30662000,-39533000
84,CAPEX,-441000,-478000,-942000,-2445000,-2561000,-6389000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-96883000,-143864000,-179166000,- -
87,Sales/Maturities of Investments,- -,- -,- -,159800000,118811000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-441000,-478000,-97825000,13491000,-62916000,- -
90,Debt Repayment,- -,-1119000,- -,- -,-45297000,- -
91,Common Stock Issued,320000,383000,115506000,- -,134616000,- -
92,Common Stock Repurchased,-3000,- -,-73000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,24438000,13598000,-283000,3488000,47082000,- -
95,Cash Used/Provided by Financing Activities,24755000,12862000,115150000,3488000,136401000,- -
96,Effect of Forex Changes on Cash,67000,-346000,-94000,-37000,323000,-498000
97,Net Change In Cash,7628000,-5492000,2712000,-14685000,43146000,- -
98,Cash at the End of Period,27900000,22408000,25120000,10435000,53581000,- -
99,Cash at the Beginning of Period,20272000,27900000,22408000,25120000,10435000,- -
100,Free Cash Flow,-17194000,-18008000,-15461000,-34072000,-33223000,- -
