,https://roic.ai/company/KTEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11477723,9415140,9173520,9359
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9808056,7570350,6303050,5824
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1669667,1844790,2870470,3535
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1455,0.1959,0.3129,0.3778
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,6760,7066,10183,11691,12337,- -,681095,170669,2462809,1822820,2054716,63
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55582,- -,26042,16
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6760,7066,10183,11691,12337,- -,681095,170669,2518391,1822820,2080758,78
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,399567,- -,- -,671958,1456494,2398269,3817
10,Operating Expenses,- -,- -,- -,- -,- -,- -,10183,11691,12337,399567,681095,170669,3190349,3279314,4479027,3895
11,COGS and Expenses,- -,11386,14396,8433,6760,7066,7066,- -,12337,660000,2635810,170670,12998405,10546620,10818720,9719
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150,1562,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,7917,9883,1262,986,19312,28822,38945,55270,26954
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421520,166149,989786,838003
15,EBITDA,- -,-11386,-14396,-8433,-6760,-7066,-7066,- -,-12337,-4710000,-11694,-116428,-1262838,-956106,-638344,865196
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.1100,-0.1015,-0.0696,92.4453
17,Operating Income,- -,-11386,-14396,-8433,-6760,-7066,-10183,-11691,-12337,-660290,-2635812,-170669,-1520682,-1449735,-1645195,-360019
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1325,-0.1540,-0.1793,-38.4677
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,3117,- -,-9883,-2049710,2623132,34929,-192498,288535,-38205,360258
20,Income Before Tax,- -,- -,- -,- -,-6760,-7066,-7066,- -,-22220,-2710000,-12680,-135740,-1713180,-1161200,-1683400,239
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.1493,-0.1233,-0.1835,0.0255
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98500,- -
23,Net Income,- -,-11386,-14396,-8433,-6760,-7066,-7066,- -,-22220,-2710000,-12680,-135740,-1713180,-1161200,-1584900,239
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.1493,-0.1233,-0.1728,0.0255
25,EPS,- -,-0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.43,-0.01,-0.02,-0.12,-0.04,-0.04,0.01
26,EPS Diluted,- -,-0.08,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.43,-0.01,-0.02,-0.12,-0.04,-0.04,0.01
27,Weighted Average Shares Outstanding,- -,136807,604649,974308,1115800,1115800,1115800,1115800,1115800,6376953,12521092,9371197,14210094,31890916,40692286,40692286
28,Weighted Average Shares Outstanding Diluted,- -,136807,604649,974308,1115800,1115800,1115800,1115800,1115800,6376953,12521092,9371197,14210094,31890916,40692286,40692286
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845819/000102402011000063/0001024020-11-000063-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963212000033/0001549632-12-000033-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963213000039/0001549632-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597114000538/0001515971-14-000538-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597116000420/0001515971-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597117000008/0001515971-17-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/845819/000151597119000057/0001515971-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597120000054/ktel10k123119.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597121000031/0001515971-21-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3665,1720,- -,- -,- -,- -,- -,- -,1180000,- -,10000,94149,56510,191470,715195
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3665,1720,- -,- -,- -,- -,- -,- -,1180000,- -,10000,94149,56510,191470,715195
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744082,1101940,377490,434801
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45910,1090,4660,17786
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,40000,- -,103567,7350,1740,2559
37,Total Current Assets,- -,3665,1720,- -,- -,- -,- -,- -,- -,1220000,40000,10000,987708,1166890,575360,1170341
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,610000,170000,179542,132020,181270,79571
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184628,2490920,2238920,1517163
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184628,2490920,2238920,1517163
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4340,607880,207740,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,610000,170000,368510,3241520,2627930,1596734
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3665,1720,- -,- -,- -,- -,- -,- -,3120000,650000,180000,1356218,4408410,3203290,2767075
48,Accounts Payable,- -,- -,- -,- -,- -,- -,625,- -,- -,60000,230000,120000,1374709,- -,- -,1042567
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100985,163212,153141,103379,157290,160662
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108941,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65689,69988,53074,37677
52,Other Current Liabilities,- -,25663,37514,44227,50987,58053,67611,- -,110064,20000,-985,-3212,223327,1494023,1405636,- -
53,Total Current Liabilities,- -,25663,37514,44227,50987,58053,68236,- -,110064,80000,330000,280000,1816866,1667390,1616000,1240906
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50600,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700,- -,- -
