,https://roic.ai/company/HBM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,366,14,250,614,1394,5835,11086063,538400000,995600000,1183300000,920100000,631900000,756000000,900800000,702900000,501800000,507515000,886051000,1128678000,1402339000,1472366000,1237439000,1092418000,1501998000
2,COGS,- -,- -,- -,- -,- -,- -,- -,11713278,396800000,527400000,680900000,642500000,443500000,437900000,587100000,505200000,424100000,450169000,767687000,905800000,993198000,1098626000,1085897000,1053418000,1370979000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-627215,141600000,468200000,502400000,277600000,188400000,318100000,313700000,197700000,77700000,57346000,118364000,222878000,409141000,373740000,151542000,39000000,131019000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.0566,0.2630,0.4703,0.4246,0.3017,0.2981,0.4208,0.3482,0.2813,0.1548,0.1130,0.1336,0.1975,0.2918,0.2538,0.1225,0.0357,0.0872
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,9300000,10900000,30800000,24000000,6700000,28900000,47500000,43600000,22600000,10069000,9426000,4742000,15474000,28570000,30774000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,16200000,22900000,28100000,39900000,42800000,33600000,463000,-816000,-1956000,-4619000,30198000,-40000,969000,-431000,34320000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38737000,39516000,39956000,46275000,- -,37774000,42283000,27243000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,16200000,22900000,28100000,39900000,42800000,33600000,39200000,38700000,38000000,41656000,30198000,37734000,43252000,26812000,34320000,- -,43011000
9,Other Expenses,717421,204746,97149,147721,187030,- -,- -,7022477,48843895,36936102,93300343,11961956,114609445,88346865,-2801861,10405286,4064669,7351891,10814000,10626000,15489000,21746000,30185000,66871000,52676000
10,Operating Expenses,717421,204746,97149,147721,187030,- -,- -,7022477,74343895,70736102,152200343,75861956,164109445,150846865,83898139,92705286,64664669,59076891,50438000,53102000,74215000,77128000,95279000,66871000,95687000
11,COGS and Expenses,717421,204746,97149,147721,187030,402783,4132463,18735755,470200000,628700000,871000000,781500000,600900000,613300000,686600000,637500000,524300000,537199000,1219369000,960004000,1049835000,1173510000,1526206000,1120289000,1466666000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4531563,6119021,8589618,6249309,10144914,3885051,2911000,2792000,2849000,8450000,8527000,1812000,997000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147073,964846,11357493,3051778,9966472,4055614,63601000,144366000,78829000,69295000,72767000,86255000,74748000
14,Depreciation and Amortization,8386,5670,- -,- -,- -,1021,4213,1200359,47737214,62232327,95624558,72551356,96199981,103382459,102449559,77002101,72794125,80296504,217617000,299134000,293235000,333144000,346634000,363603000,359767000
15,EBITDA,1119790,-198710,-1143199,-2265600,-2878064,-601413,-3962946,-7445056,109237214,452432327,436224558,231451356,220747054,260647304,93507052,134953879,36060596,98375118,-117823000,449105000,544975000,573276000,-33362000,270769000,231764000
16,EBITDA ratio,Infinity,-543.0817,-78844.2381,-9059.3787,-4689.6837,-431.5451,-679.1370,-0.6716,0.2029,0.4544,0.3687,0.2516,0.3493,0.3448,0.1038,0.1920,0.0719,0.1938,-0.1330,0.3979,0.3886,0.3894,-0.0270,0.2479,0.1543
17,Operating Income,-2546247,-204380,-980259,-2265600,-186416,-401390,-4126628,-7649691,73331324,384780371,392173079,167587510,41144112,176812710,207493634,106038218,-6461489,-31137260,-328430000,169776000,317308000,298856000,-288767000,-37187000,18268000
18,Operating Income ratio,-Infinity,-558.5790,-67606.6190,-9059.3787,-303.7574,-288.0182,-707.1874,-0.6900,0.1362,0.3865,0.3314,0.1821,0.0651,0.2339,0.2303,0.1509,-0.0129,-0.0614,-0.3707,0.1504,0.2263,0.2030,-0.2334,-0.0340,0.0122
19,Total Other Income Expenses (Gains),-1828826,- -,-1046064,-2118129,-2667608,-142280,159469,-995724,-11931324,5419629,-51673079,-8587510,83255888,-23312710,3906366,-53838218,-47938511,45079260,-70611000,-164171000,-144397000,-128019000,-163996000,-141902000,-221019000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-8645416,61400000,390200000,340500000,159000000,124400000,153500000,211400000,52200000,-54400000,13942000,-399041000,5605000,172911000,170837000,-452763000,-179089000,-202751000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-0.7798,0.1140,0.3919,0.2878,0.1728,0.1969,0.2030,0.2347,0.0743,-0.1084,0.0275,-0.4504,0.0050,0.1233,0.1160,-0.3659,-0.1639,-0.1350
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-393465,-8900000,-107200000,128900000,90200000,25500000,85500000,135300000,73400000,51700000,-51327000,-67613000,40798000,33219000,85421000,-108953000,-34505000,41607000
23,Net Income,-2545103,-204380,-1143199,-2265600,-2878064,-602434,-3967159,-8251951,70400000,497400000,211700000,68700000,98900000,70800000,-155600000,-18500000,-98400000,65350000,-331428000,-35193000,139692000,85416000,-343810000,-144584000,-244358000
24,Net Income ratio,-Infinity,-558.5790,-78844.2381,-9059.3787,-4689.6837,-432.2780,-679.8590,-0.7444,0.1308,0.4996,0.1789,0.0747,0.1565,0.0937,-0.1727,-0.0263,-0.1961,0.1288,-0.3741,-0.0312,0.0996,0.0580,-0.2778,-0.1324,-0.1627
25,EPS,-3.56,-0.19,-1.24,-2.00,-2.40,-0.19,-0.93,-0.93,0.90,4.56,1.81,0.44,0.70,0.48,-0.90,-0.11,-0.55,0.29,-1.41,-0.15,0.67,0.33,-1.32,-0.55,-0.94
26,EPS Diluted,-3.56,-0.19,-1.24,-2.00,-2.40,-0.19,-0.93,-0.93,0.60,4.02,1.79,0.44,0.70,0.48,-0.90,-0.11,-0.55,0.29,-1.41,-0.15,0.67,0.33,-1.32,-0.55,-0.94
27,Weighted Average Shares Outstanding,700440,800614,931368,1162700,1181630,2955666,3769596,8894235,82008190,105979721,126847106,135902627,153460823,150636835,167863427,171960783,172048434,209023666,234675080,235807509,243500696,261271621,261272151,261272151,261272151
28,Weighted Average Shares Outstanding Diluted,700440,800614,931368,1162700,1181630,2955666,3769596,8894235,121116832,120334201,128507554,136713080,154067282,151336399,167863427,171960783,172048434,209683580,234675080,235807509,243500696,261271621,261272151,261272151,261272151
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000104746906003814/a2168606zex-99_2.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000110465913025425/0001104659-13-025425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000106299316008645/0001062993-16-008645-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299317001601/0001062993-17-001601-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299318001423/0001062993-18-001423-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299319001478/0001062993-19-001478-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299320001579/0001062993-20-001579-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,123979,1630000,53698405,121900000,331200000,760300000,185600000,72500000,904600000,882100000,1302700000,319777125,177905000,53837000,129850000,356500000,515497000,396146000,439135000,270989000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393700000,770600000,- -,3100000,47500000,156266847,1922000,16527000,20411000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,123979,1630000,53698405,121900000,331200000,760300000,579300000,843100000,904600000,885200000,1350200000,476043972,179827000,70364000,150261000,356500000,515497000,396146000,439135000,270989000
34,Net Receivables,- -,- -,- -,- -,- -,301314,1735080,60899729,38500000,113500000,71800000,56600000,52400000,78500000,45200000,107600000,193941000,- -,249302000,157348000,138100000,119161000,113283000,153645000,204081000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,83419568,100300000,140600000,184400000,120500000,124700000,122100000,75700000,58900000,75605000,- -,120186000,112464000,141700000,118474000,138820000,143105000,158453000
36,Other Current Assets,- -,- -,- -,- -,- -,51181,496593,16482273,29500000,140800000,59300000,30800000,30600000,29400000,12200000,23200000,-284581972,- -,-4674000,16530000,29200000,19260000,14786000,19790000,23205000
37,Total Current Assets,- -,- -,- -,- -,- -,476474,3861673,214499975,290200000,726100000,1075800000,787200000,1050800000,1134600000,1018300000,1539900000,461008000,- -,435178000,436603000,665500000,772392000,663035000,755675000,656728000
38,PP&E,- -,- -,- -,- -,- -,2126633,4021863,298352937,325400000,381200000,452000000,672300000,778300000,909900000,1180300000,1741800000,4065003000,- -,3890276000,3865823000,3880900000,3819812000,3662559000,3731655000,3740966000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,67300000,- -,181583000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,459181,- -,- -,- -,- -,1900000,7100000,11600000,13000000,10398000,- -,8859000,6614000,5600000,4162000,5027000,5409000,5898000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,459181,- -,- -,- -,- -,1900000,7100000,78600000,80300000,10398000,181583000,8859000,6614000,5600000,4162000,5027000,5409000,5898000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,2700000,97900000,26023302,104973204,98500000,71851472,45350639,16103578,9265000,13700000,22255000,15159000,11287000,15669000,11158000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1400000,500000,700000,18100000,33200000,42300000,186100000,242800000,380958000,- -,294529000,354916000,302100000,324090000,237832000,101899000,133584000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,152854,1355004,21315321,10000000,18100000,26000000,1400000,41976698,-18573204,-159300000,-161051472,-111836639,4740842422,-158522000,-221100000,-227655000,-249980000,-123779000,56338000,67897000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,2279487,5376867,320127439,336800000,405700000,481400000,789700000,881400000,1045700000,1384200000,1975700000,4389873000,4938529000,4044407000,4019953000,3983200000,3913243000,3792926000,3910970000,3959503000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,2755960,9238540,534627414,627000000,1131800000,1557200000,1576900000,1932200000,2180300000,2402500000,3515600000,4850881000,- -,4479585000,4456556000,4648700000,4685635000,4455961000,4666645000,4616231000
48,Accounts Payable,- -,- -,- -,- -,- -,390367,787764,53646830,- -,- -,- -,- -,- -,- -,94000000,69700000,67769000,67769000,62512000,80573000,71500000,61580000,69626000,104598000,84279000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7365445,2728841,- -,- -,- -,- -,- -,14764054,69875000,16490000,- -,- -,- -,16490000,33529000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33088000,17413000,- -,33000,342000,- -,4419000,10794000,5508000,- -,- -,15243000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65616000,81279000,- -,65619000,49907000,86256000,- -,104372000,96946000
52,Other Current Liabilities,- -,- -,- -,- -,- -,236753,3204,39337348,110300000,170200000,184334555,156671159,148000000,229100000,98500000,246300000,240457000,- -,245178000,152382000,235493000,179328000,322125000,223327000,294462000
53,Total Current Liabilities,- -,- -,- -,- -,- -,627120,790968,92984178,110300000,170200000,191700000,159400000,148000000,229100000,192500000,316000000,373842000,163812054,377565000,315064000,356900000,327164000,391751000,448787000,509216000
