,https://roic.ai/company/APTX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,9792000,4962000,6574000,3669000,1564000,1000000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,1564,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,22743000,31644000,48788000,44330000,32835000,55444000
6,General and Administrative Exp.,4766000,5551000,12674000,18952000,19494000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4766000,5551000,12674000,18952000,19494000,- -
9,Other Expenses,- -,- -,- -,- -,- -,20090000
10,Operating Expenses,27509000,37195000,61462000,63282000,52329000,75534000
11,COGS and Expenses,27509000,37195000,61462000,63282000,52329000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,185000,405000,457000,455000,421000,526000
15,EBITDA,-15293000,-31663000,-52824000,-56955000,-49632000,-74008000
16,EBITDA ratio,-1.5618,-6.3811,-8.0353,-15.5233,-31.7340,-74.0080
17,Operating Income,-17717000,-32233000,-54888000,-59613000,-50765000,-74534000
18,Operating Income ratio,-1.8093,-6.4960,-8.3493,-16.2478,-32.4584,-74.5340
19,Total Other Income Expenses (Gains),2239000,165000,1607000,2203000,712000,- -
20,Income Before Tax,-15478000,-32068000,-53281000,-57410000,-50053000,- -
21,Income Before Tax Ratio,-1.5807,-6.4627,-8.1048,-15.6473,-32.0032,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-15478000,-32068000,-53281000,-57410000,-50053000,- -
24,Net Income ratio,-1.5807,-6.4627,-8.1048,-15.6473,-32.0032,- -
25,EPS,-0.60,-1.91,-2.64,-1.71,-1.02,- -
26,EPS Diluted,-0.60,-1.91,-2.64,-1.71,-1.02,- -
27,Weighted Average Shares Outstanding,25685000,16831000,20199000,33556000,48866000,48866000
