,https://roic.ai/company/CVT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,480015000,567604000,498700000,518811000
2,COGS,165181000,211857000,176250000,191448000
3,Gross Profit,314834000,355747000,322450000,327363000
4,Gross Profit Ratio,0.6559,0.6268,0.6466,0.6310
5,Research and Development Exp.,78447000,96012000,87866000,96627000
6,General and Administrative Exp.,76155000,92018000,80564000,88206000
7,Selling and Marketing Exp.,126531000,155801000,128388000,135616000
8,"Selling, General and Administrative Exp.",202686000,247819000,208952000,223822000
9,Other Expenses,60494000,57685000,53844000,51478000
10,Operating Expenses,341627000,401516000,350662000,371927000
11,COGS and Expenses,506808000,613373000,526912000,563375000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),45963000,51711000,39355000,29073000
14,Depreciation and Amortization,108574000,129119000,138103000,132710000
15,EBITDA,80390000,83056000,101590000,82748000
16,EBITDA ratio,0.1675,0.1463,0.2037,0.1595
17,Operating Income,-26793000,-45769000,-28212000,-44564000
18,Operating Income ratio,-0.0558,-0.0806,-0.0566,-0.0859
19,Total Other Income Expenses (Gains),-47354000,-52005000,-47656000,-34471000
20,Income Before Tax,-74147000,-97774000,-75868000,-79035000
21,Income Before Tax Ratio,-0.1545,-0.1723,-0.1521,-0.1523
22,Income Tax expense (Gain),-20107000,-6013000,7865000,7044000
23,Net Income,-54040000,-91761000,-83733000,-86079000
24,Net Income ratio,-0.1126,-0.1617,-0.1679,-0.1659
25,EPS,-0.11,-0.19,-0.17,-0.17
26,EPS Diluted,-0.11,-0.19,-0.17,-0.17
27,Weighted Average Shares Outstanding,481121695,481121695,481121695,507149396
28,Weighted Average Shares Outstanding Diluted,481121695,481121695,481121695,507149396
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1827075/000119312521102380/0001193125-21-102380-index.htm,https://www.sec.gov/Archives/edgar/data/1827075/000095017022003009/0000950170-22-003009-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,72315000,65265000,126526000
32,Short-Term Investments,- -,982000,- -,538000
33,Cash and Short-Term Investments,- -,73297000,65265000,127064000
34,Net Receivables,- -,144711000,141113000,112251000
35,Inventory,- -,- -,- -,- -
