,https://roic.ai/company/SHO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,225375000,190449000,460702000,502664000,651068000,903056000,1014923000,969164000,717823000,643090000,834729000,829084000,923824000,1141998000,1249180000,1189340000,1193638000,1159053000,1115167000,267906000,509150000
2,COGS,81858000,- -,176803000,185956000,245531000,338220000,362779000,363568000,243927000,299805000,376969000,402072000,449781000,546530000,591826000,560019000,560932000,546384000,530803000,251685000,290966000
3,Gross Profit,143517000,- -,283899000,316708000,405537000,564836000,652144000,605596000,473896000,343285000,457760000,427012000,474043000,595468000,657354000,629321000,632706000,612669000,584364000,16221000,218184000
4,Gross Profit Ratio,0.6368,- -,0.6162,0.6301,0.6229,0.6255,0.6426,0.6249,0.6602,0.5338,0.5484,0.5150,0.5131,0.5214,0.5262,0.5291,0.5301,0.5286,0.5240,0.0605,0.4285
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,64229000,76961000,73039000,102882000,119210000,244437000,170976000,180659000,218283000,118958000,130125000,155476000,175671000,168733000,167342000,162666000,160585000,78003000,111684000
7,Selling and Marketing Exp.,12621000,11218000,29362000,30792000,42557000,51103000,55340000,52496000,35693000,33182000,41952000,42474000,47306000,54992000,61892000,60086000,58572000,55523000,54369000,23741000,31156000
8,"Selling, General and Administrative Exp.",12621000,11218000,93591000,107753000,115596000,153985000,174550000,296933000,206669000,213841000,260235000,161432000,177431000,210468000,237563000,228819000,225914000,218189000,214954000,101744000,142840000
9,Other Expenses,110646000,- -,158788000,163344000,203452000,276325000,322202000,171249000,224154000,95500000,127945000,186570000,197414000,228257000,239355000,230087000,225734000,211196000,207324000,560051000,160781000
10,Operating Expenses,123267000,- -,252379000,271097000,319048000,430310000,496752000,468182000,430823000,309341000,388180000,348002000,374845000,438725000,476918000,458906000,451648000,429385000,422278000,661795000,303621000
11,COGS and Expenses,205125000,37256000,429182000,457053000,564579000,768530000,859531000,831750000,674750000,609146000,765149000,750074000,824626000,985255000,1068744000,1018925000,1012580000,975769000,953081000,514851000,594587000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,3761000,1388000,111000,3118000,297000,2821000,3479000,3885000,1800000,4340000,10500000,16557000,2836000,3405000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,93110000,98289000,91575000,70830000,82965000,72722000,69809000,70067000,63677000,49509000,51766000,44743000,51432000,50181000,31721000
14,Depreciation and Amortization,28318000,26038000,68285000,61322000,73158000,101837000,117544000,119414000,111060000,101213000,133903000,148404000,141908000,160124000,166884000,163662000,159103000,146540000,147748000,137051000,128682000
15,EBITDA,707000,10818000,44002000,24942000,103363000,155074000,336317000,292446000,-66973000,210585000,297825000,270070000,285850000,311633000,579350000,346752000,348470000,443495000,334762000,-210867000,194810000
16,EBITDA ratio,0.0031,0.0568,0.0955,0.0496,0.1588,0.1717,0.3314,0.3018,-0.0933,0.3275,0.3568,0.3257,0.3094,0.2729,0.4638,0.2915,0.2919,0.3826,0.3002,-0.7871,0.3826
17,Operating Income,20250000,12885000,31520000,45611000,86489000,134526000,155392000,134510000,-87922000,32001000,58718000,79010000,99198000,156743000,180436000,170415000,141005000,298851000,162086000,-246945000,-6566000
18,Operating Income ratio,0.0899,0.0677,0.0684,0.0907,0.1328,0.1490,0.1531,0.1388,-0.1225,0.0498,0.0703,0.0953,0.1074,0.1373,0.1444,0.1433,0.1181,0.2578,0.1453,-0.9218,-0.0129
19,Total Other Income Expenses (Gains),-38316000,-20271000,-54523000,-63873000,-58903000,-91761000,- -,-4349000,-104281000,-1388000,58389000,-76715000,-69462000,-73474000,160622000,-30354000,-2776000,-38025000,-19444000,-156971000,39670000
20,Income Before Tax,-18066000,-7386000,-23003000,-18262000,27586000,42765000,- -,- -,- -,- -,- -,2295000,29736000,83269000,341058000,140061000,138229000,260826000,142642000,-403916000,33104000
21,Income Before Tax Ratio,-0.0802,-0.0388,-0.0499,-0.0363,0.0424,0.0474,- -,- -,- -,- -,- -,0.0028,0.0322,0.0729,0.2730,0.1178,0.1158,0.2250,0.1279,-1.5077,0.0650
22,Income Tax expense (Gain),-8804000,-4834000,-2017000,-280000,- -,- -,- -,- -,- -,- -,- -,1148000,8145000,179000,1434000,-616000,-7775000,1767000,-151000,6590000,109000
23,Net Income,-18807000,-10386000,-22266000,-36100000,30205000,53237000,125663000,74743000,-269608000,38542000,80957000,47796000,65988000,81263000,347355000,134197000,145376000,250445000,135733000,-404689000,34298000
24,Net Income ratio,-0.0834,-0.0545,-0.0483,-0.0718,0.0464,0.0590,0.1238,0.0771,-0.3756,0.0599,0.0970,0.0576,0.0714,0.0712,0.2781,0.1128,0.1218,0.2161,0.1217,-1.5106,0.0674
25,EPS,-0.60,-0.33,-0.71,-1.08,0.47,0.59,1.75,1.00,-4.17,0.18,0.45,0.14,0.29,0.37,1.62,0.55,0.59,1.05,0.54,-1.93,0.16
26,EPS Diluted,-0.60,-0.33,-0.71,-1.08,0.47,0.58,1.75,1.00,-4.17,0.18,0.45,0.14,0.29,0.37,1.62,0.55,0.59,1.05,0.54,-1.93,0.16
27,Weighted Average Shares Outstanding,31354000,31354000,31354000,33196000,40655000,57247000,58998000,53633000,69820000,99709000,117206000,127027000,161784000,192674000,207350000,214966000,221898000,225924000,225681000,215934000,216134007
28,Weighted Average Shares Outstanding Diluted,31635000,31635000,31635000,33488000,40959000,57691000,59139000,53662000,69820000,99709000,117206000,127027000,161784000,192674000,207350000,214966000,221898000,225924000,225681000,215934000,216134007
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295810/000119312505033593/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312506032691/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312507022812/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312508035335/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312509027323/0001193125-09-027323-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000119312510037652/0001193125-10-037652-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465911008076/a11-5778_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000110465912013838/0001104659-12-013838-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465913013600/0001104659-13-013600-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465914013102/a13-26277_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837015000098/sho-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837016003377/0001558370-16-003377-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837017000849/0001558370-17-000849-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837018000688/0001558370-18-000688-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837019000674/0001558370-19-000674-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837020000962/0001558370-20-000962-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837021000947/0001558370-21-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837022001708/0001558370-22-001708-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,20229000,5966000,17538000,29029000,67412000,179042000,358610000,277976000,150533000,157217000,104363000,222096000,499067000,369537000,488002000,809316000,816857000,368406000,120483000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,35816000,- -,118814000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2461498000,- -
33,Cash and Short-Term Investments,- -,- -,20229000,5966000,17538000,29029000,103228000,179042000,477424000,277976000,150533000,157217000,104363000,222096000,499067000,369537000,488002000,809316000,816857000,2829904000,120483000
34,Net Receivables,- -,- -,19491000,28273000,44873000,43078000,37635000,35537000,22686000,18542000,32542000,27498000,29941000,34227000,32024000,39337000,34219000,33844000,35209000,8566000,28733000
