,https://roic.ai/company/TERN,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,1000000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,14554000,61534000,28029000,31311000
6,General and Administrative Exp.,3901000,8663000,8996000,19549000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3901000,8663000,8996000,19549000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,18455000,70197000,37025000,50860000
11,COGS and Expenses,18455000,70197000,37025000,50860000
12,Interest Income ,332000,1204000,55000,170000
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,65000,195000,394000,512000
15,EBITDA,-18390000,-70002000,-36631000,-49138000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-49.1380
17,Operating Income,-18455000,-70197000,-37025000,-49860000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-49.8600
19,Total Other Income Expenses (Gains),370000,1358000,-2733000,210000
20,Income Before Tax,-18085000,-68839000,-39758000,-49650000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-49.6500
22,Income Tax expense (Gain),-67000,-20000,813000,508000
23,Net Income,-17711000,-68611000,-40053000,-50158000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-50.1580
25,EPS,-0.74,-2.86,-1.29,-2.21
26,EPS Diluted,-0.74,-2.86,-1.29,-2.21
27,Weighted Average Shares Outstanding,23971720,23971720,22721720,22721720
28,Weighted Average Shares Outstanding Diluted,23971720,23971720,22721720,22721720
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1831363/000156459021016734/0001564590-21-016734-index.htm,https://www.sec.gov/Archives/edgar/data/1831363/000095017022002962/0000950170-22-002962-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,82522000,12327000,74854000,47699000
32,Short-Term Investments,4361000,7323000,- -,118283000
33,Cash and Short-Term Investments,86883000,19650000,74854000,165982000
34,Net Receivables,- -,- -,12718000,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,1593000,2574000,3297000,948000
37,Total Current Assets,88476000,22224000,90869000,166930000
38,PP&E,261000,961000,1175000,1046000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,335000,719000,246000,94000
45,Total Non-Current Assets,596000,1680000,1421000,1140000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,89072000,23904000,92290000,168070000
48,Accounts Payable,914000,1636000,935000,2126000
49,Short-Term Debt,- -,- -,12880000,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,836000,- -
52,Other Current Liabilities,1461000,3314000,8170000,4694000
