,https://roic.ai/company/CYRX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,271429,152298,67103,83564,35124,117956,475504,555637,1100539,2659943,3935320,7678816,11954267,19626453,33941900,78696000,222608000
2,COGS,- -,499650,315650,176939,386371,546152,717710,1302988,1392460,1587823,2222988,2766391,4577393,5987834,9386188,16590244,42362000,126031000
3,Gross Profit,- -,-228221,-163352,-109836,-302807,-511028,-599754,-827484,-836823,-487284,436955,1168929,3101423,5966433,10240265,17351656,36334000,96577000
4,Gross Profit Ratio,- -,-0.8408,-1.0726,-1.6368,-3.6237,-14.5493,-5.0846,-1.7402,-1.5061,-0.4428,0.1643,0.2970,0.4039,0.4991,0.5218,0.5112,0.4617,0.4338
5,Research and Development Exp.,- -,98698,254487,87857,166227,297378,284847,449129,491849,425446,409111,352580,598106,1205692,1840443,3740642,9484000,16843000
6,General and Administrative Exp.,- -,622797,1023088,1899228,2550778,2387287,3312635,4320461,6106006,5411728,5106219,6409381,6449196,7420837,9798793,17465191,56860000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4820230,5232406,7245644,13820868,- -,- -
8,"Selling, General and Administrative Exp.",- -,622797,1023088,1899228,2550778,2387287,3312635,4320461,6106006,5411728,5106219,6409381,11269426,12653243,17044437,31286059,56860000,97563000
9,Other Expenses,- -,- -,-3,-630,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,721495,1277572,1986455,2717005,2684665,3597482,4769590,6597855,5837174,5515330,6761961,11867532,13858935,18884880,35026701,66344000,114406000
11,COGS and Expenses,- -,1221145,1593222,2163394,3103376,3230817,4315192,6072578,7990315,7424997,7738318,9528352,16444925,19846769,28271068,51616945,108706000,240437000
12,Interest Income ,- -,- -,- -,- -,50076,32098,8164,15571,11940,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,85768,80377,- -,1592718,2693383,7028684,618765,527753,72861,784454,1428015,139416,15693,69253,1366924,2560000,4689000
14,Depreciation and Amortization,- -,92596,88753,111219,1343990,81984,150093,245477,343029,393959,311590,197938,374202,664831,857939,2415222,9869000,20247000
15,EBITDA,- -,-858946,-1352171,-2213440,-1625746,-13928184,1528816,-5286436,-6960546,-5914013,-18467782,-5399360,-12593929,-7213334,-8608455,-14487758,-20309000,-248906000
16,EBITDA ratio,- -,-3.1645,-8.8785,-32.9857,-19.4551,-396.5432,12.9609,-11.1175,-12.5271,-5.3737,-6.9429,-1.3720,-1.6401,-0.6034,-0.4386,-0.4268,-0.2581,-1.1181
17,Operating Income,- -,-949716,-1440924,-2096291,-3019812,-3195693,-4197236,-5597074,-7434678,-6324458,-5078375,-5593032,-8766109,-7892502,-8644615,-17675045,-30010000,-17829000
