,https://roic.ai/company/DFIN,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1085400000,1080100000,1049500000,983500000,1004900000,963000000,874700000,894500000,993300000
2,COGS,684800000,653300000,631500000,619000000,621400000,587300000,542400000,496000000,413100000
3,Gross Profit,400600000,426800000,418000000,364500000,383500000,375700000,332300000,398500000,580200000
4,Gross Profit Ratio,0.3691,0.3951,0.3983,0.3706,0.3816,0.3901,0.3799,0.4455,0.5841
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,189700000,290500000,199200000,209800000,232900000,258200000,205800000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",189700000,290500000,199200000,209800000,232900000,258200000,205800000,- -,307700000
9,Other Expenses,37100000,40700000,41700000,43300000,44500000,-8000000,34400000,315700000,39600000
10,Operating Expenses,226800000,331200000,240900000,253100000,277400000,250200000,240200000,315700000,347300000
11,COGS and Expenses,911600000,984500000,872400000,872100000,898800000,837500000,782600000,811700000,760400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2200000,1500000,1100000,11700000,42900000,36700000,34000000,25500000,19800000
14,Depreciation and Amortization,37100000,40700000,41700000,43300000,44500000,45800000,71700000,74200000,57600000
15,EBITDA,198200000,134600000,214500000,149300000,143600000,185200000,157800000,82200000,275200000
16,EBITDA ratio,0.1826,0.1246,0.2044,0.1518,0.1429,0.1923,0.1804,0.0919,0.2771
17,Operating Income,160800000,90800000,172700000,106000000,99000000,121100000,78500000,3600000,219300000
18,Operating Income ratio,0.1481,0.0841,0.1646,0.1078,0.0985,0.1258,0.0897,0.0040,0.2208
19,Total Other Income Expenses (Gains),-1900000,1600000,-1000000,-11700000,-42800000,-18400000,-26400000,-21100000,-21500000
