,https://roic.ai/company/KMPH,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,12839000,13288000,28650000
2,COGS,- -,- -,- -,- -,- -,- -,2945000,1305000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,9894000,11983000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.7706,0.9018,- -
5,Research and Development Exp.,3367000,11917217,13931000,20472000,20593000,41759000,19415000,8843000,10161000
6,General and Administrative Exp.,1351000,- -,8883000,17010000,12773000,12508000,10816000,7921000,8701000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1351000,- -,8883000,17010000,12773000,12508000,10816000,7921000,8701000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,2059000
10,Operating Expenses,4718000,- -,22814000,37482000,33366000,54267000,30231000,16764000,20921000
11,COGS and Expenses,4718000,16443310,22814000,37482000,33366000,54267000,33176000,18069000,- -
12,Interest Income ,52000,4283,32000,353000,365000,420000,309000,89000,- -
13,Interest Expense (Gain),157000,2715350,2671000,7127000,7337000,7087000,6514000,7090000,150000
14,Depreciation and Amortization,68000,74763,84000,175000,336000,324000,304000,273000,150000
15,EBITDA,-4598000,-16364264,-22730000,-37307000,-33030000,-53943000,-17726000,-5431000,-8289000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3806,-0.4087,-0.2893
17,Operating Income,-4718000,-16443310,-22814000,-37482000,-33366000,-55903000,-20337000,-5609000,7729000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.5840,-0.4221,0.2698
19,Total Other Income Expenses (Gains),-528000,-8033698,-31824000,20951000,-10063000,-689000,-4207000,-7185000,-16250000
20,Income Before Tax,-5246000,-24477008,-54638000,-16531000,-43429000,-56592000,-24544000,-12794000,-8521000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9117,-0.9628,-0.2974
22,Income Tax expense (Gain),-20000,-22247,26000,-15000,-43000,-126000,-22000,-34000,-34000
23,Net Income,-5226000,-24454761,-54664000,-16516000,-43386000,-56466000,-24522000,-12760000,-8555000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9100,-0.9603,-0.2986
25,EPS,-10.69,-50.08,-118.72,-18.08,-47.36,-50.40,-13.28,-3.21,-2.15
26,EPS Diluted,-10.69,-50.08,-118.72,-18.08,-47.36,-50.40,-13.28,-3.21,-2.15
27,Weighted Average Shares Outstanding,488959,488959,460542,912315,915806,1120626,1853435,3980975,3980975
28,Weighted Average Shares Outstanding Diluted,488959,488959,460542,912315,915806,1120626,1853435,3980975,3980975
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434647/000156459016014881/0001564590-16-014881-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774917004317/0001437749-17-004317-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774918005932/0001437749-18-005932-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774919003789/0001437749-19-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774920003965/0001437749-20-003965-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774921005785/0001437749-21-005785-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774922007725/0001437749-22-007725-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1968632,10255021,32318000,16762000,10871000,18409000,3217000,4213000,112346000
32,Short-Term Investments,- -,- -,19002000,51003000,31358000,3260000,- -,- -,- -
33,Cash and Short-Term Investments,1968632,10255021,51320000,67765000,42229000,21669000,3217000,4213000,112346000
34,Net Receivables,20427,22415,2375000,5061000,2081000,140000,1865000,2579000,1528000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,50543,178,383000,1531000,2686000,1912000,1552000,1590000,1182000
37,Total Current Assets,2039602,10277614,54078000,74357000,46996000,23721000,6634000,8382000,115056000
38,PP&E,380203,352194,403000,1970000,2004000,1753000,3008000,2389000,2025000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,8200000,3250000,- -,- -,- -,15422000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9179,3083972,1242000,360000,206000,1272000,865000,438000,438000
45,Total Non-Current Assets,389382,3436166,1645000,10530000,5460000,3025000,3873000,2827000,17885000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2428984,13713780,55723000,84887000,52456000,26746000,10507000,11209000,132941000
48,Accounts Payable,386071,1670486,1252000,469000,2177000,3715000,1140000,1174000,- -
49,Short-Term Debt,3877303,31507,3436000,157000,3522000,3547000,284000,889000,356000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,979503,2232569,3654000,6016000,5810000,4742000,4007000,5473000,3874000
53,Total Current Liabilities,5242877,3934562,8342000,6642000,11509000,12004000,5431000,7536000,4230000
54,Long-Term Debt,34845,18088603,19663000,91170000,89398000,78105000,77343000,68049000,1232000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,21418559,15992303,37839000,5771000,9065000,3203000,2189000,2036000,361000
58,Total Non-Current Liabilities,21453404,34080906,57502000,96941000,98463000,81308000,79532000,70085000,1593000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,89222,57919,26000,157000,751000,610000,2185000,2108000,- -
61,Total Liabilities,26696281,38015468,65844000,103583000,109972000,93312000,84963000,77621000,5823000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,1000,3000,4000,- -,4000
64,Retained Earnings,-25705599,-50160360,-104824000,-121340000,-164726000,-221192000,-245714000,-258474000,-267029000
65,Other Comprehensive Income/Loss,-324285,-394453,-478000,-605000,-929000,-1253000,-1560000,- -,- -
66,Other Total Stockholders Equity,1762587,26253125,95180000,103248000,108138000,155876000,172814000,192062000,394143000
67,Total Stockholders Equity,-24267297,-24301688,-10121000,-18696000,-57516000,-66566000,-74456000,-66412000,127118000
68,Total Liabilities And Stockholders Equity,2428984,13713780,55723000,84887000,52456000,26746000,10507000,11209000,132941000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2428984,13713780,55723000,84887000,52456000,26746000,10507000,11209000,132941000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434647/000156459016014881/0001564590-16-014881-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774917004317/0001437749-17-004317-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774918005932/0001437749-18-005932-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774919003789/0001437749-19-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774920003965/0001437749-20-003965-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774921005785/0001437749-21-005785-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774922007725/0001437749-22-007725-index.htm
