,https://roic.ai/company/ARNC,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,6661000000,6824000000,7442000000,7277000000,5675000000,7504000000
2,COGS,5602000000,5866000000,6549000000,6270000000,4862000000,6573000000
3,Gross Profit,1059000000,958000000,893000000,1007000000,813000000,931000000
4,Gross Profit Ratio,0.1590,0.1404,0.1200,0.1384,0.1433,0.1241
5,Research and Development Exp.,83000000,66000000,63000000,45000000,36000000,34000000
6,General and Administrative Exp.,396000000,361000000,288000000,346000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",396000000,361000000,288000000,346000000,- -,247000000
9,Other Expenses,257000000,266000000,272000000,252000000,509000000,253000000
10,Operating Expenses,736000000,693000000,623000000,643000000,545000000,534000000
11,COGS and Expenses,6338000000,6559000000,7172000000,6913000000,5407000000,7107000000
12,Interest Income ,6000000,10000000,13000000,13000000,4000000,1000000
13,Interest Expense (Gain),97000000,168000000,129000000,115000000,118000000,100000000
14,Depreciation and Amortization,257000000,266000000,272000000,252000000,251000000,253000000
15,EBITDA,522000000,685000000,642000000,544000000,261000000,-106000000
16,EBITDA ratio,0.0784,0.1004,0.0863,0.0748,0.0460,-0.0141
17,Operating Income,256000000,132000000,374000000,277000000,80000000,-292000000
18,Operating Income ratio,0.0384,0.0193,0.0503,0.0381,0.0141,-0.0389
19,Total Other Income Expenses (Gains),-88000000,119000000,-133000000,-100000000,-188000000,-167000000
20,Income Before Tax,168000000,251000000,241000000,177000000,-108000000,-459000000
21,Income Before Tax Ratio,0.0252,0.0368,0.0324,0.0243,-0.0190,-0.0612
22,Income Tax expense (Gain),13000000,42000000,71000000,-48000000,1000000,-62000000
23,Net Income,155000000,209000000,170000000,225000000,-109000000,-397000000
24,Net Income ratio,0.0233,0.0306,0.0228,0.0309,-0.0192,-0.0529
25,EPS,1.28,1.85,1.51,2.07,-1.00,-3.64
26,EPS Diluted,1.27,1.84,1.49,2.07,-1.00,-3.64
27,Weighted Average Shares Outstanding,120700000,112700000,112700000,108604051,109073652,109073652
28,Weighted Average Shares Outstanding Diluted,122100000,113800000,113800000,108604051,109073652,109073652
