,https://roic.ai/company/HCM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,37860362,50433250,65109711,86971423,110996951,134509287,166924327,195392000,45970000,91813000,178203000,216080000,241203000,214109000,204890000,227976000,356128000
2,COGS,14615669,21321438,27656068,36126905,44586018,54641364,74158544,99400000,22208000,72049000,110777000,- -,- -,- -,- -,188519000,258234000
3,Gross Profit,23244694,29111812,37453644,50844518,66410934,79867923,92765783,95992000,23762000,19764000,67426000,216080000,241203000,214109000,204890000,39457000,97894000
4,Gross Profit Ratio,0.6140,0.5772,0.5752,0.5846,0.5983,0.5938,0.5557,0.4913,0.5169,0.2153,0.3784,1.0000,1.0000,1.0000,1.0000,0.1731,0.2749
5,Research and Development Exp.,2047157,2772180,5643645,8807528,3856307,6405279,7290283,- -,- -,- -,47368000,355000,9682000,17681000,15532000,5365000,207447000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,35730000,21295000,22572000,19620000,- -,- -,- -,- -,50015000,89298000
7,Selling and Marketing Exp.,18200774,16044088,23090558,31743556,44810767,52704593,56500860,62681000,3452000,4112000,10209000,-17998000,-19322000,-17736000,-13724000,11334000,37827000
8,"Selling, General and Administrative Exp.",18200774,16044088,23090558,31743556,44810767,52704593,56500860,98411000,24747000,26684000,29829000,-17998000,-19322000,-17736000,-13724000,61349000,127125000
9,Other Expenses,8909434,15684804,18623425,24429225,22841946,23352416,23387651,-1009000,65000,261000,- -,124092000,128440000,162861000,187949000,169411000,91639000
10,Operating Expenses,29157365,34501071,47357628,64980308,71509019,82462288,87178794,97402000,24812000,26945000,77197000,106449000,118800000,162806000,189757000,236125000,426211000
11,COGS and Expenses,43773034,55822509,75013695,101107213,116095037,137103652,161337337,196802000,47020000,98994000,187974000,262777000,294620000,306750000,345995000,424644000,684445000
12,Interest Income ,175471,559541,937596,1220513,282958,225461,133653,578000,451000,559000,451000,502000,1220000,5978000,4944000,3236000,2076000
13,Interest Expense (Gain),495446,388733,299147,527868,399374,402385,561030,737000,1014000,1045000,1404000,1631000,1455000,1009000,1030000,787000,592000
14,Depreciation and Amortization,2318964,2866418,3800576,4651658,4567743,4579673,4562838,4049000,963000,1265000,2015000,- -,147000,76000,195000,6061000,7190000
15,EBITDA,-3820786,-6349312,-12252993,-11072113,-1715531,701434,8976482,12586000,8942000,9027000,13017000,-45725000,-51934000,-85570000,-139880000,-114053000,-174948000
16,EBITDA ratio,-0.1009,-0.1259,-0.1882,-0.1273,-0.0155,0.0052,0.0538,0.0644,0.1945,0.0983,0.0730,-0.2116,-0.2153,-0.3997,-0.6827,-0.5003,-0.4913
17,Operating Income,-5728599,-5383369,-9723291,-14227657,-4614633,-2207637,5388065,12111000,11555000,8100000,-9771000,-46697000,-53417000,-92641000,-146386000,-196668000,-328317000
18,Operating Income ratio,-0.1513,-0.1067,-0.1493,-0.1636,-0.0416,-0.0164,0.0323,0.0620,0.2514,0.0882,-0.0548,-0.2161,-0.2215,-0.4327,-0.7145,-0.8627,-0.9219
19,Total Other Income Expenses (Gains),-502328,-386770,-299147,-527868,-399374,-402385,-561030,-1208000,-1485000,-1516000,-769000,-659000,-119000,5986000,5281000,6934000,112577000
20,Income Before Tax,-6230927,-5770139,-10022438,-14755526,-5014007,-2610022,4827035,10903000,10070000,6584000,-10540000,-47356000,-53536000,-86655000,-141105000,-189734000,-215740000
21,Income Before Tax Ratio,-0.1646,-0.1144,-0.1539,-0.1697,-0.0452,-0.0194,0.0289,0.0558,0.2191,0.0717,-0.0591,-0.2192,-0.2220,-0.4047,-0.6887,-0.8323,-0.6058
22,Income Tax expense (Gain),141065,1963,837211,1503404,2066398,2583405,3142390,4162000,1050000,1343000,1605000,-4331000,-3080000,-3964000,-3274000,4829000,11918000
23,Net Income,-6776262,-9606427,-17189927,-17755043,-8749046,-6864029,710224,3638000,5915000,5374000,7993000,-43025000,-50456000,-82691000,-137831000,-125730000,-194648000
24,Net Income ratio,-0.1790,-0.1905,-0.2640,-0.2041,-0.0788,-0.0510,0.0043,0.0186,0.1287,0.0585,0.0449,-0.1991,-0.2092,-0.3862,-0.6727,-0.5515,-0.5466
25,EPS,-0.09,-0.10,-0.17,-0.17,-0.09,-0.07,0.01,0.04,0.06,0.05,-0.32,0.10,-0.21,-0.56,-0.80,-0.90,-1.25
26,EPS Diluted,-0.09,-0.10,-0.17,-0.17,-0.09,-0.07,0.01,0.03,0.06,0.05,-0.32,0.10,-0.21,-0.56,-0.80,-0.90,-1.25
27,Weighted Average Shares Outstanding,73334000,91426000,102432000,102458000,102464000,103056000,103486000,103837796,104101976,105126774,109318630,119430346,123434342,132852764,133136629,139586287,158536905
28,Weighted Average Shares Outstanding Diluted,73334000,91426000,102432000,102458000,102464000,103056000,105308000,105300724,105756852,105787402,109318630,119942100,123434342,132852764,133136629,139586287,158536905
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1648257/000155837017001647/0001558370-17-001647-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746918001485/0001047469-18-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746919001057/0001047469-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000110465920028220/0001104659-20-028220-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5616780,10069766,53344589,38206298,41751592,45309792,53762535,62009000,46863000,38946000,31941000,79431000,13843000,16843000,21421000,235630000,377542000
