,https://roic.ai/company/CUEN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,1796,334,1,- -,63768,9800,3729811,- -,5246,4843,1027984,53792600,74650000,967000,558000,593000
2,COGS,- -,- -,- -,- -,- -,4361,5583,2974362,- -,10164,15121,1058778,51398809,74177000,808000,697000,469000
3,Gross Profit,- -,- -,334,1,- -,59407,4217,755449,- -,-4918,-10278,-30794,2393791,473000,159000,-139000,124000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,- -,0.9316,0.4303,0.2025,- -,-0.9375,-2.1222,-0.0300,0.0445,0.0063,0.1644,-0.2491,0.2091
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1004,- -,72116,63134,- -,- -,1053581,- -,699056,468502,5172969,3955944,3769000,2305000,5840000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1004,69431,72116,63134,57656,19442,1053581,- -,699056,468502,5172969,3955944,3769000,2305000,5840000,8980000
9,Other Expenses,- -,61323,- -,918,918,619,25,1441,- -,- -,- -,- -,- -,- -,- -,1800000,1809000
10,Operating Expenses,- -,62327,69431,73034,64052,58275,19467,1055022,- -,699056,468502,5172969,3955944,3769000,2305000,7640000,10789000
11,COGS and Expenses,- -,62327,69431,73034,64052,62636,25050,4029384,- -,709220,483623,6231747,55354753,77946000,3113000,8337000,11258000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,74792,- -,32204,242172,1554618,1053065,978000,1092000,108000,172000
14,Depreciation and Amortization,- -,1644,- -,- -,- -,619,7925,1918,- -,398,4528,217540,154831,465000,1000,1801000,1899000
15,EBITDA,- -,-58887,-69097,-73033,-64052,1751,73312,-282655,- -,-541148,-1578302,-7670318,-587465,-2119000,-227000,-6192000,-8657000
16,EBITDA ratio,- -,-32.7879,-206.8772,-73033.0000,-Infinity,0.0275,7.4808,-0.0758,- -,-103.1544,-325.8935,-7.4615,-0.0109,-0.0284,-0.2347,-11.0968,-14.5987
17,Operating Income,- -,-60531,-69097,- -,- -,- -,-15250,-299573,- -,-703974,-478780,-7877309,-1562153,-5213000,-2146000,-7779000,-10665000
18,Operating Income ratio,- -,-33.7032,-206.8772,- -,- -,- -,-1.5561,-0.0803,- -,-134.1925,-98.8602,-7.6629,-0.0290,-0.0698,-2.2192,-13.9409,-17.9848
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,80637,-59792,- -,130224,-1346222,-2164076,-249585,1628000,860000,296000,-63000
20,Income Before Tax,- -,-60531,-69097,-73033,-64052,1132,65387,-359365,- -,-573750,-1825002,-10041385,-1811738,-3585000,-1286000,-7483000,-10728000
21,Income Before Tax Ratio,- -,-33.7032,-206.8772,-73033.0000,-Infinity,0.0178,6.6721,-0.0963,- -,-109.3690,-376.8330,-9.7680,-0.0337,-0.0480,-1.3299,-13.4104,-18.0911
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1087096,- -,- -,- -,- -
23,Net Income,- -,-60531,-69097,-73033,-64052,1132,65387,-359365,- -,-573750,-1825002,-9442476,-708265,-3562000,-1320000,-8101000,-10728000
24,Net Income ratio,- -,-33.7032,-206.8772,-73033.0000,-Infinity,0.0178,6.6721,-0.0963,- -,-109.3690,-376.8330,-9.1854,-0.0132,-0.0477,-1.3650,-14.5179,-18.0911
25,EPS,- -,-500.26,-571.05,-603.58,-529.36,6.09,523.10,-2530.74,- -,-61.79,-110.26,-30.00,-1.96,-7.25,-1.45,-1.16,-1.54
26,EPS Diluted,- -,-500.26,-571.05,-603.58,-529.36,6.09,523.10,-2530.74,- -,-61.79,-110.26,-30.00,-1.96,-7.25,-1.45,-1.16,-1.54
27,Weighted Average Shares Outstanding,- -,121,121,121,121,186,125,142,142,9286,16515,312661,361061,491196,913880,6968554,6968554
28,Weighted Average Shares Outstanding Diluted,- -,121,121,121,121,186,125,142,142,9286,16515,312661,361061,491196,913880,6968554,6968554
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390009000640/0001213900-09-000640-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390012001847/0001213900-12-001847-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424657/000126246314000044/0001262463-14-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390015000111/0001213900-15-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000146970916000697/0001469709-16-000697-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390018007172/0001213900-18-007172-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390019006353/0001213900-19-006353-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390020007967/0001213900-20-007967-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390021017558/0001213900-21-017558-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390022017203/0001213900-22-017203-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25305,14812,3789,- -,6436,7281,- -,4659,8799,- -,256302,92714,154000,16000,227000,6607000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,1000,3000,- -
33,Cash and Short-Term Investments,- -,25305,14812,3789,- -,6436,7281,- -,4659,8799,- -,256302,92714,233000,17000,230000,6607000
34,Net Receivables,- -,461,- -,- -,- -,- -,302872,521548,- -,899,- -,45661,7767742,3673000,54000,54000,11000
35,Inventory,- -,- -,- -,- -,- -,314621,- -,- -,15553,39560,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,10784,21204,506,7010,- -,- -,298975,74365,127000,94000,12000,162000
37,Total Current Assets,- -,25766,14812,3789,- -,331841,331357,522054,27222,49258,- -,600938,7934821,4033000,165000,296000,6780000
38,PP&E,- -,- -,- -,- -,- -,12092,1719,1669,- -,3577,3361,- -,5608,13000,5000,4000,2000
39,Goodwill,- -,- -,- -,- -,- -,695793,879253,879253,- -,- -,- -,- -,1333713,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,14833,- -,- -,- -,- -,- -,118056,2970479,1924000,9000000,7200000,5438000
41,Intangible Assets,- -,- -,- -,- -,- -,710626,879253,879253,- -,- -,- -,118056,4304192,1924000,9000000,7200000,5438000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,9781,- -,- -,95591,- -,- -,- -,- -,- -,38000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,722718,880972,890703,- -,3577,98952,118056,4559800,1937000,9005000,7204000,5478000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25766,14812,3789,- -,1054559,1212329,1412757,27222,52835,98952,718994,12494621,5970000,9170000,7500000,12258000
48,Accounts Payable,- -,10000,16855,65947,111665,1070106,331755,515964,- -,- -,- -,851339,5067841,3184000,1525000,2354000,- -
49,Short-Term Debt,- -,- -,- -,- -,1627,126000,41302,687027,378595,266127,226079,1431309,194945,110000,359000,812000,97000
50,Tax Payable,- -,- -,- -,2984,3902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,128,- -,- -,- -,- -,- -,- -,- -,- -,- -,715642,685905,583000,537000,652000,683000
52,Other Current Liabilities,- -,5900,12816,25734,38652,9265,256898,148461,1456500,1277190,2242688,7325767,9061846,7704000,1496000,2662000,1939000
53,Total Current Liabilities,- -,16028,29671,91681,151944,1205371,629955,1351452,1835095,1543317,2468767,10324057,15010537,11581000,3917000,6480000,2719000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,667799,171990,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,194105,- -,- -,- -,- -,2655601,839000,- -,89000,89000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,667799,366095,- -,- -,- -,- -,2655601,839000,- -,89000,89000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,16028,29671,91681,151944,1205371,1297754,1717547,1835095,1543317,2468767,10324057,17666138,12420000,3917000,6569000,2808000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,10000,8320,60000,10000,10000,10000,10000,- -,- -
63,Common Stock,- -,24653,25733,25733,8578,8578,47549,53446,74207,3482654,17664,249226,342119,2000,5000,11000,15000
64,Retained Earnings,- -,-67512,-136609,-209642,-273694,-272562,-207175,-566540,-1548373,-2122123,-4128312,-13499303,-14207568,-18070000,-19390000,-27491000,-38219000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-12661,-268472,- -,- -,- -,-1211,- -,-300000,- -,-4000,- -,- -
66,Other Total Stockholders Equity,- -,52597,96017,96017,- -,125833,342673,208304,-343707,-2859333,1682044,6791750,9613865,12260000,25250000,28411000,47654000
67,Total Stockholders Equity,- -,9738,-14859,-87892,-151944,-150812,-85425,-304790,-1807873,-1490482,-2369815,-6448327,-4541584,-5798000,5871000,931000,9450000
68,Total Liabilities And Stockholders Equity,- -,25766,14812,3789,- -,1054559,1212329,1412757,27222,52835,98952,3875730,13124554,6622000,9788000,7500000,12258000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3156736,-629933,-652000,-618000,- -,- -
70,Total Liabilities & Equity,- -,25766,14812,3789,- -,1054559,1212329,1412757,27222,52835,98952,718994,12494621,5970000,9170000,7500000,12258000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390009000640/0001213900-09-000640-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390012001847/0001213900-12-001847-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424657/000126246314000044/0001262463-14-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390015000111/0001213900-15-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000146970916000697/0001469709-16-000697-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1424657/000121390018007172/0001213900-18-007172-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390019006353/0001213900-19-006353-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390020007967/0001213900-20-007967-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390021017558/0001213900-21-017558-index.htm,https://www.sec.gov/Archives/edgar/data/1424657/000121390022017203/0001213900-22-017203-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,-60531,-69097,-73033,-64052,1132,65387,-359365,- -,-573750,-1825002,-9442476,-708265,-3562000,-1320000,-8101000,-10728000
74,Depreciation and Amortization,- -,1644,- -,- -,- -,619,7925,1918,- -,398,4528,217540,154831,465000,1000,1801000,1899000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1087096,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1130818,1154477,444000,487000,1444000,2745000
77,Change in Working Capital,- -,13678,9674,-24597,-73033,-64052,-721586,574932,-530800,313814,-974708,-7254352,2647403,-472284,3796000,-2432000,10245000
78,Accounts Receivable,- -,-461,- -,- -,- -,- -,11749,-218676,- -,-899,899,28363,5862658,3960000,18000,- -,-11000
79,Inventory,- -,- -,- -,- -,- -,-314621,- -,- -,-15553,-24007,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,9225,- -,49092,45718,958441,-738351,183033,- -,- -,- -,1236021,-7534252,-1977000,199000,2490000,-1544000
81,Other Working Capital,- -,64,9738,-14859,-87892,-151944,-873530,-298598,-829398,-1494059,-2468767,-9723119,-7075716,-7548000,-3752000,-6184000,4061000
82,Other Non-Cash Items,- -,23105,45380,86607,131669,663301,147498,-380960,420800,-138388,2431540,14419028,-2470296,2608284,-4279000,5550000,-13491000
83,Cash Provided by Operating Activities,- -,-22104,-14043,-11023,-5416,601000,-500776,-163475,-110000,-397926,-363642,-929442,-308946,-517000,-1315000,-1738000,-9330000
84,CAPEX,- -,- -,- -,- -,- -,-723337,-183459,- -,- -,-3975,-14478,- -,-5676,-9000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88798,139421,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-710626,-166179,- -,4658,- -,- -,5914,- -,- -,- -,- -,-87000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-723337,-166179,- -,- -,-3975,-14478,94712,133745,-9000,- -,- -,-87000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-16128,- -,-12468,- -,-31601,-652380,-48000,- -,- -,- -
91,Common Stock Issued,- -,37250,2050,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,535000,1591000,750000,6264000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4000,1500,- -,1627,128773,667799,172322,120000,418509,369321,1104586,599993,100000,-414000,1199000,9533000
95,Cash Used/Provided by Financing Activities,- -,41250,3550,- -,1627,128773,667799,156194,120000,406041,369321,1072985,11613,587000,1177000,1949000,15797000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,19146,-10493,-11023,1627,128773,845,156194,4659,4140,369321,238255,-163588,61000,-138000,211000,6380000
98,Cash at the End of Period,- -,25305,14812,3789,- -,6436,7281,- -,4659,8799,- -,256302,92714,154000,16000,227000,6607000
99,Cash at the Beginning of Period,- -,6159,25305,14812,3789,- -,6436,7281,- -,4659,8799,18047,256302,93000,154000,16000,227000
