,https://roic.ai/company/ZTO,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,3903572000,6086455000,9788768000,13060073000,17604451000,22109946000,25214290000,30405839000
2,COGS,2770530000,3998737000,6345899000,8714489000,12239568000,15488778000,19377184000,23816462000
3,Gross Profit,1133042000,2087718000,3442869000,4345584000,5364883000,6621168000,5837106000,6589377000
4,Gross Profit Ratio,0.2903,0.3430,0.3517,0.3327,0.3047,0.2995,0.2315,0.2167
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,1875869000
9,Other Expenses,532741000,558489000,673891000,597149000,1032660000,1158337000,1082739000,-789503000
10,Operating Expenses,532741000,558489000,673891000,597149000,1032660000,1158337000,1082739000,1086366000
11,COGS and Expenses,3303271000,4557226000,7019790000,9311638000,13272228000,16647115000,20459923000,24902828000
12,Interest Income ,3408000,15091000,44791000,166325000,401162000,585404000,442697000,363890000
13,Interest Expense (Gain),798000,16392000,12986000,15668000,780000,- -,35307000,126503000
14,Depreciation and Amortization,64014000,158056000,324978000,560366000,853718000,1264566000,1840462000,- -
15,EBITDA,673724000,1926202000,3123806000,4382058000,6166656000,8017006000,6877815000,5886781000
16,EBITDA ratio,0.1726,0.3165,0.3191,0.3355,0.3503,0.3626,0.2728,0.1936
17,Operating Income,600301000,1529229000,2768978000,3748435000,4332223000,5462831000,4754367000,5503011000
18,Operating Income ratio,0.1538,0.2513,0.2829,0.2870,0.2461,0.2471,0.1886,0.1810
19,Total Other Income Expenses (Gains),2610000,222847000,51333000,72508000,1004208000,1294287000,280419000,236186000
20,Income Before Tax,602911000,1752076000,2820311000,3820943000,5336431000,6757118000,5034786000,5739197000
21,Income Before Tax Ratio,0.1545,0.2879,0.2881,0.2926,0.3031,0.3056,0.1997,0.1888
22,Income Tax expense (Gain),202486000,419999000,731987000,646361000,929133000,1078295000,689833000,1005451000
23,Net Income,406426000,1331755000,2053855000,3159663000,4383025000,5674145000,4312213000,4754827000
24,Net Income ratio,0.1041,0.2188,0.2098,0.2419,0.2490,0.2566,0.1710,0.1564
25,EPS,0.52,1.76,2.91,4.41,5.83,7.24,5.42,5.97
26,EPS Diluted,0.52,1.76,2.91,4.40,5.82,7.23,5.42,5.97
27,Weighted Average Shares Outstanding,783124385,731406440,634581307,717138526,751814077,784007583,796097532,796097532
28,Weighted Average Shares Outstanding Diluted,783224329,731406440,634581307,717599562,752672956,784331120,796147504,796147504
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1677250/000110465917026948/a17-1334_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465918025967/a17-27927_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465919021667/a18-41129_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465920049056/zto-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
