,https://roic.ai/company/NTIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3400000,3800000,4000000,4900000,6200000,6900000,8700000,10100000,9900000,11032199,9269719,7594383,8353875,10915676,14816672,16604964,16829030,12690752,8575308,14386764,19526527,22781653,22501864,26826108,30322693,32933565,39569123,51424821,55750137,47638691,56493819
2,COGS,1500000,1800000,1800000,2100000,2900000,3000000,4000000,4800000,4600000,5364345,4611455,3589172,3970073,5280420,8967155,10346437,10799180,7638690,5620668,9384866,12768640,14528785,15473212,17803153,20555932,22320156,26316511,34165440,37970244,31609274,36920814
3,Gross Profit,1900000,2000000,2200000,2800000,3300000,3900000,4700000,5300000,5300000,5667854,4658264,4005211,4383802,5635256,5849517,6258527,6029850,5052062,2954640,5001898,6757887,8252868,7028652,9022955,9766761,10613409,13252612,17259381,17779893,16029417,19573005
4,Gross Profit Ratio,0.5588,0.5263,0.5500,0.5714,0.5323,0.5652,0.5402,0.5248,0.5354,0.5138,0.5025,0.5274,0.5248,0.5163,0.3948,0.3769,0.3583,0.3981,0.3446,0.3477,0.3461,0.3623,0.3124,0.3363,0.3221,0.3223,0.3349,0.3356,0.3189,0.3365,0.3465
5,Research and Development Exp.,- -,- -,- -,300000,400000,400000,400000,500000,600000,587434,648129,805796,897920,663346,759662,296676,229988,174711,14639,3333683,4364109,3875581,3815515,4368752,4047279,4724596,2912393,3524953,3822070,3979455,4400479
6,General and Administrative Exp.,- -,- -,- -,- -,- -,2200000,3000000,2700000,3200000,3406606,3535581,3433184,- -,- -,- -,- -,- -,- -,2804257,4798972,4343283,5364324,4605979,5393531,6531576,7230557,7807563,8500490,9349559,8688309,8262173
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2424682,3059207,4090704,4585901,4845676,5221738,5820748,6255353,9283310,10886011,10968592,10656689,12016974
8,"Selling, General and Administrative Exp.",1100000,1500000,1600000,1600000,1800000,2200000,3000000,2700000,3200000,3406606,3535581,3433184,4153654,4556046,5079407,5870266,6297484,6634608,5228939,7858179,8433987,9950225,9451655,10615269,12352324,13485910,17090873,19386501,20318151,19344998,20279147
9,Other Expenses,100000,- -,100000,100000,100000,100000,100000,100000,200000,198264,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000576,- -,-5965783,-6734849,-3847921,-4135898,-5452687,-6142139,-5727579,-4612885,- -
10,Operating Expenses,1200000,1500000,1700000,2000000,2300000,2700000,3500000,3300000,4000000,4192304,4183710,4238980,5051574,5219392,5839069,6166942,6527472,6809319,5243578,11191862,13798672,13825806,7301387,8249172,12551682,14074608,14550579,16769315,18412642,18711568,24679626
11,COGS and Expenses,2700000,3300000,3500000,4100000,5200000,5700000,7500000,8100000,8600000,9556649,8795165,7828152,9021647,10499812,14806224,16513379,17326652,14448009,10864246,20576728,26567312,28354591,22774599,26052325,33107614,36394764,40867090,50934755,56382886,50320842,61600440
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101497,- -,- -,- -,4165,- -,6340,30939,108692,54652,34614,11617,34835,42115,43539,99463,78257,167733,151875
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164372,- -,132411,97676,59541,29388,52215,47322,20960,13261,20382,17962,13567,16034,16086
14,Depreciation and Amortization,100000,- -,100000,100000,100000,100000,100000,100000,200000,198264,265309,194329,191570,200542,288372,359392,460469,507883,517265,538263,493605,480039,507083,541541,618112,779040,906144,1105867,1102960,1068225,1108387
