,https://roic.ai/company/PATI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,89600000,97800000,103476000,112120000,129162000,122882000,120172000,112165000,114065000,108716000,88713000,81268000
2,COGS,- -,22400000,79956000,82293000,101710000,89599000,86707000,83103000,84782000,82003000,65979000,60592000
3,Gross Profit,- -,75400000,23520000,29827000,27452000,33283000,33465000,29062000,29283000,26713000,22734000,20676000
4,Gross Profit Ratio,- -,0.7710,0.2273,0.2660,0.2125,0.2709,0.2785,0.2591,0.2567,0.2457,0.2563,0.2544
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,54600000,18035000,18882000,22687000,22640000,22930000,22843000,23588000,21580000,19690000,17961000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,54600000,18035000,18882000,22687000,22640000,22930000,22843000,23588000,21580000,19690000,17961000
9,Other Expenses,- -,13800000,- -,3820000,- -,4520000,4719000,4418000,4679000,4811000,3575000,3270000
10,Operating Expenses,- -,68400000,18035000,22702000,22687000,27160000,27649000,27261000,28267000,26391000,23265000,21231000
11,COGS and Expenses,- -,90800000,97991000,104995000,124397000,116759000,114356000,110364000,113049000,108394000,89244000,81823000
12,Interest Income ,- -,- -,- -,- -,7000,- -,6000,6000,190000,446000,135000,5000
13,Interest Expense (Gain),- -,200000,27000,19000,109000,112000,130000,80000,39000,32000,31000,27000
14,Depreciation and Amortization,- -,6880000,7153000,7819000,9294000,9485000,9729000,10293000,9469000,8474000,9071000,8217000
15,EBITDA,- -,14480000,13986000,16389000,14644000,15071000,19212000,12671000,11705000,10899000,9449000,9102000
16,EBITDA ratio,- -,0.1481,0.1352,0.1462,0.1134,0.1226,0.1599,0.1130,0.1026,0.1003,0.1065,0.1120
17,Operating Income,- -,7000000,6736000,8570000,5343000,5586000,7790000,2372000,2046000,1979000,243000,880000
18,Operating Income ratio,- -,0.0716,0.0651,0.0764,0.0414,0.0455,0.0648,0.0211,0.0179,0.0182,0.0027,0.0108
