,https://roic.ai/company/SNGX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,100000,200000,1,- -,- -,- -,83817,997482,3075736,2313020,1258017,2310265,2816037,1947628,7662822,3144620,3224152,7043016,8768390,10448794,5432472,5241448,4629916,2359447,824268
2,COGS,- -,-500000,-1700000,-1407750,- -,- -,- -,76197,936636,2067034,1965074,943385,1886431,1483641,1638402,2108228,2593075,2544285,5313855,6882204,8433671,4310083,4597715,3567415,1820949,728640
3,Gross Profit,- -,600000,1900000,1407751,- -,- -,- -,7620,60846,1008702,347946,314632,423834,1332396,309226,5554594,551545,679867,1729161,1886186,2015123,1122389,643733,1062501,538498,95628
4,Gross Profit Ratio,- -,6.0000,9.5000,1407751.0000,- -,- -,- -,0.0909,0.0610,0.3280,0.1504,0.2501,0.1835,0.4731,0.1588,0.7249,0.1754,0.2109,0.2455,0.2151,0.1929,0.2066,0.1228,0.2295,0.2282,0.1160
5,Research and Development Exp.,906461,1800000,3100000,2028945,956742,2470801,2943493,2729430,3656776,3681137,4620312,3099944,1734491,4523375,5684309,6272616,2609241,5071179,5086535,5399839,4295867,5507033,6750954,8122610,15145778,8389387
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2145167,2860317,2503338,- -,- -,- -,- -,- -,- -,3209155,2951760,3480912,3979227,4847126
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2145167,2860317,2503338,- -,- -,- -,- -,- -,- -,3209155,2951760,3480912,3979227,4847126
9,Other Expenses,356372,2000000,5200000,4454434,2101767,12154455,2988020,2505071,2321186,2162616,3927182,3541771,- -,- -,- -,2242173,2632972,2765230,3403975,3596623,3428838,- -,- -,- -,- -,- -
10,Operating Expenses,1262833,3800000,8300000,6483379,3058509,14625256,5931513,5234501,5977962,5843753,8547494,6641715,3879658,7383692,8187647,8514789,5242213,7836409,8490510,8996462,7724705,8716188,9702714,11603522,19125005,13236513
11,COGS and Expenses,1262833,3300000,6600000,5075629,3058509,14625256,5931513,5310698,6914598,7910787,10512568,7585100,5766089,8867333,9826049,10623017,7835288,10380694,13804365,15878666,16158376,13026271,14300429,15170937,20945954,13965153
12,Interest Income ,- -,- -,- -,- -,747073,424032,105676,28707,66539,114791,41510,164847,37073,21920,12074,7444,6202,1960,1310,- -,- -,29906,159006,148968,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3276,2678,742,- -,- -,- -,- -,- -,- -,- -,- -,- -,10882,862577
14,Depreciation and Amortization,204457,500000,1700000,1407750,156856,188526,345495,226140,302449,194284,137044,119565,149183,175604,185696,226027,230630,230071,245787,247458,89928,68563,44060,54450,62372,34161
15,EBITDA,-1058376,-2700000,-20100000,-6093269,-469285,-3861619,-6454877,-5062391,-5569125,-4525976,-8026302,-6045078,-3269568,-5856171,-7445951,-2726724,-4453836,-10579281,-7078057,-8072705,-3685598,-7495330,-8855915,-9911818,-18452161,-12518977
16,EBITDA ratio,-Infinity,-27.0000,-100.5000,-6093269.0000,-Infinity,-Infinity,-Infinity,-60.3981,-5.5832,-1.4715,-3.4701,-4.8052,-1.4152,-2.0796,-3.8231,-0.3558,-1.4163,-3.2813,-1.0050,-0.9207,-0.3527,-1.3797,-1.6896,-2.1408,-7.8205,-15.1880
17,Operating Income,-1262833,-3200000,-6400000,-5075628,-3058509,-14625256,-5931513,-5226881,-5917116,-4835051,-8199548,-6327083,-3455824,-6051296,-7878421,-2960195,-4690668,-7156542,-10761349,-7110276,-5709582,-7593799,-9058981,-10541021,-18586507,-13140885
18,Operating Income ratio,-Infinity,-32.0000,-32.0000,-5075628.0000,-Infinity,-Infinity,-Infinity,-62.3606,-5.9321,-1.5720,-3.5450,-5.0294,-1.4959,-2.1489,-4.0451,-0.3863,-1.4916,-2.2197,-1.5279,-0.8109,-0.5464,-1.3979,-1.7283,-2.2767,-7.8775,-15.9425
19,Total Other Income Expenses (Gains),74848,200000,-15200000,-2862118,-2432368,-10575111,868859,-26389,525,- -,-816300,-1387,- -,-2399,246032,7444,6202,-3652810,3437505,-1209887,1934056,29906,159006,574753,61092,-274830
