,https://roic.ai/company/DCT,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,336526000,354697000,392776000,156721000,159669000,171273000,211672000,260350000
2,COGS,40520000,35995000,36797000,63400000,64332000,72178000,97175000,110086000
3,Gross Profit,296006000,318702000,355979000,93321000,95337000,99095000,114497000,150264000
4,Gross Profit Ratio,0.8796,0.8985,0.9063,0.5955,0.5971,0.5786,0.5409,0.5772
5,Research and Development Exp.,- -,- -,- -,42815000,36056000,35936000,44052000,48549000
6,General and Administrative Exp.,29079000,34577000,29280000,39262000,30670000,36493000,48662000,62664000
7,Selling and Marketing Exp.,- -,- -,- -,30725000,34158000,40189000,50305000,54124000
8,"Selling, General and Administrative Exp.",29079000,34577000,29280000,69987000,64828000,76682000,98967000,116788000
9,Other Expenses,248609000,250095000,255398000,- -,- -,- -,- -,- -
10,Operating Expenses,277688000,284672000,284678000,112802000,100884000,112618000,143019000,165337000
11,COGS and Expenses,318208000,320667000,321475000,176202000,165216000,184796000,240194000,275423000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),63236000,54055000,64035000,330000,567000,1030000,356000,100000
14,Depreciation and Amortization,148992000,156010000,161334000,18124000,19592000,19992000,20916000,21504000
15,EBITDA,261175000,304849000,319020000,-5328000,12711000,5544000,-7098000,6569000
16,EBITDA ratio,0.7761,0.8595,0.8122,-0.0340,0.0796,0.0324,-0.0335,0.0252
17,Operating Income,58838000,70025000,108098000,-23529000,-6348000,-14151000,-28655000,-15366000
18,Operating Income ratio,0.1748,0.1974,0.2752,-0.1501,-0.0398,-0.0826,-0.1354,-0.0590
19,Total Other Income Expenses (Gains),-12307000,32940000,-10062000,-253000,-1100000,-1595000,285000,331000
20,Income Before Tax,46531000,102965000,98036000,-23782000,-7448000,-15746000,-28370000,-15035000
21,Income Before Tax Ratio,0.1383,0.2903,0.2496,-0.1517,-0.0466,-0.0919,-0.1340,-0.0577
22,Income Tax expense (Gain),-217000,736000,591000,1008000,354000,1150000,1562000,1896000
23,Net Income,49164000,94048000,93060000,-24790000,-7802000,-16628000,-29932000,-16931000
24,Net Income ratio,0.1461,0.2652,0.2369,-0.1582,-0.0489,-0.0971,-0.1414,-0.0650
25,EPS,0.59,1.07,1.04,-0.22,-0.07,-0.15,-0.23,-0.13
26,EPS Diluted,0.59,1.06,1.03,-0.22,-0.07,-0.15,-0.23,-0.13
27,Weighted Average Shares Outstanding,83280000,88182000,89867000,111052080,114093671,111052080,130713745,131114791
28,Weighted Average Shares Outstanding Diluted,83572000,88514000,89982000,111052080,114093671,111052080,130713745,131114791
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1170991/000156459015000798/0001564590-15-000798-index.htm,https://www.sec.gov/Archives/edgar/data/1170991/000156459016012924/0001564590-16-012924-index.html,https://www.sec.gov/Archives/edgar/data/1170991/000117099117000010/0001170991-17-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160951/000156459020050056/0001564590-20-050056-index.htm,https://www.sec.gov/Archives/edgar/data/1160951/000156459021052973/0001564590-21-052973-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,19631000,18412000,10286000,- -,13879000,11999000,389878000,185657000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,191981000
33,Cash and Short-Term Investments,19631000,18412000,10286000,- -,13879000,11999000,389878000,377638000
34,Net Receivables,54183000,60357000,79889000,- -,30476000,42462000,47271000,59052000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-54183000,-60357000,-79889000,- -,4745000,4053000,12185000,14381000
37,Total Current Assets,19631000,18412000,10286000,- -,49100000,58514000,449334000,451071000
38,PP&E,- -,- -,- -,- -,10660000,17058000,36284000,32103000
39,Goodwill,- -,- -,- -,- -,252898000,272455000,272455000,272455000
40,Intangible Assets,86515000,84420000,78356000,- -,112155000,98756000,81687000,65359000
41,Intangible Assets,86515000,84420000,78356000,- -,365053000,371211000,354142000,337814000
42,Investments,94728000,82635000,95606000,- -,- -,- -,- -,- -
43,Tax Assets,2245000,2578000,2603000,- -,927000,860000,1550000,2331000
44,Other Non-Current Assets,3248415000,3444310000,3621291000,- -,23497000,19634000,19790000,20814000
45,Total Non-Current Assets,3431903000,3613943000,3797856000,- -,400137000,408763000,411766000,393062000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3451534000,3632355000,3808142000,- -,449237000,467277000,861100000,844133000
48,Accounts Payable,83543000,108788000,93097000,- -,1612000,1362000,1802000,2070000
49,Short-Term Debt,37000000,70000000,75000000,- -,- -,- -,3611000,4110000
50,Tax Payable,- -,- -,- -,- -,- -,- -,731000,2771000
51,Deferred Revenue,- -,- -,- -,- -,16168000,23470000,30397000,29577000
52,Other Current Liabilities,- -,- -,- -,- -,23602000,35058000,61903000,51899000
53,Total Current Liabilities,120543000,178788000,168097000,- -,41382000,59890000,97713000,87656000
54,Long-Term Debt,37000000,70000000,75000000,- -,- -,4000000,21739000,21273000
55,Deferred Revenue,- -,- -,- -,- -,912000,692000,379000,- -
56,Deferred Tax Liabilities,899000,825000,764000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,5076000,13629000,7512000,4466000
58,Total Non-Current Liabilities,37899000,70825000,75764000,- -,5988000,18321000,29630000,25739000
59,Other Liabilities,1619058000,1772408000,1853760000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,25350000,25383000
61,Total Liabilities,1701702000,1880371000,1946093000,- -,47370000,78211000,127343000,113395000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,880000,883000,915000,- -,401867000,389066000,1333000,1346000
64,Retained Earnings,-27190000,-23082000,-17944000,- -,- -,- -,-24334000,-41265000
65,Other Comprehensive Income/Loss,-27190000,-23082000,-17944000,- -,- -,-5500000,-7376000,64000
66,Other Total Stockholders Equity,1803332000,1797265000,1897022000,- -,- -,5500000,764134000,770593000
67,Total Stockholders Equity,1749832000,1751984000,1862049000,- -,401867000,389066000,733757000,730738000
68,Total Liabilities And Stockholders Equity,3451534000,3632355000,3808142000,- -,449237000,467277000,861100000,844133000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3451534000,3632355000,3808142000,- -,449237000,467277000,861100000,844133000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1170991/000156459015000798/0001564590-15-000798-index.htm,https://www.sec.gov/Archives/edgar/data/1170991/000156459016012924/0001564590-16-012924-index.html,https://www.sec.gov/Archives/edgar/data/1170991/000117099117000010/0001170991-17-000010-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1160951/000156459020050056/0001564590-20-050056-index.htm,https://www.sec.gov/Archives/edgar/data/1160951/000156459021052973/0001564590-21-052973-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,49164000,94048000,93060000,-24790000,-7802000,-16628000,-29932000,-16931000
74,Depreciation and Amortization,148992000,156010000,161334000,18124000,19592000,19992000,20916000,21504000
75,Deferred Income Tax,1114000,-242000,87000,-119000,-533000,188000,-690000,-781000
76,Stock Based Compensation,4777000,8945000,5695000,1674000,1739000,2070000,21108000,12877000
77,Change in Working Capital,-30857000,- -,-59464000,2565000,165529000,-9094000,352997000,11794000
78,Accounts Receivable,2139000,7016000,-5073000,-14132000,3310000,-6285000,-3796000,-6585000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,10361000,8385000,29007000,4444000,-4016000,-783000,-181000,1561000
81,Other Working Capital,-100912000,-100912000,-160376000,-157811000,7718000,-1376000,351621000,363415000
82,Other Non-Cash Items,-3196000,-58253000,20590000,-9323000,-166692000,18305000,-338674000,-37149000
83,Cash Provided by Operating Activities,169994000,200508000,221302000,-11869000,11833000,14833000,25725000,-8686000
84,CAPEX,- -,- -,- -,-1530000,-8594000,-8270000,-6747000,-2281000
85,Acquisitions Net,- -,- -,- -,-2512000,- -,-11641000,- -,- -
86,Purchases of Investments,-997000,-4421000,-5692000,- -,- -,- -,- -,-287912000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,95982000
88,Other Investing Activites,-258630000,-214064000,-307210000,- -,-1456000,-2956000,-2893000,-926000
89,Cash Used for Investing Activites,-259627000,-218485000,-312902000,-4042000,-8594000,-19911000,-6747000,-194211000
90,Debt Repayment,-59645000,-98561000,-180721000,-2000000,-5000000,-8000000,-9000000,- -
91,Common Stock Issued,240667000,- -,108604000,1090000,- -,- -,872497000,3452000
92,Common Stock Repurchased,-997000,-4421000,-5692000,- -,- -,- -,-462688000,-3076000
93,Dividends Paid,-92200000,-98820000,-104004000,- -,- -,- -,- -,- -
94,Other Financing Activites,-10787000,218560000,241609000,1669000,4099000,11198000,-41908000,-1700000
95,Cash Used/Provided by Financing Activities,77038000,16758000,59796000,759000,-901000,3198000,358901000,-1324000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-12595000,-1219000,-31804000,-15152000,2338000,-1880000,377879000,-204221000
98,Cash at the End of Period,19631000,18412000,18074000,11541000,13879000,11999000,389878000,185657000
99,Cash at the Beginning of Period,32226000,19631000,49878000,26693000,11541000,13879000,11999000,389878000
100,Free Cash Flow,169994000,200508000,221302000,-13399000,3239000,6563000,18978000,-10967000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1170991/000156459015000798/0001564590-15-000798-index.htm,https://www.sec.gov/Archives/edgar/data/1170991/000156459016012924/0001564590-16-012924-index.html,https://www.sec.gov/Archives/edgar/data/1170991/000117099117000010/0001170991-17-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160951/000156459020050056/0001564590-20-050056-index.htm,https://www.sec.gov/Archives/edgar/data/1160951/000156459021052973/0001564590-21-052973-index.htm
102,false,,,,,,,,
