,https://roic.ai/company/TW,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,492180000,504448000,657578000,775566000,892659000,1076447000
2,COGS,228584000,248963000,289489000,329457000,349658000,407260000
3,Gross Profit,263596000,255485000,368089000,446109000,543001000,669187000
4,Gross Profit Ratio,0.5356,0.5065,0.5598,0.5752,0.6083,0.6217
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,89606000,97778000,113992000,116960000,125857000,139051000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",89606000,97778000,113992000,116960000,125857000,139051000
9,Other Expenses,80859000,68615000,81828000,106196000,142364000,158563000
10,Operating Expenses,170465000,166393000,195820000,223156000,268221000,297614000
11,COGS and Expenses,399049000,415356000,485309000,552613000,617879000,704874000
12,Interest Income ,644000,685000,2513000,2373000,-316000,- -
13,Interest Expense (Gain),1339000,455000,- -,- -,- -,- -
14,Depreciation and Amortization,80859000,68615000,81828000,139330000,153789000,171308000
15,EBITDA,174634000,158847000,256610000,275401000,376159000,495011000
16,EBITDA ratio,0.3548,0.3149,0.3902,0.3551,0.4214,0.4599
17,Operating Income,93131000,89092000,172269000,189819000,263355000,358828000
18,Operating Income ratio,0.1892,0.1766,0.2620,0.2447,0.2950,0.3333
19,Total Other Income Expenses (Gains),-695000,685000,2513000,35507000,11109000,11155000
20,Income Before Tax,92436000,89777000,174782000,225326000,274464000,369983000
21,Income Before Tax Ratio,0.1878,0.1780,0.2658,0.2905,0.3075,0.3437
22,Income Tax expense (Gain),-725000,6129000,15315000,52302000,56074000,96875000
23,Net Income,93161000,83648000,159467000,83769000,166296000,226828000
24,Net Income ratio,0.1893,0.1658,0.2425,0.1080,0.1863,0.2107
25,EPS,0.41,0.37,1.29,0.57,0.92,1.26
26,EPS Diluted,0.41,0.37,1.29,0.54,0.88,1.21
27,Weighted Average Shares Outstanding,227254927,227254927,123383477,148013274,180409462,180409462
28,Weighted Average Shares Outstanding Diluted,227276547,227276547,123383477,156540246,188223032,188223032
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758730/000175873021000007/0001758730-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1758730/000175873022000006/0001758730-22-000006-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,352598000,410104000,460711000,791280000,972048000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,352598000,410104000,460711000,791280000,972048000
34,Net Receivables,- -,74361000,265026000,125980000,105765000,129937000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,11126000,12627000,10724000,12671000,24836000
37,Total Current Assets,- -,438085000,687757000,597415000,909716000,1126821000
38,PP&E,- -,27031000,38128000,64909000,63251000,- -
39,Goodwill,- -,563421000,2694797000,2694797000,2694797000,- -
40,Intangible Assets,- -,263400000,1551430000,1454527000,1350064000,- -
41,Intangible Assets,- -,826821000,4246227000,4149324000,4044861000,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,6820000,- -,256450000,579562000,- -
44,Other Non-Current Assets,- -,18130000,25027000,27236000,82460000,- -
45,Total Non-Current Assets,- -,878802000,4309382000,4497919000,4770134000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1316887000,4997139000,5095334000,5679850000,1126821000
48,Accounts Payable,- -,31686000,213762000,63286000,42944000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,240817000,404332000,- -
51,Deferred Revenue,- -,29673000,27883000,23990000,23193000,24930000
52,Other Current Liabilities,- -,165990000,29196000,243371000,411374000,214510000
53,Total Current Liabilities,- -,227349000,270841000,330647000,477511000,239440000
54,Long-Term Debt,- -,- -,- -,30955000,34463000,- -
55,Deferred Revenue,- -,29673000,27883000,23990000,23193000,- -
56,Deferred Tax Liabilities,- -,- -,19627000,21572000,19425000,- -
57,Other Non-Current Liabilities,- -,73397000,106454000,95425000,106095000,- -
58,Total Non-Current Liabilities,- -,103070000,153964000,171942000,183176000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,30955000,34463000,- -
61,Total Liabilities,- -,330419000,424805000,502589000,660687000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,999735000,4453200000,3000,2000,- -
64,Retained Earnings,- -,- -,- -,47833000,156041000,- -
65,Other Comprehensive Income/Loss,- -,-13267000,-866000,1366000,4314000,- -
66,Other Total Stockholders Equity,- -,- -,120000000,3329386000,4143094000,- -
67,Total Stockholders Equity,- -,986468000,4572334000,3378588000,4303451000,- -
68,Total Liabilities And Stockholders Equity,- -,1316887000,4997139000,3881177000,4964138000,1126821000
69,Minority Interest,- -,- -,- -,1214157000,715712000,- -
70,Total Liabilities & Equity,- -,1316887000,4997139000,5095334000,5679850000,1126821000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758730/000175873021000007/0001758730-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1758730/000175873022000006/0001758730-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , 
