,https://roic.ai/company/NNUP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3640300,3046000,2423900,1698900,1230700,772100,736800,571500,628300,528300,766500,1393800,941300,668100,658700,713500,637000,750200,922800,950800,1383500,1566900,3341700,2537400,2658700,1951900
2,COGS,1058700,1541500,944900,437100,573500,366200,378800,312100,263100,206900,381500,548500,343100,325600,275500,262400,202000,285500,324300,333000,442100,443100,561200,841700,1123700,738100
3,Gross Profit,2581600,1504500,1479000,1261800,657200,405900,358000,259400,365200,321400,385000,845300,598200,342500,383200,451100,435000,464700,598500,617800,941400,1123800,2780500,1695700,1535000,1213800
4,Gross Profit Ratio,0.7092,0.4939,0.6102,0.7427,0.5340,0.5257,0.4859,0.4539,0.5813,0.6084,0.5023,0.6065,0.6355,0.5126,0.5818,0.6322,0.6829,0.6194,0.6486,0.6498,0.6804,0.7172,0.8321,0.6683,0.5773,0.6219
5,Research and Development Exp.,805100,480500,376400,145700,203400,251600,254100,202800,170300,145900,145400,164600,166900,165900,132300,113700,109400,111900,121600,128100,138800,146300,153200,165600,173500,181500
6,General and Administrative Exp.,943300,- -,733600,- -,476600,- -,- -,- -,- -,- -,- -,422500,547000,372400,332500,353800,302000,195200,253400,325600,294800,317600,369400,393900,526100,719400
7,Selling and Marketing Exp.,1494100,- -,790800,- -,192000,- -,- -,- -,- -,- -,- -,- -,246600,259200,152800,167300,167400,170500,194500,202800,236000,253600,387300,329900,356400,287700
8,"Selling, General and Administrative Exp.",2437400,- -,1524400,- -,668600,- -,- -,- -,- -,- -,- -,422500,793600,631600,485300,521100,469400,365700,447900,528400,530800,571200,756700,723800,882500,1007100
9,Other Expenses,138700,1763600,156600,1600300,- -,984500,1019100,497900,523400,389300,415400,46800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3381200,2244100,2057400,1746000,872000,1236100,1273200,700700,693700,535200,560800,633900,960500,797500,617600,634800,578800,477600,569500,656500,669600,717500,909900,889400,1056000,1188600
11,COGS and Expenses,4439900,3785600,3002300,2183100,1445500,1602300,1652000,1012800,956800,742100,942300,1182400,1303600,1123100,893100,897200,780800,763100,893800,989500,1111700,1160600,1471100,1731100,2179700,1926700
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800,- -,- -,- -,- -,- -,300,- -,- -,500,2900,11700,18200,20700
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300,3500,10700,10300,10100,16300,21600,35600,13300,25600,12300,10800,6900,2200
14,Depreciation and Amortization,156100,154500,125800,98700,36400,23500,18700,12900,20300,17000,23300,20000,12500,9100,7900,5900,3100,900,4000,6100,7300,7500,7100,10800,21500,30500
