,https://roic.ai/company/AQMS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,2088000,4449000,4874000,108000,173000
2,COGS,- -,- -,- -,9541000,22761000,24799000,5476000,7017000
3,Gross Profit,- -,- -,- -,-7453000,-18312000,-19925000,-5368000,-6844000
4,Gross Profit Ratio,- -,- -,- -,-3.5694,-4.1160,-4.0880,-49.7037,-39.5607
5,Research and Development Exp.,- -,2280604,6348000,8103000,4502000,1555000,1027000,933000
6,General and Administrative Exp.,- -,3170659,6610000,6891000,14214000,19314000,8998000,9688000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3170659,6610000,6891000,14214000,19314000,8998000,9688000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,5451263,12958000,14994000,18716000,20869000,10025000,10621000
11,COGS and Expenses,- -,5451263,12958000,24535000,41477000,45668000,15501000,17638000
12,Interest Income ,- -,19224,41000,41000,223000,270000,48000,379000
13,Interest Expense (Gain),- -,1128244,639000,1761000,3447000,3477000,1620000,21000
14,Depreciation and Amortization,- -,198905,815000,3071000,3403000,4081000,2411000,1320000
15,EBITDA,- -,-5226634,-12143000,-21746000,-33402000,-37235000,-21729000,-16850000
16,EBITDA ratio,- -,-Infinity,-Infinity,-10.4148,-7.5078,-7.6395,-201.1944,-97.3988
17,Operating Income,- -,-5451263,-12958000,-24858000,-37028000,-40794000,-15393000,-17465000
18,Operating Income ratio,- -,-Infinity,-Infinity,-11.9052,-8.3228,-8.3697,-142.5278,-100.9538
19,Total Other Income Expenses (Gains),- -,-6878774,-598000,-1720000,-3224000,-3999000,-10367000,-726000
20,Income Before Tax,- -,-12330037,-13556000,-26578000,-40252000,-44793000,-25760000,-18191000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-12.7289,-9.0474,-9.1902,-238.5185,-105.1503
22,Income Tax expense (Gain),- -,1600,1000,2000,2000,2000,2000,2000
23,Net Income,- -,-12331637,-13557000,-26580000,-40254000,-44795000,-25762000,-18193000
24,Net Income ratio,- -,-Infinity,-Infinity,-12.7299,-9.0479,-9.1906,-238.5370,-105.1618
25,EPS,- -,-1.47,-0.89,-1.31,-1.18,-0.86,-0.42,-0.26
26,EPS Diluted,- -,-1.47,-0.89,-1.31,-1.18,-0.86,-0.42,-0.26
27,Weighted Average Shares Outstanding,- -,8404311,15267233,20293100,34154826,52263885,60861450,70002180
28,Weighted Average Shares Outstanding Diluted,- -,8404311,15267233,20293100,34154826,52263885,60861450,70002180
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1621832/000161577417000866/0001615774-17-000866-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000161577418001909/0001615774-18-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183219000009/0001621832-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183220000036/0001621832-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774921004116/0001437749-21-004116-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774922004317/0001437749-22-004317-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,4536601,20140667,25458000,22793000,20892000,7575000,6533000,8137000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4536601,20140667,25458000,22793000,20892000,7575000,6533000,8137000
34,Net Receivables,- -,- -,- -,882000,725000,17690000,32000,1189000
35,Inventory,- -,- -,59000,1239000,765000,1257000,1091000,123000
36,Other Current Assets,13406,11814302,1853000,770000,370000,981000,702000,2989000
37,Total Current Assets,4550007,31954969,27370000,25684000,22752000,27503000,8358000,12438000
38,PP&E,245641,8808387,41392000,45733000,45548000,38840000,25599000,2881000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1028554,1065113,1137000,1461000,1271000,999000,819000,640000
41,Intangible Assets,1028554,1065113,1137000,1461000,1271000,999000,819000,640000
42,Investments,- -,- -,- -,- -,- -,- -,- -,1500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5447233,1630000,1564000,1800000,2112000,362000,15810000
45,Total Non-Current Assets,1274195,15320733,44159000,48758000,48619000,41951000,26780000,20831000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5824202,47275702,71529000,74442000,71371000,69454000,35138000,33269000
48,Accounts Payable,40306,3192113,1572000,1436000,2088000,4829000,1552000,685000
49,Short-Term Debt,5090589,44966,307000,405000,4507000,848000,649000,388000
50,Tax Payable,- -,- -,156000,75000,2000,23000,1000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,77881,80518,2152000,1993000,5204000,4133000,1253000,3005000
53,Total Current Liabilities,5208776,3317597,4031000,3834000,11799000,9810000,3454000,4078000
54,Long-Term Debt,- -,9221786,9545000,10171000,8600000,8404000,303000,330000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1384782,1071129,963000,1472000,882000,1651000,242000,1328000
58,Total Non-Current Liabilities,1384782,10292915,10508000,11643000,9482000,10055000,545000,1658000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,231000,1413000,862000,718000
61,Total Liabilities,6593558,13610512,14539000,15477000,21281000,19865000,3999000,5736000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4364,14137,18000,27000,39000,58000,64000,70000
64,Retained Earnings,-2373751,-14705388,-28262000,-54842000,-95096000,-139891000,-165653000,-183846000
65,Other Comprehensive Income/Loss,- -,- -,-777000,-3433000,-6042000,-6564000,- -,- -
66,Other Total Stockholders Equity,- -,- -,86011000,117213000,151189000,195986000,196728000,- -
67,Total Stockholders Equity,-769356,33665190,56990000,58965000,50090000,49589000,31139000,27533000
68,Total Liabilities And Stockholders Equity,5824202,47275702,71529000,74442000,71371000,69454000,35138000,33269000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5824202,47275702,71529000,74442000,71371000,69454000,35138000,33269000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1621832/000161577417000866/0001615774-17-000866-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000161577418001909/0001615774-18-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183219000009/0001621832-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183220000036/0001621832-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774921004116/0001437749-21-004116-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774922004317/0001437749-22-004317-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-12331637,-13557000,-26580000,-40254000,-44795000,-25762000,-18193000
74,Depreciation and Amortization,- -,198905,815000,3071000,3403000,4081000,2411000,1320000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,300771,1060000,1081000,1201000,4206000,3572000,2201000
77,Change in Working Capital,- -,3288320,-5298372,-1489000,-10897000,6740000,-12789000,808000
78,Accounts Receivable,- -,- -,- -,-882000,157000,481000,212000,-237000
79,Inventory,- -,- -,-59000,-1636000,295000,-492000,166000,822000
80,Accounts Payable,- -,3151807,-176000,926000,472000,823000,-1999000,8000
81,Other Working Capital,- -,28637372,23339000,21850000,10953000,17693000,4904000,-508000
82,Other Non-Cash Items,- -,7067392,5859372,4915000,20229000,4591000,21540000,6249000
83,Cash Provided by Operating Activities,- -,-1476249,-11121000,-19002000,-26318000,-25177000,-11028000,-7615000
84,CAPEX,- -,-7928948,-26712000,-9434000,-3693000,-13074000,-3367000,-2350000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-232000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-17260948,7449000,168000,-236000,2500000,10000000,354000
89,Cash Used for Investing Activites,- -,-25043496,-19063000,-8651000,-3929000,-10574000,6633000,-2228000
90,Debt Repayment,- -,- -,-66000,-337000,-407000,-6946000,-654000,- -
91,Common Stock Issued,- -,32862172,30709000,25325000,28753000,29380000,3676000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9261639,4858000,- -,- -,- -,332000,11447000
95,Cash Used/Provided by Financing Activities,- -,42123811,35501000,24988000,28346000,22434000,3354000,11447000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,15604066,5317000,-2665000,-1901000,-13317000,-1041000,1604000
98,Cash at the End of Period,- -,20140667,25458000,22793000,20892000,7575000,6534000,8137000
99,Cash at the Beginning of Period,- -,4536601,20141000,25458000,22793000,20892000,7575000,6533000
100,Free Cash Flow,- -,-9405197,-37833000,-28436000,-30011000,-38251000,-14395000,-9965000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1621832/000161577417000866/0001615774-17-000866-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000161577418001909/0001615774-18-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183219000009/0001621832-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000162183220000036/0001621832-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774921004116/0001437749-21-004116-index.htm,https://www.sec.gov/Archives/edgar/data/1621832/000143774922004317/0001437749-22-004317-index.htm
102,false,,,,,,,,
