,https://roic.ai/company/AMSF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,198225000,- -,173863000,190731000,248960000,276283000,332720000,338319000,302377000,282211000,248156000,280663000,321248000,356335000,404019000,401618000,396663000,375210000,377753000,370370000,339504000,316013000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,15034000,14150000,17234000,18896000,20411000,21447000,21405000,19914000,20839000,22862000,24518000,24442000,24881000,25631000,25992000,27120000,27925000,25954000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,20592000,18418000,16350000,18507000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,15034000,14150000,17234000,18896000,41003000,39865000,37755000,38421000,20839000,22862000,24518000,24442000,24881000,25631000,25992000,27120000,27925000,25954000
9,Other Expenses,- -,- -,- -,- -,- -,255850000,262766000,248104000,196997000,178135000,166245000,- -,263161000,274138000,305482000,275558000,259119000,267369000,264008000,227880000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,270000000,280000000,267000000,238000000,218000000,204000000,- -,284000000,297000000,330000000,300000000,284000000,293000000,290000000,255000000,- -,- -
11,COGS and Expenses,177197000,- -,170120000,179291000,235274000,66228000,280274000,267224000,238289000,219853000,205729000,253392000,284105000,297131000,330270000,300651000,283842000,292970000,290172000,254853000,232585000,236564000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),797000,- -,498000,203000,1799000,2844000,3496000,3545000,2460000,1810000,1548000,1311000,566000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,2019000,3368000,2159000,4232000,4507000,1188000,1164000,1028000,1015000,1112000,1300000,1298000,1348000,1181000,984000,996000,942000,1012000,1017000
15,EBITDA,14824000,- -,7117000,13662000,18853000,10998000,60174000,79147000,67736000,65332000,45003000,29597000,38821000,60504000,75047000,102315000,114002000,83224000,88577000,116459000,107931000,80466000
16,EBITDA ratio,0.0748,- -,0.0409,0.0716,0.0757,0.0398,0.1809,0.2339,0.2240,0.2315,0.1813,0.1055,0.1208,0.1698,0.1858,0.2548,0.2874,0.2218,0.2345,0.3144,0.3179,0.2546
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),2520000,- -,2082000,462000,589000,19715000,645000,1058000,742000,1268000,584000,1080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,21028000,- -,3743000,11440000,13686000,- -,52446000,71095000,64088000,62358000,42427000,27271000,37143000,59204000,73749000,100967000,112821000,82240000,87581000,115517000,106919000,79449000
21,Income Before Tax Ratio,0.1061,- -,0.0215,0.0600,0.0550,- -,0.1576,0.2101,0.2119,0.2210,0.1710,0.0972,0.1156,0.1661,0.1825,0.2514,0.2844,0.2192,0.2318,0.3119,0.3149,0.2514
22,Income Tax expense (Gain),- -,- -,1438000,2846000,3129000,65000,15088000,20876000,20242000,15927000,9074000,3146000,7790000,15567000,20083000,30505000,34956000,36009000,15949000,22827000,20317000,13693000
23,Net Income,14027000,- -,5181000,8594000,10557000,5930000,37358000,50219000,43846000,46431000,33353000,24125000,29353000,43637000,53666000,70462000,77865000,46231000,71632000,92690000,86602000,65756000
24,Net Income ratio,0.0708,- -,0.0298,0.0451,0.0424,0.0215,0.1123,0.1484,0.1450,0.1645,0.1344,0.0860,0.0914,0.1225,0.1328,0.1754,0.1963,0.1232,0.1896,0.2503,0.2551,0.2081
25,EPS,19.34,- -,-14.25,-8.55,2.42,-1.25,1.88,2.52,2.19,2.27,1.79,1.32,1.62,2.37,2.88,3.72,4.08,2.41,3.73,4.82,4.49,3.41
26,EPS Diluted,19.34,- -,-23.72,-8.55,2.14,-1.25,1.88,2.47,2.15,2.22,1.75,1.29,1.58,2.32,2.84,3.69,4.05,2.40,3.71,4.80,4.47,3.40
27,Weighted Average Shares Outstanding,299774,- -,299774,180125,225367,2129492,17579829,18767210,18814508,18860197,18637167,18250173,18166175,18373033,18646128,18941077,19105806,19165489,19208978,19248657,19288996,19288996
28,Weighted Average Shares Outstanding Diluted,299774,- -,299774,180125,255280,2129492,17594736,19079380,19141688,19268295,19095320,18700982,18575133,18748809,18928504,19119186,19203650,19245866,19293082,19329238,19363809,19363809
29,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312508048986/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312509048536/0001193125-09-048536-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312510051860/0001193125-10-051860-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312511057764/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1018979/000119312513094153/0001193125-13-094153-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312514077734/d642647d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312515069873/d838456d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312516481952/0001193125-16-481952-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459017002393/0001564590-17-002393-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459018003779/0001564590-18-003779-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459019005456/0001564590-19-005456-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459020006372/0001564590-20-006372-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459021009413/0001564590-21-009413-index.htm,https://www.sec.gov/Archives/edgar/data/1018979/000156459022007154/0001564590-22-007154-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,44914000,- -,44677000,49815000,25421000,- -,26748000,47329000,95266000,63188000,60966000,45536000,92676000,123077000,90956000,69481000,58936000,55559000,40344000,43813000,61757000,70722000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,54308000,78770000,46944000,218063000,322299000,364926000,387740000,508677000,491364000,492961000,497694000,460177000,399200000
33,Cash and Short-Term Investments,44914000,- -,44677000,49815000,25421000,- -,26748000,47329000,95266000,117496000,139736000,92480000,310739000,445376000,455882000,457221000,567613000,546923000,533305000,541507000,521934000,469922000
34,Net Receivables,327172000,- -,214342000,330619000,317533000,128531000,259908000,236144000,163814000,165950000,132615000,130743000,253694000,258147000,277524000,288126000,278031000,276763000,284681000,263596000,271837000,270155000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,704932000,776039000,846230000,833062000,853889000,- -,-260883000,-324445000,-429849000,-482784000,-574123000,-568123000,-600933000,521681000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,991588000,1059512000,1105310000,1116508000,1126240000,- -,303550000,379078000,303557000,262563000,271521000,255563000,217053000,1326784000,- -,- -
38,PP&E,- -,- -,- -,6000000,7077000,6321000,5687000,5407000,5542000,5369000,7547000,7628000,7711000,7549000,7240000,6181000,6636000,6128000,6258000,6331000,6496000,6652000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,255359000,364868000,- -,638780000,711745000,704707000,737297000,765537000,805974000,808116000,868184000,1004585000,1032935000,1071144000,1130314000,1125490000,1125018000,1088744000,1012571000
