,https://roic.ai/company/ZTCOY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,196734786,196850165,309668036,631916587,1968692486,2540563372,4524683134,9337263273,11062335005,16095805868,22739492000,21591699000,23100836000,34777181000,44293427000,60272563000,70263874000,86254456000,84219358000,75233724000,81471275000,100186389000,101233182000,108815273000,85513150000,90736582000,101450670000,114521641000
2,COGS,69639304,63410628,117364949,257088685,922175999,1284295509,2761011998,5742718055,7025190044,10115380232,14369106000,13944797000,15171797000,23004541000,29492530000,40623339000,47335026000,60157354000,64091546000,53125904000,55760104000,69100447000,70100658000,75005818000,57367578000,57008377000,69379215000,74159846000
3,Gross Profit,127095482,133439537,192303087,374827902,1046516487,1256267862,1763671136,3594545218,4037144960,5980425635,8370386000,7646902000,7929039000,11772640000,14800897000,19649224000,22928848000,26097102000,20127812000,22107820000,25711171000,31085942000,31132524000,33809455000,28145572000,33728205000,32071455000,40361795000
4,Gross Profit Ratio,0.6460,0.6779,0.6210,0.5932,0.5316,0.4945,0.3898,0.3850,0.3649,0.3716,0.3681,0.3542,0.3432,0.3385,0.3342,0.3260,0.3263,0.3026,0.2390,0.2939,0.3156,0.3103,0.3075,0.3107,0.3291,0.3717,0.3161,0.3524
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2832686000,3210433000,3994145000,5781583000,7091971000,8492623000,8829194000,7383892000,9008537000,12200542000,12762055000,12962245000,10905584000,12547898000,14797025000,18804012000
6,General and Administrative Exp.,14271218,26099582,68874193,115146190,319726429,567826857,733085641,1730623977,1947732703,2572744193,3899003000,3137066000,4010206000,1777554000,2099715000,2567928000,727841000,791519000,802002000,737122000,610349000,556130000,629163000,888537000,1359553000,2292467000,2349525000,2563693000
7,Selling and Marketing Exp.,29341132,35863268,51839330,120618057,309660028,434769139,571144669,969998605,1286663940,2195333982,2929110000,3023126000,3140108000,4395125000,5312516000,7044382000,8754968000,10953233000,11180633000,10003850000,10259165000,11771666000,12458152000,12104355000,9084489000,7868722000,7578837000,8733152000
8,"Selling, General and Administrative Exp.",43612350,61962850,120713523,235764247,629386456,1002595995,1304230309,2700622583,3234396643,4768078175,6828113000,6160192000,7150314000,6172679000,7412231000,9612310000,9482809000,11744752000,11982635000,10740972000,10869514000,12327796000,13087315000,12992892000,10444042000,10161189000,9928362000,11296845000
9,Other Expenses,1007036,874128,1274385,1474294,4780822,4360426,3942647,9009103,37995608,28925370,70912000,105660000,-2721326000,280266000,415854000,692933000,2831530000,3103085000,2671421000,2544677000,2752339000,3130805000,2726963000,91652000,848215000,1714989000,1757422000,- -
