,https://roic.ai/company/RMCF,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4200000,4400000,5000000,5700000,7000000,9400000,13600000,18700000,24300000,23800000,26200000,24646814,22571837,19439077,19461472,21132828,24523619,28073612,31573333,31878183,28538699,28436548,31127971,34626892,36315201,39184807,41508376,40456895,38296377,38074695,34545447,31849796,23480705
2,COGS,3200000,2900000,3600000,4600000,5300000,5200000,5500000,9600000,11800000,10800000,12800000,12212339,11313597,10899307,11242370,11671038,13153106,15422872,17558646,18177181,16795738,16410099,17804054,20105728,21035264,21675959,22479971,22914700,22803269,23274266,22580332,20097081,17834213
3,Gross Profit,1000000,1500000,1400000,1100000,1700000,4200000,8100000,9100000,12500000,13000000,13400000,12434475,11258240,8539770,8219102,9461790,11370513,12650740,14014687,13701002,11742961,12026449,13323917,14521164,15279937,17508848,19028405,17542195,15493108,14800429,11965115,11752715,5646492
4,Gross Profit Ratio,0.2381,0.3409,0.2800,0.1930,0.2429,0.4468,0.5956,0.4866,0.5144,0.5462,0.5115,0.5045,0.4988,0.4393,0.4223,0.4477,0.4637,0.4506,0.4439,0.4298,0.4115,0.4229,0.4280,0.4194,0.4208,0.4468,0.4584,0.4336,0.4046,0.3887,0.3464,0.3690,0.2405
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3670152,4179103,5108438,6233784,3846940,5003337,4831903,4663914,4005142,3904560,3432618,5735971,5258035
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1495442,1505431,1594796,1683646,1939006,2153766,2474027,2466469,2658421,2489483,2210800,1922650,1712834
8,"Selling, General and Administrative Exp.",600000,600000,700000,800000,800000,2600000,5400000,6100000,11500000,9100000,10600000,8209369,7003355,4264855,5907343,4886208,5246160,5315826,5579277,5003689,5165594,5684534,6703234,7917430,5785946,7157103,7305930,7130383,6663563,6394043,5643418,7658621,6970869
9,Other Expenses,200000,200000,200000,300000,300000,300000,500000,800000,1700000,1300000,1500000,1562632,1149590,-2023190,815279,796271,785083,875940,873988,782951,758322,698580,670321,750860,4307079,4330211,4950032,4372084,3245061,3185517,3088764,2687084,2092410
10,Operating Expenses,800000,800000,900000,1100000,1100000,2900000,5900000,6900000,13200000,10400000,12100000,9772001,8152945,2241665,6722622,5682479,6031243,6191766,6453265,5786640,5923916,6383114,7373555,8668290,10093025,11487314,12255962,11502467,9908624,9579560,8732182,10345705,9063279
11,COGS and Expenses,4000000,3700000,4500000,5700000,6400000,8100000,11400000,16500000,25000000,21200000,24900000,21984340,19466542,13140972,17964992,17353517,19184349,21614638,24011911,23963821,22719654,22793213,25177609,28774018,31128289,33163273,34735933,34417167,32711893,32853826,31312514,30442786,26897492
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93847,- -,- -,- -,- -,21341,27210,58697,58904,43667,84596,58662,48745,41572,24578,20496,29738,17662
13,Interest Expense (Gain),- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,144787,- -,- -,- -,- -,15851,- -,- -,- -,- -,49333,243188,216600,170351,121244,70787,19016,94506
14,Depreciation and Amortization,- -,- -,- -,300000,300000,300000,500000,800000,1700000,1300000,1500000,1562632,1149590,905227,815279,796272,785083,875940,873988,782951,758322,698580,670321,750860,935377,1026775,1440448,1420301,1288709,1319255,1709799,1492825,1336182
15,EBITDA,-400000,600000,500000,300000,700000,1600000,2700000,2700000,-500000,2400000,2200000,3286227,3688563,4113169,2185612,4669430,6117303,7410622,8502481,8798107,6598708,6369125,6679380,6662638,3647049,7623212,7659171,5801408,6854765,6564702,4736247,2914173,-361003
16,EBITDA ratio,-0.0952,0.1364,0.1000,0.0526,0.1000,0.1702,0.1985,0.1444,-0.0206,0.1008,0.0840,0.1333,0.1634,0.2116,0.1123,0.2210,0.2494,0.2640,0.2693,0.2760,0.2312,0.2240,0.2146,0.1924,0.1004,0.1945,0.1845,0.1434,0.1790,0.1724,0.1371,0.0915,-0.0154
17,Operating Income,200000,700000,500000,- -,600000,1300000,2200000,2200000,-700000,2600000,1300000,2662474,3105295,3369688,1496480,3779311,5339270,6458974,7561422,7914362,5819045,5643335,5950362,5852874,2539827,5235521,5964967,3712986,5524484,5220869,3005952,1391610,-3473887
18,Operating Income ratio,0.0476,0.1591,0.1000,- -,0.0857,0.1383,0.1618,0.1176,-0.0288,0.1092,0.0496,0.1080,0.1376,0.1733,0.0769,0.1788,0.2177,0.2301,0.2395,0.2483,0.2039,0.1985,0.1912,0.1690,0.0699,0.1336,0.1437,0.0918,0.1443,0.1371,0.0870,0.0437,-0.1479
19,Total Other Income Expenses (Gains),-400000,-100000,- -,- -,-100000,-100000,- -,-300000,-1500000,-500000,-600000,-938879,-566322,-161746,-126147,-50940,-7050,75708,67071,100794,5490,27210,58697,58904,43667,53643,-184526,-167855,-128779,-96666,-50291,10722,1682196
20,Income Before Tax,- -,600000,- -,- -,- -,1200000,2200000,1900000,-2200000,2100000,700000,1723595,2538973,3207942,1370333,3728371,5332220,6534682,7628493,8015156,5824535,5670545,6009059,5911778,2583494,5289164,5780441,3545131,5395705,5124203,2955661,1402332,-1791691
21,Income Before Tax Ratio,- -,0.1364,- -,- -,- -,0.1277,0.1618,0.1016,-0.0905,0.0882,0.0267,0.0699,0.1125,0.1650,0.0704,0.1764,0.2174,0.2328,0.2416,0.2514,0.2041,0.1994,0.1930,0.1707,0.0711,0.1350,0.1393,0.0876,0.1409,0.1346,0.0856,0.0440,-0.0763
22,Income Tax expense (Gain),- -,200000,- -,- -,- -,300000,800000,700000,-800000,800000,300000,667030,982585,1212600,517985,1409325,2015580,2470110,2883575,3053780,2105972,2090468,2098218,2035746,1233460,2154660,2037695,-261400,1945589,2160295,716862,368500,-891914
23,Net Income,-400000,400000,500000,- -,400000,900000,1400000,1200000,-1400000,300000,400000,1056565,1556388,1995342,852348,2319046,3316640,4064572,4744918,4961376,3718563,3580077,3910841,3876032,1478212,4392444,3937840,4425907,3450116,2963908,2238799,1033832,-899777
24,Net Income ratio,-0.0952,0.0909,0.1000,- -,0.0571,0.0957,0.1029,0.0642,-0.0576,0.0126,0.0153,0.0429,0.0690,0.1026,0.0438,0.1097,0.1352,0.1448,0.1503,0.1556,0.1303,0.1259,0.1256,0.1119,0.0407,0.1121,0.0949,0.1094,0.0901,0.0778,0.0648,0.0325,-0.0383
25,EPS,-0.23,0.10,0.10,-0.03,0.06,0.14,0.16,0.13,-0.14,0.02,0.05,0.13,0.24,0.33,0.14,0.37,0.53,0.62,0.73,0.78,0.62,0.60,0.65,0.63,0.24,0.72,0.64,0.75,0.59,0.50,0.38,0.17,-0.15
26,EPS Diluted,-0.23,0.05,0.06,-0.03,0.04,0.10,0.15,0.13,-0.14,0.02,0.05,0.13,0.24,0.31,0.13,0.35,0.49,0.58,0.71,0.76,0.60,0.58,0.62,0.62,0.24,0.68,0.61,0.73,0.58,0.50,0.37,0.17,-0.15
27,Weighted Average Shares Outstanding,2554170,3837060,4174537,4998533,6470537,6617647,8546017,9336294,9540679,9418188,8620012,8345256,6551998,5998761,6052482,6146610,6307069,6581612,6432122,6341286,5984791,6012717,6050985,6111480,6078575,6100032,6144426,5893618,5843245,5884337,5931431,5986371,6067461
28,Weighted Average Shares Outstanding Diluted,2554170,4044162,4174537,4998533,6470537,8823529,9058792,9344298,9545391,9473674,8658094,8398423,6569519,6394399,6561676,6618803,6805280,7009393,6659472,6500672,6157056,6210238,6290145,6295079,6219001,6436911,6413339,6095474,5993692,5980436,5982638,6255343,6067461
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616262/000143774915011158/0001437749-15-011158-index.html,https://www.sec.gov/Archives/edgar/data/1616262/000143774916032668/0001437749-16-032668-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774917009919/0001437749-17-009919-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774918010031/0001437749-18-010031-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774919010981/0001437749-19-010981-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774920012018/0001437749-20-012018-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774921013850/0001437749-21-013850-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282972,4552283,4438876,3489750,2830175,675642,1253947,3743092,3344490,4125444,5321696,5859729,7157371,6194948,5779195,6072984,5384027,4822071,5633279
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282972,4552283,4438876,3489750,2830175,675642,1253947,3743092,3344490,4125444,5321696,5859729,7157371,6194948,5779195,6072984,5384027,4822071,5633279
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2309491,2702048,3760310,3413687,3806812,3886964,4229733,4518585,5313780,5086294,4113398,5866002,4823908,4116939,4139298,4345737,4293625,4628978,2866848
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3062135,2471810,2518212,2938234,3482139,4015459,4064611,3281447,4124188,4119073,4221036,4410763,4785376,4840108,4975779,4842474,4270357,3750978,4062885
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,999108,503037,407509,598806,640291,385030,593575,681412,724529,768556,887803,855249,891232,286859,256548,310173,318126,409703,213811
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7653706,10229178,11124907,10440477,10759417,8963095,10141866,12224536,13506987,14099367,14543933,16991743,17657887,15438854,15150820,15571368,14266135,13611730,12776823
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5618239,5456695,6125981,6698604,5754122,5665108,5253598,5186709,6275406,8515644,6777143,8488198,6797536,6010303,6457931,6166240,5786139,8636778,7077606
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1133751,939074,939074,1046944,1046944,1046944,1046944,1046944,4216444,2977473,1046944,1046944,1046944,1046944,1046944,729701
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1597039,1632636,1560578,402469,349358,276247,183135,110025,59218,22111,800635,7091431,5879888,5572405,5458379,5021304,4177257,3546081,2915710
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1597039,1632636,1560578,1536220,1288432,1215321,1230079,1156969,1106162,1069055,1847579,11307875,8857361,6619349,6505323,6068248,5224201,4593025,3645411
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1421655,858874,835463,607421,630078,1144764
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1215262,648736,436508,382179,654198,303936,215509,351700,550253,478904,665290,677723,825429,825564,445408,299316,338245,345777,306548
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8430540,7738067,8123067,8617003,7696752,7184365,6699186,6695378,7931821,10063603,9290012,20473796,16480326,14876871,14267536,13369267,11956006,14205658,12174329
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
