,https://roic.ai/company/CMP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,509200000,481500000,502600000,600600000,695100000,742300000,660700000,857300000,1167700000,963100000,1068900000,1105700000,941900000,1129600000,1282500000,1098700000,1138000000,1364400000,1493600000,1490500000,1373500000
2,COGS,- -,138500000,376700000,453600000,506200000,543000000,487600000,645300000,811500000,609000000,754000000,795900000,714800000,843600000,861100000,768600000,838500000,1037800000,1199700000,1153700000,1061200000
3,Gross Profit,- -,343000000,125900000,147000000,188900000,199300000,173100000,212000000,356200000,354100000,314900000,309800000,227100000,286000000,421400000,330100000,299500000,326600000,293900000,336800000,312300000
4,Gross Profit Ratio,- -,0.7124,0.2505,0.2448,0.2718,0.2685,0.2620,0.2473,0.3050,0.3677,0.2946,0.2802,0.2411,0.2532,0.3286,0.3004,0.2632,0.2394,0.1968,0.2260,0.2274
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35500000,36100000,40600000,49000000,58900000,56400000,53700000,67700000,82000000,83900000,88400000,94500000,93900000,100400000,110400000,108700000,124900000,167400000,163600000,173200000,171800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35500000,36100000,40600000,49000000,58900000,56400000,53700000,67700000,82000000,83900000,88400000,94500000,93900000,100400000,110400000,108700000,124900000,167400000,163600000,173200000,171800000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35500000,36100000,40600000,49000000,58900000,56400000,53700000,67700000,82000000,83900000,88400000,94500000,93900000,100400000,110400000,108700000,124900000,167400000,163600000,173200000,171800000
11,COGS and Expenses,35500000,174600000,417300000,502600000,565100000,599400000,541300000,713000000,893500000,692900000,842400000,890400000,808700000,944000000,971500000,877300000,963400000,1205200000,1363300000,1326900000,1233000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,41600000,25800000,22700000,21000000,18200000,17900000,20100000,21500000,34100000,52900000,62500000,68400000,71200000
