,https://roic.ai/company/MYHI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,23057,16374,150000,141120,- -
2,COGS,- -,- -,- -,- -,- -,2204,4135,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,20853,12239,150000,141120,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9044,0.7475,1.0000,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,18397,39696,- -,1474633,328841,589446,669002,295961,215327
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,18397,39696,- -,1474633,328841,589446,669002,295961,215327
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,30000,58811,50233
10,Operating Expenses,- -,18397,39696,- -,1474633,328841,589446,699002,354772,265560
11,COGS and Expenses,6017,18397,39696,- -,1474633,331045,593581,699002,354772,265560
12,Interest Income ,2,16,3,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,173798,269731,512071,26454,25027
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,30000,58811,50233
15,EBITDA,-6017,-18397,-39696,- -,-624633,-2764677,-672368,-2809652,-5349600,-215327
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-119.9062,-41.0631,-18.7310,-37.9082,-Infinity
17,Operating Income,-6017,-18397,-39696,- -,-1474633,-2607988,-632368,-664102,-810652,-265560
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-113.1105,-38.6203,-4.4273,-5.7444,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,3,- -,-850000,-330487,-309731,-2687621,-4624213,-219976
20,Income Before Tax,- -,- -,-39693,- -,-2324633,-2938475,-942099,-3351723,-5434865,-485536
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,-Infinity,-127.4439,-57.5363,-22.3448,-38.5124,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6015,-18381,-39693,- -,-2324633,-2938475,-942099,-3351723,-5434865,-485536
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-127.4439,-57.5363,-22.3448,-38.5124,-Infinity
25,EPS,-0.00,-0.00,-0.00,- -,-0.10,-0.09,-0.02,-0.04,-0.04,-0.00
26,EPS Diluted,-0.00,-0.00,-0.00,- -,-0.10,-0.09,-0.02,-0.04,-0.04,-0.00
27,Weighted Average Shares Outstanding,118708753,129288000,129288000,23982315,23982315,33418934,50095492,76569111,143712070,211827723
28,Weighted Average Shares Outstanding Diluted,118708753,129288000,129288000,23982315,23982315,33418934,50095492,76569111,143712070,211827723
