,https://roic.ai/company/TNLX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,30700000,20000000,19400000,19000000,20900000,19500000,22100000,24100000,35800000,33700000,37800000,45300000,53400000,63800000,62818000,66763000,70171000,74891000,57574000,52579000,54368000,53911000,51205000,36683000,28548000,24307000,23849000,23021000,20907000,24359000,23567000,21191000,24443000,14399000,17035000,9445000
2,COGS,14800000,7800000,8800000,14300000,8000000,7000000,10000000,10300000,15200000,12900000,15500000,20400000,24500000,31700000,31347000,35136000,46635000,53853000,41595000,38522000,40734000,41054000,39614000,28187000,22709000,20272000,20632000,18600000,16282000,19447000,18130000,15387000,20711000,11328000,13048000,10153000
3,Gross Profit,15900000,12200000,10600000,4700000,12900000,12500000,12100000,13800000,20600000,20800000,22300000,24900000,28900000,32100000,31471000,31627000,23536000,21038000,15979000,14057000,13634000,12857000,11591000,8496000,5839000,4035000,3217000,4421000,4625000,4912000,5437000,5804000,3732000,3071000,3987000,-708000
4,Gross Profit Ratio,0.5179,0.6100,0.5464,0.2474,0.6172,0.6410,0.5475,0.5726,0.5754,0.6172,0.5899,0.5497,0.5412,0.5031,0.5010,0.4737,0.3354,0.2809,0.2775,0.2674,0.2508,0.2385,0.2264,0.2316,0.2045,0.1660,0.1349,0.1920,0.2212,0.2017,0.2307,0.2739,0.1527,0.2133,0.2340,-0.0750
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10191000,8483000,- -,8916000,8072000,9164000,7589000,6624000,6578000,7014000,4215000,3826000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8700000,8400000,7600000,- -,8400000,8200000,7200000,7400000,10200000,11000000,11500000,13200000,16000000,18000000,18341000,19331000,17908000,17316000,15124000,12501000,12843000,12328000,13302000,10010000,10191000,8483000,7948000,8916000,8072000,9164000,7589000,6624000,6578000,7014000,4215000,3826000
9,Other Expenses,4500000,4200000,4000000,4000000,3600000,3600000,4100000,5000000,6300000,6500000,6900000,7100000,7100000,7900000,8682000,9532000,- -,- -,- -,- -,- -,- -,- -,- -,2696000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13200000,12600000,11600000,4000000,12000000,11800000,11300000,12400000,16500000,17500000,18400000,20300000,23100000,25900000,27023000,28863000,17908000,17316000,15124000,12501000,12843000,12328000,13302000,10010000,12887000,8483000,7948000,8916000,8072000,9164000,7589000,6624000,6578000,7014000,4215000,3826000
