,https://roic.ai/company/SSYS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2400000,3800000,10300000,22900000,29600000,32400000,37586938,35610547,37571582,39807889,50889861,70328505,82844304,103808851,112242581,124495012,98356232,117099282,155894363,215244000,484403000,750129000,695995000,672458000,668362000,663237000,636080000,520817000,607219000
2,COGS,1000000,1500000,3500000,6800000,7800000,8800000,11007861,11894003,14570815,15441448,18107580,27998776,35319249,52367467,52534470,58082692,51972660,61013313,73490253,105333000,258230000,387735000,593823000,355152000,345585000,338013000,322388000,301423000,347141000
3,Gross Profit,1400000,2300000,6800000,16100000,21800000,23600000,26579077,23716544,23000767,24366441,32782281,42329729,47525055,51441384,59708111,66412320,46383572,56085969,82404110,109911000,226173000,362394000,102172000,317306000,322777000,325224000,313692000,219394000,260078000
4,Gross Profit Ratio,0.5833,0.6053,0.6602,0.7031,0.7365,0.7284,0.7071,0.6660,0.6122,0.6121,0.6442,0.6019,0.5737,0.4955,0.5320,0.5335,0.4716,0.4790,0.5286,0.5106,0.4669,0.4831,0.1468,0.4719,0.4829,0.4904,0.4932,0.4212,0.4283
5,Research and Development Exp.,- -,1000000,2000000,3300000,5100000,5900000,6583120,6366800,4915098,4687673,5047207,5640216,6353877,6699373,7465334,8973203,7737125,9755169,14359828,19659000,52310000,82270000,122360000,97778000,96237000,98964000,94253000,84012000,88303000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73130000,202040000,351993000,434619000,307113000,255685000,235107000,231138000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2300000,2300000,4200000,9600000,14700000,15300000,15611257,15138072,14597862,16065320,18992636,23692008,27013718,29105342,33769880,36842665,32822727,32863462,39038315,73130000,202040000,351993000,434619000,307113000,255685000,235107000,231138000,205224000,250937000
9,Other Expenses,100000,100000,400000,1100000,1900000,2300000,1904039,1768080,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2400000,3400000,6600000,14000000,21700000,23500000,24098416,23272952,19512960,20752993,24039843,29332224,33367595,35804715,41235214,45815868,40559852,42618631,53398143,92789000,255104000,434263000,556979000,404891000,351922000,334071000,325391000,289236000,339240000
11,COGS and Expenses,3400000,4900000,10100000,20800000,29500000,32300000,35106277,35166955,34083775,36194441,42147423,57331000,68686844,88172182,93769684,103898560,92532512,103631944,126888396,198122000,513334000,821998000,1150802000,760043000,697507000,672084000,647779000,590659000,686381000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,921088,923210,984000,- -,-6529000,-10287000,354000,1047000,633000,4555000,- -,- -
13,Interest Expense (Gain),- -,- -,100000,- -,- -,100000,- -,69545,270818,178431,123924,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6529000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,100000,400000,1100000,1900000,2300000,1904039,1768080,2279575,2401209,2533743,2687080,3059790,3832234,4974336,7003846,8255653,9342390,10347723,19497000,92436000,109429000,108395000,92877000,66635000,61250000,50942000,49560000,56096000
15,EBITDA,-900000,-1000000,900000,3800000,2500000,-3300000,4793688,2763513,6073450,6481524,11802480,16534075,18342687,20796413,25336393,27737333,14437925,23177728,41700087,37675000,63008000,-38710000,-1276560000,6212000,35927000,55022000,43616000,-410555000,-9792000
16,EBITDA ratio,-0.3750,-0.2632,0.0874,0.1659,0.0845,-0.1019,0.1275,0.0776,0.1617,0.1628,0.2319,0.2351,0.2214,0.2003,0.2257,0.2228,0.1468,0.1979,0.2675,0.1750,0.1301,-0.0516,-1.8342,0.0092,0.0538,0.0830,0.0686,-0.7883,-0.0161
17,Operating Income,-1000000,-1100000,200000,2100000,100000,100000,2480661,443592,3487807,3613448,8742438,12997505,14157460,15636669,18472897,20596452,5823720,13467338,29005967,17122000,-28931000,-148189000,-1373544000,-86713000,-30523000,-8847000,-11699000,-455996000,-79162000
18,Operating Income ratio,-0.4167,-0.2895,0.0194,0.0917,0.0034,0.0031,0.0660,0.0125,0.0928,0.0908,0.1718,0.1848,0.1709,0.1506,0.1646,0.1654,0.0592,0.1150,0.1861,0.0795,-0.0597,-0.1976,-1.9735,-0.1289,-0.0457,-0.0133,-0.0184,-0.8755,-0.1304
19,Total Other Income Expenses (Gains),- -,- -,300000,600000,500000,-5800000,408988,482296,35250,288436,402375,849490,1125437,1327510,1889160,137035,358552,368000,2346397,1388000,-450000,-6529000,-10287000,354000,1047000,633000,4555000,-575000,12325000
20,Income Before Tax,- -,- -,- -,2700000,600000,-5700000,2889649,925888,3523057,3901884,9144813,13846995,15282897,16964179,20362057,20733487,6182272,13835338,31352364,18510000,-29381000,-154718000,-1383831000,-86359000,-29476000,-8214000,-7144000,-456571000,-66837000
21,Income Before Tax Ratio,- -,- -,- -,0.1179,0.0203,-0.1759,0.0769,0.0260,0.0938,0.0980,0.1797,0.1969,0.1845,0.1634,0.1814,0.1665,0.0629,0.1182,0.2011,0.0860,-0.0607,-0.2063,-1.9883,-0.1284,-0.0441,-0.0124,-0.0112,-0.8766,-0.1101
22,Income Tax expense (Gain),- -,- -,- -,-800000,100000,-2400000,746000,-62413,1009872,791102,2989299,4717849,4680000,5800000,6037999,7118000,2066001,4465794,10726000,9687000,-2474000,-35248000,-10320000,-9446000,9273000,4736000,3523000,-16394000,-3906000
23,Net Income,-1000000,-1100000,400000,3500000,500000,-3300000,2143649,988301,2513185,3110782,6155514,9129146,10602897,11164179,14324058,13615487,4116271,9369544,20626364,8491000,-26954000,-119420000,-1374635000,-77219000,-39981000,-10964000,-10849000,-443721000,-61982000
24,Net Income ratio,-0.4167,-0.2895,0.0388,0.1528,0.0169,-0.1019,0.0570,0.0278,0.0669,0.0781,0.1210,0.1298,0.1280,0.1075,0.1276,0.1094,0.0419,0.0800,0.1323,0.0394,-0.0556,-0.1592,-1.9751,-0.1148,-0.0598,-0.0165,-0.0171,-0.8520,-0.1021
