,https://roic.ai/company/PLTK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1150800000,1490700000,1887600000,2371500000,2583000000
2,COGS,348200000,437000000,566300000,712200000,729000000
3,Gross Profit,802600000,1053700000,1321300000,1659300000,1854000000
4,Gross Profit Ratio,0.6974,0.7068,0.7000,0.6997,0.7178
5,Research and Development Exp.,107700000,148300000,210500000,268900000,386700000
6,General and Administrative Exp.,131800000,179600000,199700000,501200000,323400000
7,Selling and Marketing Exp.,217700000,293200000,413700000,502000000,581700000
8,"Selling, General and Administrative Exp.",349500000,472800000,613400000,1003200000,905100000
9,Other Expenses,12300000,- -,- -,- -,- -
10,Operating Expenses,469500000,621100000,823900000,1272100000,1291800000
11,COGS and Expenses,817700000,1058100000,1390200000,1984300000,2020800000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,192800000,153800000
14,Depreciation and Amortization,26700000,37700000,73000000,119200000,- -
15,EBITDA,364500000,468400000,509300000,506400000,562200000
16,EBITDA ratio,0.3167,0.3142,0.2698,0.2135,0.2177
17,Operating Income,333100000,432600000,497400000,387200000,562200000
18,Operating Income ratio,0.2895,0.2902,0.2635,0.1633,0.2177
19,Total Other Income Expenses (Gains),4700000,-1900000,-61100000,-192800000,-153800000
20,Income Before Tax,337800000,430700000,436300000,194400000,408400000
21,Income Before Tax Ratio,0.2935,0.2889,0.2311,0.0820,0.1581
22,Income Tax expense (Gain),80400000,92700000,147400000,102300000,99900000
23,Net Income,257400000,338000000,288900000,92100000,308500000
24,Net Income ratio,0.2237,0.2267,0.1531,0.0388,0.1194
25,EPS,0.63,0.83,0.70,0.22,0.75
26,EPS Diluted,0.63,0.83,0.70,0.22,0.75
27,Weighted Average Shares Outstanding,409585700,409585700,409585700,412767200,408900000
28,Weighted Average Shares Outstanding Diluted,409585700,409585700,409585700,412767200,411000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828016/000182801621000014/0001828016-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1828016/000182801622000016/0001828016-22-000016-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,300500000,266800000,520100000,1017000000
32,Short-Term Investments,- -,- -,- -,- -,100100000
33,Cash and Short-Term Investments,- -,300500000,266800000,520100000,1117100000
34,Net Receivables,- -,161900000,125700000,129300000,143700000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,80400000,84600000,105100000,74900000
37,Total Current Assets,- -,542800000,477100000,754500000,1335700000
38,PP&E,- -,50800000,140800000,171900000,192700000
39,Goodwill,- -,221100000,474200000,484800000,788100000
40,Intangible Assets,- -,149900000,356700000,327700000,417300000
41,Intangible Assets,- -,371000000,830900000,812500000,1205400000
42,Investments,- -,- -,- -,- -,17800000
43,Tax Assets,- -,39700000,28200000,28500000,38300000
44,Other Non-Current Assets,- -,10500000,3300000,8800000,13400000
45,Total Non-Current Assets,- -,472000000,1003200000,1021700000,1467600000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,1014800000,1480300000,1776200000,2803300000
48,Accounts Payable,- -,29700000,54100000,34600000,45700000
49,Short-Term Debt,- -,- -,- -,121000000,29400000
50,Tax Payable,- -,- -,- -,130500000,- -
51,Deferred Revenue,- -,10400000,19400000,21300000,- -
52,Other Current Liabilities,- -,395000000,480400000,463500000,494600000
53,Total Current Liabilities,- -,435100000,553900000,640400000,569700000
54,Long-Term Debt,- -,10500000,2319800000,2276800000,2505200000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,24500000,99500000,86400000,53700000
57,Other Non-Current Liabilities,- -,80000000,122600000,16100000,52400000
58,Total Non-Current Liabilities,- -,115000000,2541900000,2379300000,2611300000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,62900000,83400000,99500000
61,Total Liabilities,- -,550100000,3095800000,3019700000,3181000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,3800000,3800000,3900000,4100000
64,Retained Earnings,- -,258500000,-1818500000,-1726400000,-1417900000
65,Other Comprehensive Income/Loss,- -,-40800000,-63400000,16700000,3200000
66,Other Total Stockholders Equity,- -,243200000,262600000,462300000,- -
67,Total Stockholders Equity,- -,464700000,-1615500000,-1243500000,-377700000
68,Total Liabilities And Stockholders Equity,- -,1014800000,1480300000,1776200000,2803300000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1014800000,1480300000,1776200000,2803300000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1828016/000182801621000014/0001828016-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1828016/000182801622000016/0001828016-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,257400000,338000000,288900000,92100000,308500000
74,Depreciation and Amortization,26700000,37700000,73000000,119200000,- -
75,Deferred Income Tax,5200000,-5200000,40800000,-13100000,- -
76,Stock Based Compensation,- -,- -,- -,276000000,- -
77,Change in Working Capital,69000000,107700000,-184500000,190900000,- -
78,Accounts Receivable,-35400000,4900000,-15400000,-1700000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,7900000,4600000,8000000,-20200000,- -
81,Other Working Capital,- -,107700000,-76800000,114100000,- -
82,Other Non-Cash Items,10700000,-25400000,273700000,-147400000,243200000
83,Cash Provided by Operating Activities,369000000,452800000,491900000,517700000,551700000
84,CAPEX,-20800000,-57000000,-92400000,-98100000,-99600000
85,Acquisitions Net,- -,- -,- -,- -,-394100000
86,Purchases of Investments,- -,- -,- -,- -,-117800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-210200000,-100800000,-461200000,-44000000,-50100000
89,Cash Used for Investing Activites,-225900000,-141900000,-516500000,-98100000,-609400000
90,Debt Repayment,- -,-24000000,-2672600000,-408300000,-965300000
91,Common Stock Issued,- -,- -,- -,- -,470400000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-400000000,-2365900000,- -,- -
94,Other Financing Activites,92000000,86600000,5031900000,227000000,1054600000
95,Cash Used/Provided by Financing Activities,92000000,-337400000,-6600000,-181300000,559700000
96,Effect of Forex Changes on Cash,1600000,-2500000,-2400000,13300000,-6600000
97,Net Change In Cash,236700000,-29000000,-33600000,251600000,495400000
98,Cash at the End of Period,334600000,305600000,272000000,523600000,1019000000
99,Cash at the Beginning of Period,97900000,334600000,305600000,272000000,523600000
100,Free Cash Flow,348200000,395800000,399500000,419600000,452100000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828016/000182801621000014/0001828016-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1828016/000182801622000016/0001828016-22-000016-index.htm
102,false,,,,,
