,https://roic.ai/company/SNY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5350000000,5963000000,6488000000,7455084310,8033995540,15031705360,28491240950,29489294800,29253041370,28817000000,30749000000,32035000000,35058000000,35957000000,33306000000,34109000000,34861000000,34708000000,36204000000,35677000000,37631000000,37369000000,39175000000
2,COGS,1492000000,1442000000,1253000000,1378947590,1425283850,3750365120,7559951740,7586749970,7582978720,7337000000,7880000000,8717000000,10902000000,11118000000,10990000000,11029000000,10919000000,10702000000,11611000000,11435000000,11976000000,12157000000,12255000000
3,Gross Profit,3858000000,4521000000,5235000000,6076136720,6608711690,11281340240,20931289210,21902544830,21670062650,21480000000,22869000000,23318000000,24156000000,24839000000,22316000000,23080000000,23942000000,24006000000,24593000000,24242000000,25655000000,25212000000,26920000000
4,Gross Profit Ratio,0.7211,0.7582,0.8069,0.8150,0.8226,0.7505,0.7347,0.7427,0.7408,0.7454,0.7437,0.7279,0.6890,0.6908,0.6700,0.6767,0.6868,0.6917,0.6793,0.6795,0.6818,0.6747,0.6872
5,Research and Development Exp.,- -,945000000,1031000000,1218848630,1313325620,7449830320,4040867660,4430213430,4543888750,4575000000,4583000000,4401000000,4811000000,4922000000,4770000000,4824000000,5082000000,5172000000,5472000000,5894000000,6018000000,5529000000,5692000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,7168000000,7325000000,7567000000,8536000000,8947000000,8602000000,9107000000,9382000000,9486000000,10058000000,9859000000,9883000000,9390000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,7168000000,7325000000,7567000000,8536000000,8947000000,8602000000,9107000000,9382000000,9486000000,10058000000,9859000000,9883000000,9390000000,9555000000
9,Other Expenses,2887000000,1999000000,2098000000,2240432470,2225666090,4136171760,11170221300,11468395840,11068570060,3836000000,3143000000,4017000000,3622000000,3183000000,2465000000,2318000000,2345000000,1819000000,1862000000,2234000000,2528000000,2400000000,2526000000
10,Operating Expenses,2887000000,2944000000,3129000000,3459281100,3538991710,11586002080,15211088960,15898609270,15612458810,15579000000,15051000000,15985000000,16969000000,17052000000,15837000000,16249000000,16809000000,16477000000,17392000000,17987000000,18429000000,17319000000,17773000000
