,https://roic.ai/company/MGTX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,13291956,15562985,37701000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,15562985,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,14037918,22359712,33620223,24875659,33910481,67128000
6,General and Administrative Exp.,6026529,9325017,44483938,46684297,44206921,43765000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6026529,9325017,44483938,46684297,44206921,43765000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20064447,31684729,78104161,71559956,78117402,110893000
11,COGS and Expenses,20064447,31684729,78104161,71559956,78117402,- -
12,Interest Income ,32068,26073,53408,370603,1275464,212000
13,Interest Expense (Gain),25440,42863,33429,48612,139203,-288000
14,Depreciation and Amortization,243081,679177,2053220,2238560,4171626,- -
15,EBITDA,-19789298,-31532979,-76050941,-52459063,-53681175,-79849000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-3.9467,-3.4493,-2.1180
17,Operating Income,-20064447,-31684729,-78104161,-58268000,-62554417,-73192000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-4.3837,-4.0194,-1.9414
19,Total Other Income Expenses (Gains),272171,640194,-5236104,3521765,4562413,-6369000
20,Income Before Tax,-19792276,-31044535,-83340265,-54746235,-57992004,-79561000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-4.1187,-3.7263,-2.1103
22,Income Tax expense (Gain),- -,- -,-474391,- -,- -,- -
23,Net Income,-19486393,-31044535,-82865874,-54746235,-57992004,-79561000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-4.1187,-3.7263,-2.1103
25,EPS,-1.02,-1.63,-4.47,-1.65,-1.54,-1.80
26,EPS Diluted,-1.02,-1.69,-4.47,-1.65,-1.54,-1.80
27,Weighted Average Shares Outstanding,19239228,18884110,18948520,33161860,37724189,44139655
28,Weighted Average Shares Outstanding Diluted,19239228,18884110,18948520,33161860,37724189,44139655
