,https://roic.ai/company/FLO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1483148000,1507424000,1620000000,1629000000,1652200000,- -,1453000000,1715869000,1888700000,2036700000,- -,2414900000,2600800000,2773356000,3046500000,3751005000,- -,3749000000,3926885000,3920733000,3951852000,4123974000,- -,4387991000
2,COGS,795084000,883882000,900200000,888800000,910400000,- -,720200000,861583000,949600000,1039000000,- -,1264000000,1390200000,1473201000,1617800000,1972221000,- -,1950600000,2026367000,2009473000,2066828000,2155709000,- -,2196142000
3,Gross Profit,688064000,623542000,719800000,740200000,741800000,- -,732800000,854286000,939100000,997700000,- -,1150900000,1210600000,1300155000,1428700000,1778784000,- -,1798400000,1900518000,1911260000,1885024000,1968265000,- -,2191849000
4,Gross Profit Ratio,0.4639,0.4136,0.4443,0.4544,0.4490,- -,0.5043,0.4979,0.4972,0.4899,- -,0.4766,0.4655,0.4688,0.4690,0.4742,- -,0.4797,0.4840,0.4875,0.4770,0.4773,- -,0.4995
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,642500000,624100000,-20000,- -,-13000,- -,13000,-21000,- -,- -,-18000,- -,-7080000,1375131000,- -,11000,1464236000,6148000,- -,- -,- -,1693387000
7,Selling and Marketing Exp.,- -,- -,- -,- -,613020000,- -,601013000,- -,759387000,787821000,- -,894800000,926418000,- -,1107480000,- -,- -,1368289000,- -,1503867000,1507256000,1575122000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,642500000,624100000,613000000,- -,601000000,- -,759400000,787800000,- -,894800000,926400000,- -,1100400000,1375131000,- -,1368300000,1464236000,1510015000,1507256000,1575122000,- -,1693387000
9,Other Expenses,645618000,642500000,67600000,110300000,101600000,- -,53900000,755000000,61200000,65200000,- -,73400000,77900000,1111129000,109800000,118491000,- -,154700000,140869000,240242000,165424000,167715000,- -,141384000
10,Operating Expenses,645618000,642500000,710100000,734400000,714600000,- -,654900000,755000000,820600000,853000000,- -,968200000,1004300000,1111129000,1210200000,1493622000,- -,1523000000,1605105000,1750257000,1672680000,1742837000,- -,1834771000
11,COGS and Expenses,1440702000,1526382000,1610300000,1623200000,1625000000,- -,1375100000,1616583000,1770200000,1892000000,- -,2232200000,2394500000,2584330000,2828000000,3465843000,- -,3473600000,3631472000,3759730000,3739508000,3898546000,- -,4030913000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13486000,13013000,13112000,13672000,16015000,- -,20947000,20552000,22938000,27755000,27750000,- -,26696000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6137000,11587000,10172000,23411000,28875000,- -,28288000,34905000,36557000,35686000,38847000,- -,38790000
14,Depreciation and Amortization,53544000,53890000,67102000,73815000,73965000,- -,53935000,59344000,64250000,66094000,- -,73312000,80928000,94638000,102690000,118491000,- -,128961000,140869000,146719000,144124000,144228000,- -,141384000
15,EBITDA,95443000,61184000,55602000,51415000,61558000,- -,101698000,160436000,190554000,215664000,- -,266393000,296862000,296776000,334852000,469739000,- -,425264000,425311000,332569000,376971000,395158000,- -,380885000
16,EBITDA ratio,0.0644,0.0406,0.0343,0.0316,0.0373,- -,0.0700,0.0935,0.1009,0.1059,- -,0.1103,0.1141,0.1070,0.1099,0.1252,- -,0.1134,0.1083,0.0848,0.0954,0.0958,- -,0.0868
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218511000,335233000,- -,275395000,263890000,162912000,212344000,225428000,- -,321488000
