,https://roic.ai/company/YI,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,873837000,959486000,1785970000,3952053000,- -,12425902000
2,COGS,796230000,868719000,1681700000,3786870000,- -,11804807000
3,Gross Profit,77607000,90767000,104270000,165183000,- -,621095000
4,Gross Profit Ratio,0.0888,0.0946,0.0584,0.0418,- -,0.0500
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,191048000,157447000,243937000,314399000,- -,752101000
7,Selling and Marketing Exp.,252829000,190074000,260040000,340562000,- -,513146000
8,"Selling, General and Administrative Exp.",443877000,347521000,503977000,654961000,- -,1265247000
9,Other Expenses,-1990000,-2732000,668000,3735000,- -,-2012000
10,Operating Expenses,441887000,344789000,504645000,658696000,- -,1263235000
11,COGS and Expenses,1238117000,1213508000,2186345000,4445566000,- -,13068042000
12,Interest Income ,2308000,4013000,4352000,4802000,- -,9776000
13,Interest Expense (Gain),751000,55000,- -,3622000,- -,5488000
14,Depreciation and Amortization,12060000,14820000,11266000,11668000,- -,- -
15,EBITDA,-349870000,-233705000,-368817000,-484316000,- -,-664322000
16,EBITDA ratio,-0.4004,-0.2436,-0.2065,-0.1225,- -,-0.0535
17,Operating Income,-364280000,-254022000,-400375000,-493513000,- -,-642140000
18,Operating Income ratio,-0.4169,-0.2647,-0.2242,-0.1249,- -,-0.0517
19,Total Other Income Expenses (Gains),834000,4695000,18342000,-8314000,- -,21115000
20,Income Before Tax,-363446000,-249327000,-382033000,-501827000,- -,-621025000
21,Income Before Tax Ratio,-0.4159,-0.2599,-0.2139,-0.1270,- -,-0.0500
22,Income Tax expense (Gain),- -,- -,8000,- -,- -,- -
23,Net Income,-362681000,-248580000,-380091000,-499606000,- -,-669810000
24,Net Income ratio,-0.4150,-0.2591,-0.2128,-0.1264,- -,-0.0539
25,EPS,-5.18,-3.08,-7.64,-6.10,-5.54,-8.13
26,EPS Diluted,-5.18,-3.08,-7.64,-6.10,-5.54,-8.13
27,Weighted Average Shares Outstanding,80734498,80734498,49725605,81835788,82393316,82393316
28,Weighted Average Shares Outstanding Diluted,82859498,80734498,49725605,81835788,82393316,82393316
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,373505000,167660000,853740000,581281000,1189620000,661390000
32,Short-Term Investments,266823000,293533000,252805000,- -,300167000,182556000
33,Cash and Short-Term Investments,640328000,461193000,1106545000,581281000,1489787000,843946000
34,Net Receivables,96074000,95476000,160428000,259557000,439743000,495203000
35,Inventory,134734000,144056000,210836000,486271000,766529000,1121107000
36,Other Current Assets,29673000,29740000,29288000,154322000,176645000,341481000
37,Total Current Assets,900809000,730465000,1507097000,1481431000,2872704000,2801737000
38,PP&E,24490000,17028000,20302000,117691000,142067000,314101000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,5306000,4751000,4503000,- -,- -,- -
41,Intangible Assets,5306000,4751000,4503000,8022000,6517000,4909000
42,Investments,11000000,11140000,11140000,140000,140000,3000000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3376000,3009000,5061000,22086000
45,Total Non-Current Assets,40796000,32919000,39321000,128862000,153785000,344096000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,941605000,763384000,1546418000,1610293000,3026489000,3145833000
48,Accounts Payable,97983000,128140000,212258000,444334000,1073352000,1394252000
49,Short-Term Debt,- -,- -,- -,126180000,266963000,259658000
50,Tax Payable,1912000,1454000,2466000,2691000,9576000,- -
51,Deferred Revenue,12957000,18015000,21504000,74767000,131015000,- -
52,Other Current Liabilities,61213000,55003000,80757000,128142000,158390000,476068000
53,Total Current Liabilities,172153000,201158000,314519000,773423000,1629720000,2129978000
54,Long-Term Debt,- -,- -,- -,57011000,62388000,165614000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,193932000,243407000,8135000,5936000,927981000,1002385000
58,Total Non-Current Liabilities,193932000,243407000,8135000,62947000,990369000,1167999000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,88110000,100101000,165614000
61,Total Liabilities,366085000,444565000,322654000,836370000,2620089000,3297977000
62,Preferred Stock,1263523000,1263523000,- -,- -,- -,- -
63,Common Stock,25000,25000,54000,55000,55000,56000
64,Retained Earnings,-755058000,-1003638000,-1383729000,-1883335000,-2339868000,-3009678000
65,Other Comprehensive Income/Loss,64870000,47550000,67073000,76441000,62911000,59371000
66,Other Total Stockholders Equity,-25000,9921000,2540878000,2583495000,2634307000,2776930000
67,Total Stockholders Equity,573335000,317381000,1224276000,776656000,357405000,-173321000
68,Total Liabilities And Stockholders Equity,939420000,761946000,1546930000,1613026000,2977494000,3124656000
69,Minority Interest,2185000,1438000,-512000,-2733000,48995000,21177000
70,Total Liabilities & Equity,941605000,763384000,1546418000,1610293000,3026489000,3145833000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-362681000,-248580000,-380091000,-499606000,-456533000,-669810000
74,Depreciation and Amortization,12060000,14820000,11266000,11668000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,3438000,9921000,51359000,54281000,- -,- -
77,Change in Working Capital,-40720000,20224000,-13843000,-103258000,4970000,- -
78,Accounts Receivable,1977000,7990000,-8171000,-36678000,- -,- -
79,Inventory,-22028000,-9322000,-66780000,-276225000,- -,- -
80,Accounts Payable,8935000,30157000,84118000,232076000,- -,- -
81,Other Working Capital,- -,- -,4759000,-25763000,-2200000,- -
82,Other Non-Cash Items,-743000,-757000,-11709000,24533000,444696000,27874000
83,Cash Provided by Operating Activities,-388646000,-204372000,-343018000,-512382000,-6867000,-641936000
84,CAPEX,-6925000,-6860000,-14819000,-24610000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-267576000,-109520000,-519187000,-601000000,- -,- -
87,Sales/Maturities of Investments,6670000,80198000,578359000,863106000,- -,- -
88,Other Investing Activites,-1302000,-5000,-275000,-4401000,-135254000,60138000
89,Cash Used for Investing Activites,-267554000,-36125000,44454000,237675000,-135254000,60138000
90,Debt Repayment,-47500000,- -,- -,-55838000,- -,- -
91,Common Stock Issued,1000,25000,694878000,11328000,6327000,- -
92,Common Stock Repurchased,- -,- -,- -,-22991000,-11981000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,195918000,49475000,277819000,176488000,- -,27438000
95,Cash Used/Provided by Financing Activities,148419000,49500000,972697000,108987000,-5654000,27438000
96,Effect of Forex Changes on Cash,35330000,-14848000,11947000,9702000,-13530000,-3502000
