,https://roic.ai/company/YAYO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,235690,3289478,6914910,7621180,10235630
2,COGS,- -,213111,2374397,4673870,5263474,8551454
3,Gross Profit,- -,22579,915081,2241040,2357706,1684176
4,Gross Profit Ratio,- -,0.0958,0.2782,0.3241,0.3094,0.1645
5,Research and Development Exp.,- -,303555,9699,13500,- -,199753
6,General and Administrative Exp.,- -,3249659,6584251,4023921,5288316,8397149
7,Selling and Marketing Exp.,- -,86098,482811,765441,490403,283181
8,"Selling, General and Administrative Exp.",- -,3335757,7067062,4789362,5778719,8680330
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3639312,7076761,4802862,5778719,8880083
11,COGS and Expenses,- -,3852423,9451158,9476732,11042193,17431537
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,192395,4639442,1115499,- -,- -
14,Depreciation and Amortization,- -,82904,500622,995228,1436383,2124728
15,EBITDA,- -,-6293564,-8049058,-1819494,-2065694,-12860150
16,EBITDA ratio,- -,-26.7027,-2.4469,-0.2631,-0.2710,-1.2564
17,Operating Income,- -,-6416733,-8549680,-2814722,-3421013,-7195907
18,Operating Income ratio,- -,-27.2253,-2.5991,-0.4071,-0.4489,-0.7030
19,Total Other Income Expenses (Gains),- -,-152130,-4639442,-1115499,-81064,-7788971
20,Income Before Tax,- -,-6568863,-13189122,-3930221,-3502077,-14984878
21,Income Before Tax Ratio,- -,-27.8708,-4.0095,-0.5684,-0.4595,-1.4640
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,-6568863,-13189122,-3930221,-3502077,-14984878
24,Net Income ratio,- -,-27.8708,-4.0095,-0.5684,-0.4595,-1.4640
25,EPS,- -,-0.24,-0.45,-0.14,-0.11,-0.48
26,EPS Diluted,- -,-0.24,-0.45,-0.14,-0.11,-0.48
27,Weighted Average Shares Outstanding,- -,26938926,29427976,27112557,31118425,31118425
28,Weighted Average Shares Outstanding Diluted,- -,26938926,29427976,27112557,31118425,31118425
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1691077/000149315220005514/0001493152-20-005514-index.htm,https://www.sec.gov/Archives/edgar/data/1691077/000149315221007448/0001493152-21-007448-index.htm,https://www.sec.gov/Archives/edgar/data/1691077/000149315222008429/0001493152-22-008429-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,18643,308738,277444,1256429,72890,1853928
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18643,308738,277444,1256429,72890,1853928
34,Net Receivables,- -,- -,- -,59331,119239,751450
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,13406,108900,782900,23861,1472556
37,Total Current Assets,18643,322144,386344,2098660,215990,4077934
38,PP&E,- -,2036342,5120209,4740442,- -,195360
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,136032,- -,66500,364080,6398341,8987319
