,https://roic.ai/company/FLDM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,6398000,7275000,15347000,25412000,33560000,42865000,52334000,71183000,116456000,114712000,104446000,101937000,112964000,117243000,138144000,130581000
2,COGS,2773000,3514000,8364000,11486000,11581000,13191000,15325000,20204000,42849000,46630000,46009000,49955000,51315000,52964000,54818000,61208000
3,Gross Profit,3625000,3761000,6983000,13926000,21979000,29674000,37009000,50979000,73607000,68082000,58437000,51982000,61649000,64279000,83326000,69373000
4,Gross Profit Ratio,0.5666,0.5170,0.4550,0.5480,0.6549,0.6923,0.7072,0.7162,0.6321,0.5935,0.5595,0.5099,0.5457,0.5483,0.6032,0.5313
5,Research and Development Exp.,15589000,14389000,14015000,12315000,13007000,13936000,16602000,19953000,43423000,39264000,38415000,30826000,30030000,31640000,36461000,37944000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,31304000,38478000,48412000,71324000,82959000,93212000,79516000,79783000,84478000,97901000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,31304000,38478000,48412000,71324000,82959000,93212000,79516000,79783000,84478000,97901000,98888000
9,Other Expenses,9699000,12898000,22511000,19648000,23545000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25288000,27287000,36526000,31963000,36552000,45240000,55080000,68365000,114747000,122223000,131627000,110342000,109813000,116118000,134362000,136832000
11,COGS and Expenses,28061000,30801000,44890000,43449000,48133000,58431000,70405000,88569000,157596000,168853000,177636000,160297000,161128000,169082000,189180000,198040000
12,Interest Income ,565000,1140000,766000,37000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2261000,2790000,2031000,2876000,2158000,3101000,628000,14000,5344000,5808000,5820000,5824000,13893000,4279000,3572000,3823000
14,Depreciation and Amortization,1459000,2138000,1967000,1940000,1504000,1062000,2139000,2551000,13861000,16115000,17938000,18609000,16572000,15805000,15924000,15571000
15,EBITDA,-19833000,-20418000,-25648000,-14362000,-13157000,-18141000,-16121000,-13824000,-38500000,-32867000,-56419000,-39366000,-30955000,-46621000,-34605000,-44266000
16,EBITDA ratio,-3.0999,-2.8066,-1.6712,-0.5652,-0.3920,-0.4232,-0.3080,-0.1942,-0.3306,-0.2865,-0.5402,-0.3862,-0.2740,-0.3976,-0.2505,-0.3390
17,Operating Income,-21663000,-23526000,-29543000,-18037000,-14573000,-18566000,-18071000,-18653000,-51836000,-50155000,-73190000,-58360000,-48164000,-51839000,-51036000,-67459000
18,Operating Income ratio,-3.3859,-3.2338,-1.9250,-0.7098,-0.4342,-0.4331,-0.3453,-0.2620,-0.4451,-0.4372,-0.7007,-0.5725,-0.4264,-0.4422,-0.3694,-0.5166
19,Total Other Income Expenses (Gains),-1890000,-1820000,-103000,-1141000,-2246000,-3738000,-817000,2264000,-5869000,-4635000,-6987000,-5439000,-13256000,-14866000,-3065000,3799000
20,Income Before Tax,-23553000,-25346000,-29646000,-19178000,-16819000,-22304000,-18888000,-16389000,-57705000,-54790000,-80177000,-63799000,-61420000,-66705000,-54101000,-63660000
21,Income Before Tax Ratio,-3.6813,-3.4840,-1.9317,-0.7547,-0.5012,-0.5203,-0.3609,-0.2302,-0.4955,-0.4776,-0.7676,-0.6259,-0.5437,-0.5689,-0.3916,-0.4875
22,Income Tax expense (Gain),- -,105000,-147000,-50000,83000,166000,136000,137000,-4875000,-1475000,-4192000,-3264000,-2407000,-1915000,-1081000,-4423000
23,Net Income,-23553000,-25451000,-29499000,-19128000,-16902000,-22470000,-19024000,-16526000,-52830000,-53315000,-75985000,-60535000,-59013000,-64790000,-53020000,-59237000
24,Net Income ratio,-3.6813,-3.4984,-1.9221,-0.7527,-0.5036,-0.5242,-0.3635,-0.2322,-0.4536,-0.4648,-0.7275,-0.5938,-0.5224,-0.5526,-0.3838,-0.4536
25,EPS,-12.46,-13.47,-17.80,-2.54,-8.94,-1.81,-0.86,-0.62,-1.90,-1.86,-2.62,-1.84,-1.49,-0.97,-0.74,-0.78
26,EPS Diluted,-12.46,-13.47,-17.80,-2.54,-8.94,-1.81,-0.86,-0.62,-1.90,-1.86,-2.62,-1.84,-1.49,-0.97,-0.74,-0.78
27,Weighted Average Shares Outstanding,1890000,1890000,1653000,11393000,1890000,17847000,22136000,25479000,27768000,28711000,29008000,32980000,39652000,66779000,72044000,76301000
28,Weighted Average Shares Outstanding Diluted,1890000,1890000,1653000,11393000,1890000,17847000,22136000,25479000,27768000,28711000,29008000,32980000,39652000,66779000,72044000,76301000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1162194/000119312512130255/0001193125-12-130255-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000119312513103352/0001193125-13-103352-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219414000010/0001162194-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219415000040/0001162194-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219416000182/0001162194-16-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000162828017002137/0001628280-17-002137-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219418000032/0001162194-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219419000020/0001162194-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219420000016/0001162194-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219421000013/0001162194-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219422000021/0001162194-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25018000,34077000,17796000,14602000,5723000,13553000,58649000,35261000,33713000,29117000,35045000,58056000,95401000,21661000,68520000,28451000
32,Short-Term Investments,500000,6286000,- -,- -,- -,39914000,21362000,49083000,81588000,65855000,24385000,5080000,- -,36978000,- -,- -
33,Cash and Short-Term Investments,25518000,40363000,17796000,14602000,5723000,53467000,80011000,84344000,115301000,94972000,59430000,63136000,95401000,58639000,68520000,28451000
34,Net Receivables,1765000,1900000,4706000,8690000,8100000,9253000,12900000,10552000,22384000,25457000,14610000,15049000,16651000,18981000,25423000,18320000
35,Inventory,3038000,5498000,5456000,3945000,4893000,5970000,7169000,8148000,15991000,17924000,20114000,15088000,13003000,13884000,19689000,20825000
36,Other Current Assets,768000,2568000,1267000,1246000,2165000,1343000,1131000,1540000,2221000,5742000,2517000,1528000,2051000,4592000,4031000,4470000
37,Total Current Assets,31089000,50329000,29225000,28483000,20881000,70033000,101211000,104584000,155897000,144095000,96671000,94801000,127106000,96096000,117663000,72066000
38,PP&E,4068000,3378000,2777000,1930000,2328000,3256000,4974000,6818000,13889000,15258000,16525000,12301000,8825000,12916000,55645000,65153000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,104108000,104108000,104108000,104108000,104108000,104108000,106563000,106379000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,102200000,91048000,86491000,74153000,61813000,49132000,40206000,27927000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,206308000,195156000,190599000,178261000,165921000,153240000,146769000,134306000
42,Investments,- -,- -,- -,- -,1340000,2840000,3666000,1942000,27499000,6493000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1336000,1069000,352000,1740000,252000,3197000,3881000,3571000,3966000,10059000,2600000,1988000,1795000,2560000,4680000,3689000
45,Total Non-Current Assets,5404000,4447000,3129000,3670000,3920000,9293000,12521000,12331000,251662000,226966000,209724000,192550000,176541000,168716000,207094000,203148000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36493000,54776000,32354000,32153000,24801000,79326000,113732000,116915000,407559000,371061000,306395000,287351000,303647000,264812000,324757000,275214000
48,Accounts Payable,1188000,2725000,2860000,2224000,3155000,4010000,2555000,4353000,5919000,6094000,3967000,4211000,4027000,6510000,9220000,10602000
49,Short-Term Debt,3476000,3834000,1034000,- -,7686000,8921000,- -,- -,- -,- -,- -,- -,- -,1833000,2973000,3053000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1010000,2652000,1412000,758000,1336000,2011000,1886000,2721000,6928000,9419000,9163000,10238000,11464000,11803000,13475000,15482000
52,Other Current Liabilities,1476000,2364000,3215000,4147000,6335000,5229000,7156000,10877000,16538000,14568000,16370000,19025000,22091000,12675000,28581000,20431000
53,Total Current Liabilities,7150000,11575000,8521000,7129000,18512000,20171000,11597000,17951000,29385000,30081000,29500000,33474000,37582000,32821000,54249000,49568000
54,Long-Term Debt,22434000,10525000,14178000,14461000,10139000,1217000,- -,- -,195455000,195684000,194951000,195238000,172058000,53821000,54224000,101757000
55,Deferred Revenue,786000,762000,312000,258000,426000,667000,1241000,1899000,4357000,4398000,4315000,4960000,6327000,8168000,29026000,24082000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,26152000,23595000,21140000,16919000,13714000,11494000,8697000,4329000
57,Other Non-Current Liabilities,112295000,162245000,167682000,183924000,184891000,374000,237000,651000,1791000,2402000,3256000,5825000,1850000,4896000,39511000,882000
58,Total Non-Current Liabilities,135515000,173532000,182172000,198643000,195456000,2258000,1478000,2550000,227755000,226079000,223662000,222942000,193949000,78379000,131458000,131050000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6156000,41151000,40601000
61,Total Liabilities,142665000,185107000,190693000,205772000,213968000,22429000,13075000,20501000,257140000,256160000,253162000,256416000,231531000,111200000,185707000,180618000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9000,10000,2000,2000,2000,20000,25000,26000,28000,29000,29000,39000,49000,70000,75000,- -
64,Retained Earnings,-108272000,-133798000,-163297000,-182425000,-199327000,-221797000,-240821000,-257347000,-310177000,-363492000,-439477000,-500196000,-558851000,-623641000,- -,- -
65,Other Comprehensive Income/Loss,-17000,-135000,-556000,-504000,-778000,-754000,-769000,-730000,-794000,-1144000,-760000,-574000,-687000,-582000,112000,-907000
66,Other Total Stockholders Equity,2108000,3592000,5512000,9308000,10936000,279428000,342222000,354465000,461362000,479508000,493441000,531666000,631605000,777765000,138863000,- -
67,Total Stockholders Equity,-106172000,-130331000,-158339000,-173619000,-189167000,56897000,100657000,96414000,150419000,114901000,53233000,30935000,72116000,153612000,139050000,94596000
68,Total Liabilities And Stockholders Equity,36493000,54776000,32354000,32153000,24801000,79326000,113732000,116915000,407559000,371061000,306395000,287351000,303647000,264812000,324757000,275214000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36493000,54776000,32354000,32153000,24801000,79326000,113732000,116915000,407559000,371061000,306395000,287351000,303647000,264812000,324757000,275214000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1162194/000119312512130255/0001193125-12-130255-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000119312513103352/0001193125-13-103352-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219414000010/0001162194-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219415000040/0001162194-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219416000182/0001162194-16-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000162828017002137/0001628280-17-002137-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219418000032/0001162194-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219419000020/0001162194-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219420000016/0001162194-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219421000013/0001162194-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219422000021/0001162194-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-23553000,-25451000,-29499000,-19128000,-16902000,-22470000,-19024000,-16526000,-52830000,-53315000,-75985000,-60535000,-59013000,-64790000,-53020000,-59237000
74,Depreciation and Amortization,1459000,2138000,1967000,1940000,1504000,1062000,2139000,2551000,13861000,16115000,17938000,18609000,16572000,15805000,15924000,15571000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,145000,708000,2022000,2111000,1586000,2799000,4088000,6438000,23588000,16830000,13858000,9092000,11023000,11393000,14451000,16101000
77,Change in Working Capital,-1203000,14815000,-18050000,650000,-18985000,47493000,39752000,-2981000,39879000,-12498000,-46843000,-5844000,28197000,-26249000,139000,-19933000
78,Accounts Receivable,-400000,-135000,-3278000,-3999000,209000,-1222000,-3702000,2412000,-3393000,-2762000,10521000,-554000,-1788000,-2075000,-7628000,- -
79,Inventory,-955000,-2460000,-20000,1510000,-961000,-1077000,-1682000,-1533000,-6162000,-3741000,-3387000,4596000,1488000,-2689000,1614000,- -
80,Accounts Payable,-575000,1537000,135000,-637000,932000,540000,-1815000,1802000,107000,769000,-2271000,585000,-294000,2145000,3356000,- -
81,Other Working Capital,23939000,38754000,20704000,21354000,2369000,49862000,89614000,86633000,126512000,114014000,67171000,61327000,89524000,63275000,63414000,-19933000
82,Other Non-Cash Items,846000,-13969000,14840000,-5086000,21289000,-46426000,-44433000,8927000,-47121000,-1828000,51934000,14580000,-21980000,28631000,7089000,3437000
83,Cash Provided by Operating Activities,-22306000,-21759000,-28720000,-19513000,-11508000,-17542000,-17478000,-1591000,-22623000,-34696000,-39098000,-24098000,-25201000,-35210000,-15417000,-44061000
84,CAPEX,-2932000,-973000,-910000,-799000,-1539000,-1676000,-2384000,-4686000,-7403000,-10652000,-5065000,-1616000,-372000,-2531000,-12717000,-13264000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,3117000,-112858000,- -,2330000,- -,- -,- -,-5154000,- -
86,Purchases of Investments,-1990000,-6273000,-4511000,- -,- -,-71379000,-35385000,-59436000,-132644000,-66973000,-38594000,-6276000,-1450000,-62370000,- -,- -
87,Sales/Maturities of Investments,1987000,487000,10797000,- -,- -,29966000,51770000,33440000,74520000,103369000,86431000,25550000,6541000,25600000,36810000,- -
88,Other Investing Activites,-8000,19000,625000,111000,206000,-2021000,- -,-1240000,- -,-6670000,- -,-50000,- -,- -,21036000,1318000
89,Cash Used for Investing Activites,-2943000,-6740000,6001000,-688000,-1333000,-45110000,14001000,-27565000,-178385000,25744000,45102000,17658000,4719000,-39301000,39975000,-11946000
90,Debt Repayment,-4000000,-3503000,-3855000,-1034000,- -,-12867000,-12065000,- -,- -,- -,- -,- -,- -,-51826000,-684000,-501000
91,Common Stock Issued,- -,- -,- -,- -,- -,76946000,56008000,- -,- -,- -,76000,29015000,59469000,- -,20226000,- -
92,Common Stock Repurchased,-69000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,35193000,41058000,10180000,17973000,3797000,6288000,4578000,5806000,200326000,5303000,- -,-18000,-1809000,54616000,1315000,16460000
95,Cash Used/Provided by Financing Activities,31124000,37555000,6325000,16939000,3797000,70367000,48521000,5806000,200326000,5303000,76000,28997000,57660000,2790000,20857000,15959000
96,Effect of Forex Changes on Cash,-19000,3000,113000,68000,165000,115000,52000,-38000,-866000,-947000,-152000,454000,167000,56000,385000,-21000
97,Net Change In Cash,5856000,9059000,-16281000,-3194000,-8879000,7830000,45096000,-23388000,-1548000,-4596000,5928000,23011000,37345000,-71665000,45800000,-40069000
98,Cash at the End of Period,25018000,34077000,17796000,14602000,5723000,13553000,58649000,35261000,33713000,29117000,35045000,58056000,95401000,23736000,69536000,29467000
99,Cash at the Beginning of Period,19162000,25018000,34077000,17796000,14602000,5723000,13553000,58649000,35261000,33713000,29117000,35045000,58056000,95401000,23736000,69536000
100,Free Cash Flow,-25238000,-22732000,-29630000,-20312000,-13047000,-19218000,-19862000,-6277000,-30026000,-45348000,-44163000,-25714000,-25573000,-37741000,-28134000,-57325000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1162194/000119312512130255/0001193125-12-130255-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000119312513103352/0001193125-13-103352-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219414000010/0001162194-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219415000040/0001162194-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219416000182/0001162194-16-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000162828017002137/0001628280-17-002137-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219418000032/0001162194-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219419000020/0001162194-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219420000016/0001162194-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219421000013/0001162194-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1162194/000116219422000021/0001162194-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,
