,https://roic.ai/company/ATRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,20000,590000,360000,640000,1190000,760000,320000,860000,2100000,2900000,- -,4100000,8100000,4500000,4141000,2603000,8923000,19440000,1847000,7449000,28490000,18137000,2609000,14732000,2460000,2236000,4217000,2115000,500000,680000,- -,- -,76186,252000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,200000,300000,-100000,-374000,503000,289000,498000,258000,21000,355000,100000,2906000,- -,- -,- -,- -,- -,- -,- -,- -,- -,458708,409000,- -
3,Gross Profit,- -,20000,590000,360000,640000,1190000,760000,320000,860000,1100000,- -,- -,3900000,7800000,4600000,4515000,2100000,8634000,18942000,1589000,7428000,28135000,18037000,-297000,14732000,2460000,2236000,4217000,2115000,500000,680000,- -,- -,-382522,-157000,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5238,- -,- -,0.9512,0.9630,1.0222,1.0903,0.8068,0.9676,0.9744,0.8603,0.9972,0.9875,0.9945,-0.1138,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,-5.0209,-0.6230,- -
5,Research and Development Exp.,- -,350000,570000,530000,430000,540000,310000,400000,440000,500000,900000,- -,4600000,6000000,9600000,7328000,7330000,11420000,17097000,21083000,30334000,43244000,52254000,36771000,14882000,18105000,11438000,5169000,715000,686000,801000,108858,907493,240982,- -,- -
6,General and Administrative Exp.,- -,860000,1080000,840000,750000,890000,830000,230000,200000,400000,2100000,- -,5000000,3900000,4100000,6790000,4324000,- -,- -,- -,- -,- -,- -,12027000,- -,- -,- -,- -,1765000,3334000,3868000,599683,4732221,6029318,4713000,1198000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3635904,5260000,839000
8,"Selling, General and Administrative Exp.",- -,860000,1080000,840000,750000,890000,830000,230000,200000,400000,2100000,- -,5000000,3900000,4100000,6790000,4324000,- -,- -,- -,- -,- -,- -,13617000,- -,- -,- -,- -,1765000,3334000,3868000,599683,4732221,9665222,9973000,2037000
9,Other Expenses,- -,100000,90000,90000,90000,120000,70000,- -,320000,- -,- -,- -,300000,300000,400000,732000,- -,10203000,8056000,8997000,10895000,14208000,20314000,- -,10088000,10359000,8369000,5250000,- -,- -,- -,49189,450903,330396,70000,- -
