,https://roic.ai/company/MCFT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,162009000,177587000,214386000,221600000,228634000,332725000,466381000,363073000,525808000
2,COGS,131303000,139975000,163220000,160521000,165158000,242361000,353254000,287717000,395837000
3,Gross Profit,30706000,37612000,51166000,61079000,63476000,90364000,113127000,75356000,129971000
4,Gross Profit Ratio,0.1895,0.2118,0.2387,0.2756,0.2776,0.2716,0.2426,0.2076,0.2472
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10518000,9960000,18472000,29162000,20474000,19773000,27706000,25557000,37049000
7,Selling and Marketing Exp.,7948000,8837000,8552000,9685000,9380000,13011000,17670000,15981000,13021000
8,"Selling, General and Administrative Exp.",18466000,18797000,27024000,38847000,29854000,32784000,45376000,41538000,50070000
9,Other Expenses,222000,221000,222000,221000,107000,1597000,3492000,3948000,3948000
10,Operating Expenses,18688000,19018000,27246000,39068000,29961000,34381000,48868000,45486000,54018000
11,COGS and Expenses,149991000,158993000,190466000,199589000,195119000,276742000,402122000,333203000,449855000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),9239000,7555000,5171000,1280000,2222000,3474000,6513000,5045000,3392000
14,Depreciation and Amortization,1975000,2472000,3278000,3444000,3231000,5086000,7787000,10527000,11630000
15,EBITDA,13993000,18540000,20577000,23242000,36746000,61069000,41046000,-16040000,86850000
16,EBITDA ratio,0.0864,0.1044,0.0960,0.1049,0.1607,0.1835,0.0880,-0.0442,0.1652
17,Operating Income,12018000,18594000,23920000,22011000,33515000,55983000,33259000,-26567000,75953000
18,Operating Income ratio,0.0742,0.1047,0.1116,0.0993,0.1466,0.1683,0.0713,-0.0732,0.1445
19,Total Other Income Expenses (Gains),-9239000,-10081000,-11792000,-3493000,-2222000,-3474000,-6513000,-5045000,-4125000
20,Income Before Tax,2779000,8513000,12128000,18518000,31293000,52509000,26746000,-31612000,71828000
21,Income Before Tax Ratio,0.0172,0.0479,0.0566,0.0836,0.1369,0.1578,0.0573,-0.0871,0.1366
22,Income Tax expense (Gain),-37000,-11414000,6594000,8308000,11723000,12856000,5392000,-7565000,15658000
23,Net Income,2816000,19927000,5534000,10210000,19570000,39653000,21354000,-24047000,56170000
24,Net Income ratio,0.0174,0.1122,0.0258,0.0461,0.0856,0.1192,0.0458,-0.0662,0.1068
25,EPS,0.16,1.16,0.32,0.57,1.05,2.13,1.14,-1.28,2.99
26,EPS Diluted,0.16,1.16,0.32,0.56,1.05,2.12,1.14,-1.28,2.96
27,Weighted Average Shares Outstanding,17210426,17210426,17210426,17849319,18592885,18619793,18653892,18734482,18805464
28,Weighted Average Shares Outstanding Diluted,17210426,17210426,17210426,18257007,18620708,18714531,18768207,18734482,18951521
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1638290/000155837015001811/0001558370-15-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837016008267/mcft-20160630x10k.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837017006982/0001558370-17-006982-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000155837018007407/0001558370-18-007407-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000156459019034678/mcft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459020043257/0001564590-20-043257-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459021046866/0001564590-21-046866-index.htm
30,BALANCE SHEET, , , , , , , , , 
