,https://roic.ai/company/NAK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,-140603000,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,140603000,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,Infinity,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,19590000,12623000,12691000,20315000,12005000,6886000,21261000,26176000,19166000,41600000,15805000,15751000,23325000,18790000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",295677,- -,- -,- -,- -,- -,- -,19590000,12623000,12691000,20315000,12005000,6886000,21261000,26176000,19166000,41600000,15805000,15751000,23325000,18790000
9,Other Expenses,1267839,5101816,8429778,41454344,51184033,62225104,106682888,131617000,451000,138000,819000,4461000,1991000,12877000,8718000,7935000,22594000,50409000,53014000,39219000,12435000
10,Operating Expenses,1563516,5101816,8429778,41454344,51184033,62225104,106682888,151207000,13074000,12829000,21134000,16466000,8877000,34138000,34894000,27101000,64194000,66214000,68765000,62544000,31225000
11,COGS and Expenses,1563516,5101816,8429778,41454344,51184033,62225104,106682888,10604000,13074000,14629000,21134000,16466000,8877000,34138000,34894000,27101000,64194000,66214000,68765000,62544000,31225000
12,Interest Income ,- -,- -,64710,- -,584562,2237667,- -,1268000,- -,- -,944000,887000,1136000,281000,99000,33000,462000,684000,237000,146000,176000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,335000,544000,- -,- -,- -,- -,144000,- -,- -,- -,134000,117000,67000
14,Depreciation and Amortization,287,721,3832,45994,93179,123908,145993,182000,- -,- -,- -,- -,- -,282000,279000,205000,176000,234000,647000,533000,329000
15,EBITDA,-1571105,-5063440,-8491556,-40806121,-51372493,-63068280,-102648723,-10422000,-12404000,-13541000,-21134000,-16383000,-14279000,-34077000,-34302000,-26852000,-62885000,-114915000,-67868000,-61473000,-30704000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1563516,-5101816,-8429778,-41454344,-51184033,-62225104,-106682888,-149939000,-13100000,-14629000,-21134000,-16466000,-8877000,-34138000,-34894000,-27101000,-64194000,-66214000,-68765000,-62544000,-31225000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),7876,-37655,65610,-602229,281639,121245456,214504916,- -,335000,544000,944000,804000,6538000,502000,-449000,119000,-671000,50257000,-428000,-1328000,-317000
20,Income Before Tax,- -,- -,- -,- -,- -,59020352,107822028,-149939000,-12765000,-14085000,-20190000,-15662000,-2339000,-33636000,-35343000,-26982000,-64865000,-15957000,-69193000,-63872000,-31542000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-637497,-3814679,-33000,-25000,30000,-51000,- -,184000,-2289000,-1514000,- -,- -,- -,- -,- -,- -
23,Net Income,-1454884,-5112493,-8299462,-41698647,-50317831,-58382856,-104007349,-149906000,-12740000,-14115000,-20139000,-15662000,-2523000,-31347000,-33829000,-26982000,-64865000,-15957000,-69193000,-63872000,-31542000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.20,-0.41,-0.35,-1.04,-0.90,-0.75,-1.13,-1.62,-0.14,-0.15,-0.21,-0.16,-0.03,-0.33,-0.23,-0.11,-0.22,-0.05,-0.19,-0.13,-0.06
26,EPS Diluted,-0.20,-0.41,-0.35,-1.04,-0.90,-0.75,-1.13,-1.62,-0.14,-0.15,-0.21,-0.16,-0.03,-0.33,-0.23,-0.11,-0.22,-0.05,-0.19,-0.13,-0.06
27,Weighted Average Shares Outstanding,7448167,12562113,23386208,39926335,55845791,77708870,91978571,92543639,92828293,93778967,94851589,94995127,95007000,95010000,146313000,246161000,300511000,312265000,358343000,473668000,521459000
28,Weighted Average Shares Outstanding Diluted,7448167,13609391,23386208,39926335,55845791,77708870,91978571,92543639,92828293,93778967,94851589,94995127,95007000,95010000,146313000,246161000,300511000,312265000,358343000,473668000,521459000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299305000781/0001062993-05-000781-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299307001155/0001062993-07-001155-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299308001377/0001062993-08-001377-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299309001068/0001062993-09-001068-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299310001073/0001062993-10-001073-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299311001286/0001062993-11-001286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299313001523/0001062993-13-001523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299315002901/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299316009358/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299317001576/0001062993-17-001576-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315218004214/0001493152-18-004214-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315219004626/0001493152-19-004626-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315220005442/0001493152-20-005442-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,424152,3441465,12476048,12948641,93689667,40340650,59201000,44895000,40402000,37457000,27537000,25795000,9447000,7509000,7196000,67158000,14872000,14038000,42460000,22291000
32,Short-Term Investments,- -,- -,- -,363906,363906,- -,12911,2000,2000,1000,- -,- -,- -,287000,1579000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,424152,3441465,12839954,13312547,93689667,40353561,59203000,44897000,40403000,37457000,27537000,25795000,9734000,9088000,7196000,67158000,14872000,14038000,42460000,22291000
34,Net Receivables,- -,258184,229145,414266,865331,4422326,1026914,1109000,236000,3483000,5011000,5006000,5790000,962000,678000,188000,583000,838000,416000,654000,164000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-1,-1,-2,- -,993,- -,- -,- -,176000,- -,2149000,1206000,850000,491000,411000,549000,498000,823000,1703000
37,Total Current Assets,- -,682336,3670609,13254219,14177876,98111993,41381468,60312000,45133000,43886000,42644000,32543000,33734000,11902000,10616000,7875000,68152000,16259000,14952000,43937000,24158000
38,PP&E,- -,2812,12037,12186722,17118135,168855266,168895620,168841000,- -,1055000,1055000,1055000,108050000,123608000,147088000,142472000,133711000,144835000,138867000,135646000,134339000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,104937000,99306000,101542000,99336000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,757000,830000,805000,791000,785000
45,Total Non-Current Assets,- -,2814,12037,12186722,17118136,168855266,168895620,168841000,104937000,100361000,102597000,100391000,108050000,123608000,147088000,142472000,134468000,145665000,139672000,136437000,135124000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,685150,3682646,25440941,31296012,266967259,210277088,229153000,150070000,144247000,145241000,132934000,141784000,135510000,157704000,150347000,202620000,161924000,154624000,180374000,159282000
48,Accounts Payable,- -,174559,145642,3025155,3161012,7839372,7606515,12015000,193000,- -,170000,261000,3594000,5650000,2047000,1260000,10268000,5935000,12401000,6304000,1922000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1646000,259000,126000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,11728,284080,- -,- -,- -,21849,1328000,- -,554000,- -,148000,459000,383000,677000,240000,1052000,585000,1138000,848000,376000
53,Total Current Liabilities,- -,186287,429722,3025155,3161012,7839372,7628364,13343000,193000,554000,170000,409000,4053000,6033000,2724000,1500000,11320000,6520000,15185000,7411000,2424000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,934000,657000,561000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,61601069,57786275,57753000,3807000,3633000,3715000,3632000,3803000,1514000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2,- -,- -,- -,-1,- -,194182000,- -,- -,- -,- -,- -,- -,- -,- -,53799000,7194000,- -,- -,804000
58,Total Non-Current Liabilities,- -,2,- -,- -,- -,61601068,57786275,251935000,3807000,3633000,3715000,3632000,3803000,1514000,- -,- -,53799000,7194000,934000,657000,1365000
59,Other Liabilities,- -,4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1220000,916000,687000
61,Total Liabilities,- -,186289,429722,3025155,3161012,69440440,65414639,265278000,4000000,4187000,3885000,4041000,7856000,7547000,2724000,1500000,65119000,13714000,16119000,8068000,3789000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389189000,389227000,389227000,435069000,452132000,513304000,517327000,587448000,683039000,700278000
64,Retained Earnings,- -,-11200387,-19499848,-61198495,-111516326,-169899182,-273906048,-423812000,-224590000,-240510000,-295763000,-311425000,-313948000,-345295000,-379124000,-406106000,-470971000,-486913000,-556106000,-619978000,-651520000
65,Other Comprehensive Income/Loss,- -,663270,1688334,7504720,-158066,-281975,-2979,-950000,-15000,- -,- -,51129000,58649000,84031000,99035000,102821000,95168000,117796000,107163000,109245000,106735000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,498861,3252924,22415786,28135001,197526818,109310756,-36125000,146070000,140060000,141356000,128893000,133928000,127963000,154980000,148847000,137501000,148210000,138505000,172306000,155493000
68,Total Liabilities And Stockholders Equity,- -,685150,3682646,25440941,31296013,266967258,174725395,229153000,150070000,144247000,145241000,132934000,141784000,135510000,157704000,150347000,202620000,161924000,154624000,180374000,159282000
69,Minority Interest,- -,- -,- -,- -,-1,1,35551693,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,685150,3682646,25440941,31296012,266967259,210277088,229153000,150070000,144247000,145241000,132934000,141784000,135510000,157704000,150347000,202620000,161924000,154624000,180374000,159282000
