,https://roic.ai/company/NLTX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,25000000,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,6045395,7539179,18079262,15799000,28382000,36267000,41789000,4417000,24344000,39162000
6,General and Administrative Exp.,1635623,1776905,4296447,5541000,9263000,14852000,15835000,18826000,17210000,21536000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1635623,1776905,4296447,5541000,9263000,14852000,15835000,18826000,17210000,21536000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7681018,9316084,22375709,21340000,37645000,51119000,57624000,23243000,41554000,60698000
11,COGS and Expenses,7681018,9375655,22375709,21340000,37645000,51119000,57624000,23243000,41554000,60698000
12,Interest Income ,- -,26321,- -,- -,619000,998000,1563000,1542000,490000,19000
13,Interest Expense (Gain),9470,42923,461587,99000,1000,4000,4000,1000,- -,- -
14,Depreciation and Amortization,130784,59571,135946,- -,- -,- -,- -,340000,1821000,2277000
15,EBITDA,-7531650,-9676183,-22239763,-21709000,-37069000,-50160000,-31581000,-22903000,-47564000,-58420000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2632,-Infinity,-Infinity,-Infinity
17,Operating Income,-7681018,-9375655,-22375709,-21340000,-37645000,-51119000,-32624000,-70959000,-33728000,-60698000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3050,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),9114,641240,-1651529,-520000,643000,936000,1039000,1517000,451000,6000
20,Income Before Tax,-7671904,-8734415,-24027238,-21860000,-37002000,-50183000,-31585000,-69442000,-33277000,-60692000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2634,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),42294,-5044,-222,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7714198,-8729371,-24027016,-21860000,-37002000,-50183000,-31585000,-69442000,-33277000,-60692000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2634,-Infinity,-Infinity,-Infinity
25,EPS,-2.08,-1.59,-2.75,-1.73,-1.96,-2.14,-1.34,-2.57,-0.64,-1.10
26,EPS Diluted,-2.08,-1.59,-2.75,-1.73,-1.96,-2.14,-1.34,-2.57,-0.64,-1.10
27,Weighted Average Shares Outstanding,5845260,5845260,8667387,12637839,18893515,23450315,23519508,27030355,51825022,55041662
28,Weighted Average Shares Outstanding Diluted,5845260,5845260,8667387,12637839,18893515,23450315,23519508,27030355,51825022,55041662
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404644/000119312515093873/0001193125-15-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312516503435/0001193125-16-503435-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312517076939/0001193125-17-076939-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312518079210/0001193125-18-079210-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312519066506/0001193125-19-066506-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312520071545/0001193125-20-071545-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828021005630/0001628280-21-005630-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828022004491/0001628280-22-004491-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2000539,11006392,14906087,39526000,32301000,52032000,76928000,143093000,192556000,142467000
32,Short-Term Investments,- -,2820600,24191219,34956000,70758000,56053000,- -,- -,- -,- -
33,Cash and Short-Term Investments,2000539,13826992,39097306,74482000,103059000,108085000,76928000,143093000,192556000,142467000
34,Net Receivables,28545,27946,65447,32000,426000,740000,237000,503000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,34998,1441413,139006,282000,- -,- -,- -,- -,1966000,1522000
37,Total Current Assets,2064082,15296351,39301759,74796000,103485000,108825000,77165000,143596000,194522000,143989000
38,PP&E,157801,75465,104694,89000,849000,905000,400000,2830000,13724000,17218000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,85264,62506,- -,- -,- -,- -,- -,567000,347000,128000
41,Intangible Assets,85264,62506,- -,- -,- -,- -,- -,567000,347000,128000
42,Investments,- -,- -,2003099,38458000,50046000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,34843,214784,13395,- -,- -,599000,53000,30000,1926000,1928000
45,Total Non-Current Assets,277908,352755,2121188,38547000,50895000,1504000,453000,3427000,15997000,19274000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2341990,15649106,41422947,113343000,154380000,110329000,77618000,147023000,210519000,163263000
48,Accounts Payable,188541,599833,734192,2205000,6860000,6016000,702000,1604000,1323000,526000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,11306,1221000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,196846,2020272,4469116,2587000,2659000,4940000,3925000,3139000,6554694,6889000
53,Total Current Liabilities,385387,2620105,5203308,4792000,9519000,10956000,4627000,4743000,7889000,8636000
54,Long-Term Debt,- -,2036489,- -,- -,- -,- -,- -,- -,11306,11763000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,53057810,229924,72341,131000,197000,486000,319000,593000,11402694,- -
58,Total Non-Current Liabilities,53057810,2266413,72341,131000,197000,486000,319000,593000,11414000,11763000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,47000,33000,6000,1211000,12122000,12984000
61,Total Liabilities,53443197,4886518,5275649,4923000,9716000,11442000,4946000,5336000,19303000,20399000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,534766,6,11,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-51635973,-63630863,-89415563,-111276000,-148278000,-198502000,-230087000,-299529000,-332806000,-393498000
65,Other Comprehensive Income/Loss,-394537,-252729,-277867,-90000,-175000,-535000,-443000,-688000,- -,- -
66,Other Total Stockholders Equity,394537,74646174,125840717,219786000,293117000,297924000,303202000,441904000,524022000,- -
67,Total Stockholders Equity,-51101207,10762588,36147298,108420000,144664000,98887000,72672000,141687000,191216000,142864000
68,Total Liabilities And Stockholders Equity,2341990,15649106,41422947,113343000,154380000,110329000,77618000,147023000,210519000,163263000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2341990,15649106,41422947,113343000,154380000,110329000,77618000,147023000,210519000,163263000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404644/000119312515093873/0001193125-15-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312516503435/0001193125-16-503435-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312517076939/0001193125-17-076939-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312518079210/0001193125-18-079210-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312519066506/0001193125-19-066506-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312520071545/0001193125-20-071545-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828021005630/0001628280-21-005630-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828022004491/0001628280-22-004491-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7714198,-8729371,-24027016,-21860000,-37002000,-50183000,-31585000,-69442000,-33277000,-60692000
74,Depreciation and Amortization,130784,59571,135946,- -,- -,- -,- -,340000,1821000,2277000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,351322,349321,1040544,1506000,1966000,3839000,4698000,7683000,5622000,11557000
77,Change in Working Capital,-45558,10997551,21422205,35905549,23962000,3903000,-25331000,66315000,47780000,-700000
78,Accounts Receivable,190645,599,-37502,34000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,4815000,1822000,-6472000,-2244000,3018000,- -
81,Other Working Capital,1678695,12676246,34098451,70004000,93966000,97869000,72538000,138853000,186633000,- -
82,Other Non-Cash Items,45448,-10615086,-16377244,-35819549,-19152000,-2277000,20641000,-20290000,-46521000,- -
83,Cash Provided by Operating Activities,-7232202,-7938014,-17805565,-20268000,-30226000,-44718000,-31577000,-15394000,-24575000,-47558000
84,CAPEX,-6447,-11741,-113890,-27000,-713000,-494000,-49000,-879000,-2219000,-3263000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2820600,-36474883,-60703000,-106442000,-5995000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,12989557,13196000,59097000,70500000,56000000,- -,- -,- -
88,Other Investing Activites,- -,191817,25894,1000,- -,- -,- -,191000,- -,- -
89,Cash Used for Investing Activites,-6447,-2640524,-23573322,-47533000,-48058000,64011000,55951000,-688000,-2219000,-3263000
90,Debt Repayment,- -,- -,-2500000,- -,-4000,-15000,-32000,-9000,-49000,-51000
91,Common Stock Issued,- -,7,53130000,98038000,75368000,- -,- -,86216000,71675000,- -
92,Common Stock Repurchased,- -,- -,-590,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,19584384,-5350828,-5090000,-4252000,438000,602000,-3970000,5509000,783000
95,Cash Used/Provided by Financing Activities,- -,19584391,45278582,92948000,71112000,423000,570000,82237000,77135000,732000
96,Effect of Forex Changes on Cash,- -,- -,- -,-527000,-53000,15000,-48000,10000,- -,- -
97,Net Change In Cash,-7238649,9005853,3899695,24620000,-7225000,19731000,24896000,66165000,50341000,-50089000
98,Cash at the End of Period,2000539,11006392,14906087,39526000,32301000,52032000,76928000,143093000,193434000,143345000
99,Cash at the Beginning of Period,9239188,2000539,11006392,14906000,39526000,32301000,52032000,76928000,143093000,193434000
100,Free Cash Flow,-7238649,-7949755,-17919455,-20295000,-30939000,-45212000,-31626000,-16273000,-26794000,-50821000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1404644/000119312515093873/0001193125-15-093873-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312516503435/0001193125-16-503435-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312517076939/0001193125-17-076939-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312518079210/0001193125-18-079210-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312519066506/0001193125-19-066506-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000119312520071545/0001193125-20-071545-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828021005630/0001628280-21-005630-index.htm,https://www.sec.gov/Archives/edgar/data/1404644/000162828022004491/0001628280-22-004491-index.htm
102,false,,,,,,,,,,
