,https://roic.ai/company/MBII,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,5251000,7140000,14543000,9136000,9801000,14042000,18167000,21220000,29373000,100000,44310
2,COGS,2172000,4333000,10736000,9438000,9256000,9522000,10528000,10907000,13260000,40000,17064
3,Gross Profit,3079000,2807000,3807000,-302000,545000,4520000,7639000,10313000,16113000,60000,27246
4,Gross Profit Ratio,0.5864,0.3931,0.2618,-0.0331,0.0556,0.3219,0.4205,0.4860,0.5486,0.6000,0.6149
5,Research and Development Exp.,9410000,12741000,17814000,19281000,13500000,9670000,10820000,10662000,14026000,30000,12077
6,General and Administrative Exp.,- -,- -,15018000,28950000,26502000,18510000,19814000,19155000,30072000,75000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,15018000,28950000,26502000,18510000,19814000,19155000,30072000,75000,30573
9,Other Expenses,6793000,10294000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16203000,23035000,32832000,48231000,40002000,28180000,30634000,29817000,44098000,105000,42650
11,COGS and Expenses,18375000,27368000,43568000,57669000,49258000,37702000,41162000,40724000,57358000,145000,59714
12,Interest Income ,22000,16000,49000,59000,51000,37000,1000,- -,- -,- -,- -
13,Interest Expense (Gain),88000,2466000,5997000,2907000,4363000,7302000,7729000,2508000,1474000,4000,1570
14,Depreciation and Amortization,499000,613000,976000,2581000,3510000,2235000,2044000,1890000,3154000,3558000,4567
15,EBITDA,-12593000,-35715000,-21516000,-46171000,-35855000,-21534000,-21152000,-15815000,-32532000,3509000,-10462
16,EBITDA ratio,-2.3982,-5.0021,-1.4795,-5.0537,-3.6583,-1.5335,-1.1643,-0.7453,-1.1075,35.0900,-0.2361
17,Operating Income,-13124000,-23838000,-29025000,-48533000,-39457000,-23660000,-22995000,-19504000,-27985000,-17195000,-15404000
18,Operating Income ratio,-2.4993,-3.3387,-1.9958,-5.3123,-4.0258,-1.6849,-1.2658,-0.9191,-0.9527,-171.9500,-347.6416
19,Total Other Income Expenses (Gains),-56000,-14956000,536000,-3126000,-4271000,-7411000,-7930000,-709000,-9190000,17142000,15387491
20,Income Before Tax,-13180000,-38794000,-28489000,-51659000,-43728000,-31071000,-30925000,-20213000,-37175000,-53000,-16509
21,Income Before Tax Ratio,-2.5100,-5.4333,-1.9589,-5.6544,-4.4616,-2.2127,-1.7023,-0.9525,-1.2656,-0.5300,-0.3726
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,-45
23,Net Income,-13180000,-38794000,-28489000,-51659000,-43728000,-31071000,-30925000,-20213000,-37175000,-53000,-16554
24,Net Income ratio,-2.5100,-5.4333,-1.9589,-5.6544,-4.4616,-2.2127,-1.7023,-0.9525,-1.2656,-0.5300,-0.3736
25,EPS,-0.72,-2.24,-3.42,-2.32,-1.79,-1.26,-1.07,-0.20,-0.32,-0.14,-0.00
26,EPS Diluted,-0.72,-2.24,-3.94,-2.32,-1.79,-1.26,-1.07,-0.20,-0.32,-0.14,-0.00
27,Weighted Average Shares Outstanding,18267515,18267515,8731000,22314000,24469000,24617000,29235000,101248000,117982000,148892000,148892000
28,Weighted Average Shares Outstanding Diluted,18267515,18267515,8911000,22314000,24469000,24617000,29235000,101248000,117982000,148892000,148892000
