,https://roic.ai/company/WVVIP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2500000,3100000,3600000,4300000,5700000,6100000,5914208,6716857,7030791,5989456,7301781,9387141,13667869,14916072,16710927,16048238,16563712,17370803,- -,- -,13271914,15156159,17938872,19425412,20853527,23079739,24749263,27314852,31786864
2,COGS,1000000,1300000,1400000,1500000,2300000,2400000,2737773,2813355,3560853,2754824,3827526,4806326,7282112,7963437,8430802,8229877,8849800,9679414,- -,- -,5588439,6139553,7092111,7204884,7971676,8298240,9454681,10585076,13121191
3,Gross Profit,1500000,1800000,2200000,2800000,3400000,3700000,3176435,3903502,3469938,3234632,3474255,4580815,6385757,6952635,8280125,7818361,7713912,7691389,- -,- -,7683475,9016606,10846761,12220528,12881851,14781499,15294582,16729776,18665673
4,Gross Profit Ratio,0.6000,0.5806,0.6111,0.6512,0.5965,0.6066,0.5371,0.5812,0.4935,0.5401,0.4758,0.4880,0.4672,0.4661,0.4955,0.4872,0.4657,0.4428,- -,- -,0.5789,0.5949,0.6047,0.6291,0.6177,0.6405,0.6180,0.6125,0.5872
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3896947,4117970,4269864,5371931
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6701837,7449088,7458139,9603723
8,"Selling, General and Administrative Exp.",1200000,1400000,1800000,2000000,2400000,2700000,2901594,2775782,2978799,2685023,3018164,3569296,4385354,4678228,5554062,6455203,6596513,6844785,6216833,5075052,5308931,6210384,7578184,8053127,9245807,10598784,11567058,11728003,14975654
9,Other Expenses,200000,200000,300000,400000,500000,700000,- -,719046,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1400000,1600000,2100000,2400000,2900000,3400000,2901594,3494828,2978799,2685023,3018164,3569296,4385354,4678228,5554062,6455203,6596513,6844785,6216833,5075052,5308931,6210384,7578184,8053127,9245807,10598784,11567058,11728003,14975654
11,COGS and Expenses,2400000,2900000,3500000,3900000,5200000,5800000,5639367,6308183,6539652,5439847,6845690,8375622,11667466,12641665,13984864,14685080,15446313,16524199,- -,- -,10897370,12349937,14670295,15258011,17217483,18897024,21021739,22313079,28096845
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,3894,4811,4469,5070,4633,1197,59736,79814,36746,17042,12814,12772,8548,6963,1031,2237,9851,25257,26591,48066,21022,12412
