,https://roic.ai/company/AXSM,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1535255,4279200,6776987,21199860,19957616,23495055,53647067,70244579,58060725000
6,General and Administrative Exp.,304183,1392830,2419289,6343648,7206691,9351522,13598030,28896749,66646205000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",304183,1392830,2419289,6343648,7206691,9351522,13598030,28896749,66646205000
9,Other Expenses,- -,- -,- -,-474279,-207114,-217418,-139448,-53578,- -
10,Operating Expenses,1839438,5672030,9196276,27069229,26957193,32629159,67105649,99087750,124706930000
11,COGS and Expenses,1839438,5487891,9196276,27069229,26957193,32629159,67105649,99087750,- -
12,Interest Income ,- -,2233338,914952,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),327192,2233338,914952,132424,1340199,1127305,1239537,2565838,-5696062000
14,Depreciation and Amortization,- -,- -,3542,20484,42557,48935,37330,77718,1077015
15,EBITDA,-1839438,-2741882,-6914479,-27048745,-26914636,-32580224,-67068319,-99010032,-124705852985
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1839438,-5672030,-9196276,-27543508,-27164307,-32846577,-67245097,-99141328,-124706930
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-327192,-328532,-1363303,341855,-1779085,1881113,-1100089,-3759272,-130278285070
20,Income Before Tax,-2166630,-6000562,-10559579,-27201653,-28943392,-30965464,-68345186,-102900600,-130402992000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2166630,-6000562,-10559579,-27201653,-28943392,-30965464,-68345186,-102900600,-130402992000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.17,-0.47,-0.88,-1.42,-1.27,-1.15,-2.01,-2.77,-3.47
26,EPS Diluted,-0.17,-0.47,-0.88,-1.42,-1.27,-1.15,-2.01,-2.77,-3.47
27,Weighted Average Shares Outstanding,12717967,12717967,11945318,19150690,22764606,26883656,34020257,37206928,37618599
28,Weighted Average Shares Outstanding Diluted,12717967,12717967,11945318,19150690,22764606,26883656,34020257,37206928,37618599
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579428/000155837016007797/0001558370-16-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837017001426/0001558370-17-001426-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837018001639/0001558370-18-001639-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837019002068/0001558370-19-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837020002573/0001558370-20-002573-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000156459021009924/0001564590-21-009924-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000095017022002568/0000950170-22-002568-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2087843,2617815,48036260,36618497,34021123,13968742,219966167,183876453,86472854
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2087843,2617815,48036260,36618497,34021123,13968742,219966167,183876453,86472854
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9532,125945,996618,1380560,1278418,1246360,413095,148373,45286
37,Total Current Assets,2097375,2743760,49032878,37999057,35299541,15215102,220379262,184024826,86518140
38,PP&E,- -,- -,16653,100730,68071,51832,30623,1792122,660162
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,42620,26625,112821,187952,112345,139875,317375,606756
45,Total Non-Current Assets,- -,42620,43278,213551,256023,164177,170498,2109497,1266918
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2097375,2786380,49076156,38212608,35555564,15379279,220549760,186134323,87785058
48,Accounts Payable,159323,758159,1892363,4081173,3435456,3687245,10943325,13504022,13149329
49,Short-Term Debt,3825693,41469,- -,269162,3269346,3291394,2602292,1220587,1241350
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,140170,172988,739532,2820377,5470534,3843299,10949128,8713249,8674505
53,Total Current Liabilities,4125186,972616,2631895,7170712,12175336,10821938,24494745,23437858,23065184
54,Long-Term Debt,- -,4441415,- -,9470445,6663005,3619420,17332626,48321848,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,574924,- -,- -,- -,- -,- -,581708,49089522
58,Total Non-Current Liabilities,- -,5016339,- -,9470445,6663005,3619420,17332626,48903556,49089522
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1802295,- -
61,Total Liabilities,4125186,5988955,2631895,16641157,18838341,14441358,41827371,72341414,72154706
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,769,1111,1915,1916,2549,3009,3693,3737,3782
64,Retained Earnings,-2228657,-8229219,-18788798,-47641451,-76584843,-107550307,-175895493,-278796093,-409199085
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,200077,5025533,65231144,69210986,93299517,108485219,354614189,392585265,424825655
67,Total Stockholders Equity,-2027811,-3202575,46444261,21571451,16717223,937921,178722389,113792909,15630352
68,Total Liabilities And Stockholders Equity,2097375,2786380,49076156,38212608,35555564,15379279,220549760,186134323,87785058
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2097375,2786380,49076156,38212608,35555564,15379279,220549760,186134323,87785058
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579428/000155837016007797/0001558370-16-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837017001426/0001558370-17-001426-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837018001639/0001558370-18-001639-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837019002068/0001558370-19-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837020002573/0001558370-20-002573-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000156459021009924/0001564590-21-009924-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000095017022002568/0000950170-22-002568-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-2166630,-6000562,-10559579,-27201653,-28943392,-30965464,-68345186,-102900600,-130402992000
74,Depreciation and Amortization,- -,- -,3542,20484,42557,48935,37330,77718,1077015
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,55281,376806,803279,2031418,2072210,1754974,6115160,14756206,20801380
77,Change in Working Capital,153092,3798955,44629839,-15572638,-7704140,-18731041,191491353,-35297549,-97134012
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,158139,598836,1134204,2188810,-645717,251789,7256080,2560697,-354693
81,Other Working Capital,-2027811,1771144,46400983,30828345,23124205,4393164,195884517,160586968,63452956
82,Other Non-Cash Items,327192,-2771593,-42316072,19441085,8061113,17838895,-175673716,44907656,130370021853
83,Cash Provided by Operating Activities,-1631065,-4596394,-7438991,-21281304,-26471652,-30053701,-46375059,-78456569,-108225764
84,CAPEX,- -,- -,-20195,-104561,-9898,-32696,-16121,-45891,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-307549
89,Cash Used for Investing Activites,- -,- -,-20195,-104561,-9898,-32696,-16121,-45891,-307549
90,Debt Repayment,- -,-21000,-41469,- -,-277778,-3333333,-7238889,-21660000,-309340
91,Common Stock Issued,- -,- -,45549121,- -,23677341,12881321,238233817,14125506,7212367
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3717282,5147366,7369979,9968102,484613,486028,21393677,49947240,4226687
95,Cash Used/Provided by Financing Activities,3717282,5126366,52877631,9968102,23884176,10034016,252388605,42412746,11129714
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2086217,529972,45418445,-11417763,-2597374,-20052381,205997425,-36089714,-97403599
98,Cash at the End of Period,2087843,2617815,48036260,36618497,34021123,13968742,219966167,183876453,86472854
99,Cash at the Beginning of Period,1626,2087843,2617815,48036260,36618497,34021123,13968742,219966167,183876453
100,Free Cash Flow,-1631065,-4596394,-7459186,-21385865,-26481550,-30086397,-46391180,-78502460,-108225764
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1579428/000155837016007797/0001558370-16-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837017001426/0001558370-17-001426-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837018001639/0001558370-18-001639-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837019002068/0001558370-19-002068-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000155837020002573/0001558370-20-002573-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000156459021009924/0001564590-21-009924-index.htm,https://www.sec.gov/Archives/edgar/data/1579428/000095017022002568/0000950170-22-002568-index.htm
102,false,,,,,,,,,
