,https://roic.ai/company/UFPI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,644200000,866000000,739300000,867700000,1066300000,1238900000,1435100000,1389443000,1530353000,1639899000,1898830000,2453281000,2691522000,2664572000,2513178000,2232394000,1673000000,1890851000,1822336000,2054933000,2470448000,2660329000,2887071000,3240493000,3941182000,4489180000,4416009000,5153998000,8636134000
2,COGS,565200000,770900000,657900000,771700000,960800000,1074600000,1234400000,1180968000,1318874000,1409489000,1640844000,2157028000,2332266000,2282890000,2204149000,1978193000,1430249000,1660896000,1622609000,1829824000,2189896000,2334987000,2487167000,2765903000,3398356000,3896286000,3730491000,4353702000,7229167000
3,Gross Profit,79000000,95100000,81400000,96000000,105500000,164300000,200700000,208475000,211479000,230410000,257986000,296253000,359256000,381682000,309029000,254201000,242751000,229955000,199727000,225109000,280552000,325342000,399904000,474590000,542826000,592894000,685518000,800296000,1406967000
4,Gross Profit Ratio,0.1226,0.1098,0.1101,0.1106,0.0989,0.1326,0.1399,0.1500,0.1382,0.1405,0.1359,0.1208,0.1335,0.1432,0.1230,0.1139,0.1451,0.1216,0.1096,0.1095,0.1136,0.1223,0.1385,0.1465,0.1377,0.1321,0.1552,0.1553,0.1629
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54100000,66800000,47500000,55200000,63500000,97100000,119700000,124391000,145722000,158299000,177970000,201335000,235651000,258591000,255537000,228557000,200026000,197617000,181363000,184919000,204390000,229775000,264265000,310152000,362220000,392235000,439047000,444596000,682253000
9,Other Expenses,4700000,5700000,7600000,8300000,10000000,15000000,18200000,21462000,- -,- -,- -,-1391000,- -,- -,- -,7239000,-92000,- -,- -,2328000,1526000,1600000,- -,- -,- -,- -,- -,- -,-12840000
10,Operating Expenses,58800000,72500000,55100000,63500000,73500000,112100000,137900000,145853000,145722000,158299000,177970000,199944000,235651000,258591000,255537000,235796000,199934000,197617000,181363000,187247000,205916000,231375000,264265000,310152000,362220000,392235000,439047000,444596000,669413000
11,COGS and Expenses,624000000,843400000,713000000,835200000,1034300000,1186700000,1372300000,1326821000,1464596000,1567788000,1818814000,2356972000,2567917000,2541481000,2459686000,2213989000,1630183000,1858513000,1803972000,2017071000,2395812000,2566362000,2751432000,3076055000,3760576000,4288521000,4169538000,4798298000,7898580000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,829000,391000,301000,566000,510000,640000,2235000,294000,541000,731000,1371000,1945000,2392000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12088000,4611000,3549000,3732000,4053000,4851000,4267000,5133000,4575000,6218000,8893000,8700000,9311000,11218000
14,Depreciation and Amortization,4700000,5700000,7600000,8300000,10000000,15000000,18200000,21462000,24476000,24639000,27547000,30836000,34796000,39522000,47581000,47367000,41225000,37348000,35987000,33379000,33564000,36323000,41241000,43618000,53396000,61342000,66819000,72680000,98132000
15,EBITDA,22100000,23900000,31300000,38100000,36000000,58000000,69600000,71118000,77230000,84259000,91991000,110901000,143219000,148407000,84022000,65484000,83960000,65508000,47142000,76420000,105951000,132290000,172839000,204546000,231093000,264274000,313439000,415870000,818962000
16,EBITDA ratio,0.0343,0.0276,0.0423,0.0439,0.0338,0.0468,0.0485,0.0512,0.0505,0.0514,0.0484,0.0452,0.0532,0.0557,0.0334,0.0293,0.0502,0.0346,0.0259,0.0372,0.0429,0.0497,0.0599,0.0631,0.0586,0.0589,0.0710,0.0807,0.0948
17,Operating Income,20200000,22600000,26300000,32500000,32000000,52200000,62800000,62622000,65757000,72111000,80016000,96309000,123605000,123091000,53492000,18405000,42817000,30289000,12011000,44528000,74268000,97367000,135467000,164438000,181469000,207263000,244906000,345826000,737554000
18,Operating Income ratio,0.0314,0.0261,0.0356,0.0375,0.0300,0.0421,0.0438,0.0451,0.0430,0.0440,0.0421,0.0393,0.0459,0.0462,0.0213,0.0082,0.0256,0.0160,0.0066,0.0217,0.0301,0.0366,0.0469,0.0507,0.0460,0.0462,0.0555,0.0671,0.0854
19,Total Other Income Expenses (Gains),-3200000,-4400000,-2600000,-2700000,-6000000,-9200000,-11400000,-12966000,-13003000,-12491000,-15572000,-16244000,-12833000,-10956000,-14883000,-11259000,-4220000,-3248000,-3166000,-3464000,-4010000,-1654000,-4465000,-3767000,-5462000,-9410000,-4232000,-4843000,-11218000
20,Income Before Tax,17000000,18200000,23700000,29800000,26000000,43000000,51400000,49656000,52754000,59620000,64444000,80065000,110772000,112135000,38609000,7146000,38597000,27041000,8845000,41064000,70258000,95713000,131002000,160671000,176007000,197853000,240674000,340983000,726336000
21,Income Before Tax Ratio,0.0264,0.0210,0.0321,0.0343,0.0244,0.0347,0.0358,0.0357,0.0345,0.0364,0.0339,0.0326,0.0412,0.0421,0.0154,0.0032,0.0231,0.0143,0.0049,0.0200,0.0284,0.0360,0.0454,0.0496,0.0447,0.0441,0.0545,0.0662,0.0841
22,Income Tax expense (Gain),7000000,7500000,9600000,12000000,9000000,16600000,20000000,19218000,19612000,22983000,24325000,31462000,41050000,38760000,15396000,1686000,13852000,7200000,2874000,15054000,24454000,34149000,45870000,55174000,51967000,45441000,58270000,87101000,173972000
23,Net Income,10400000,10700000,14100000,17800000,17000000,26400000,31400000,30438000,33142000,36637000,40119000,48603000,67373000,70125000,21045000,4343000,24272000,17411000,4549000,23934000,43082000,57551000,80595000,101179000,119512000,148598000,179650000,246778000,535640000
24,Net Income ratio,0.0161,0.0124,0.0191,0.0205,0.0159,0.0213,0.0219,0.0219,0.0217,0.0223,0.0211,0.0198,0.0250,0.0263,0.0084,0.0019,0.0145,0.0092,0.0025,0.0116,0.0174,0.0216,0.0279,0.0312,0.0303,0.0331,0.0407,0.0479,0.0620
25,EPS,0.23,0.21,0.27,0.33,0.32,0.44,0.51,0.51,0.56,0.68,0.75,0.90,1.22,1.24,0.37,0.08,0.42,0.30,0.08,0.40,0.72,0.96,1.33,1.66,1.95,2.41,2.91,4.00,8.68
26,EPS Diluted,0.23,0.21,0.27,0.33,0.31,0.43,0.49,0.50,0.54,0.66,0.73,0.86,1.18,1.21,0.36,0.08,0.42,0.30,0.08,0.40,0.72,0.95,1.33,1.65,1.94,2.40,2.91,4.00,8.68
