,https://roic.ai/company/IRMD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,7685061,11340097,15653057,31593720,32496548,23081592,30438983,38517141,31717372,41814581
2,COGS,2125921,2853385,3404400,5840407,6154836,5569896,7211633,8816161,8142962,9764656
3,Gross Profit,5559140,8486712,12248657,25753313,26341712,17511696,23227350,29700980,23574410,32049925
4,Gross Profit Ratio,0.7234,0.7484,0.7825,0.8151,0.8106,0.7587,0.7631,0.7711,0.7433,0.7665
5,Research and Development Exp.,654070,1009872,1068674,1764306,1347507,1722564,1517112,1432719,1902530,1905043
6,General and Administrative Exp.,1550034,2392305,4816973,7769881,8795703,9001164,8710882,10451266,12269079,9771462
7,Selling and Marketing Exp.,1930395,2297309,3297120,4705977,5278448,5502959,6995586,9169590,10158892,10555738
8,"Selling, General and Administrative Exp.",3480429,4689614,8114093,12475858,14074151,14504123,15706468,19620856,22427971,20327200
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4134499,5699486,9182767,14240164,15421658,16226687,17223580,21053575,24330501,22232243
11,COGS and Expenses,6260420,8552871,12587167,20080571,21576494,21796583,24435213,29869736,32473463,31996899
12,Interest Income ,- -,- -,- -,148907,126419,122575,238106,388801,132185,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,106281,139040,149056,223942,248299,1308738,1105003,1242325,1338824,1406823
15,EBITDA,1538346,2922808,3166397,11858476,11201033,2705124,7302310,10285642,721946,11243110
16,EBITDA ratio,0.2002,0.2577,0.2023,0.3753,0.3447,0.1172,0.2399,0.2670,0.0228,0.2689
17,Operating Income,1424641,2787226,3065890,11513149,10920054,1285009,6003770,8647405,-756091,9817682
18,Operating Income ratio,0.1854,0.2458,0.1959,0.3644,0.3360,0.0557,0.1972,0.2245,-0.0238,0.2348
19,Total Other Income Expenses (Gains),7424,-3458,-48549,121385,32680,111377,193537,395912,139213,18605
20,Income Before Tax,1432065,2783768,3017341,11634534,10952734,1396386,6197307,9043317,-616878,9836287
21,Income Before Tax Ratio,0.1863,0.2455,0.1928,0.3683,0.3370,0.0605,0.2036,0.2348,-0.0194,0.2352
22,Income Tax expense (Gain),465980,846878,966975,4104614,3738189,896622,-106143,-587642,-1985879,510816
23,Net Income,966085,1936890,2050366,7529920,7214545,499764,6303450,9630959,1369001,9325471
24,Net Income ratio,0.1257,0.1708,0.1310,0.2383,0.2220,0.0217,0.2071,0.2500,0.0432,0.2230
25,EPS,0.09,0.19,0.23,0.68,0.67,0.05,0.59,0.85,0.11,0.76
26,EPS Diluted,0.09,0.19,0.20,0.60,0.60,0.04,0.52,0.78,0.11,0.74
27,Weighted Average Shares Outstanding,10416000,10416000,8743461,11003272,10818427,10638858,10758752,11282214,12123556,12346173
28,Weighted Average Shares Outstanding Diluted,10416000,10416000,10219143,12556887,11989681,11720316,12110117,12276444,12440086,12590853
