,https://roic.ai/company/CCTC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,380000,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,230000,- -,- -,- -,- -,- -,- -,- -,1674820,2197440,307150,120180,1089340
6,General and Administrative Exp.,39080000,98380000,21500000,14650000,3160000,7470000,6350000,3678350,4729690,9005520,2025410,2778410,1941800,1517507
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",39080000,98380000,21500000,14650000,3160000,7470000,6350000,3678350,4729690,9005520,2025410,2778410,1941800,1517507
9,Other Expenses,40000,- -,- -,110000,- -,-150000,-1166,-4,4,3,-5,2,-2,- -
10,Operating Expenses,39120000,98610000,21500000,14760000,3160000,7320000,6348834,3678346,4729694,10680343,4222845,3085562,2061978,2606847
11,COGS and Expenses,39120000,98610000,21500000,14760000,3160000,7320000,6360000,3951610,17209370,10699710,3721140,2745130,2061980,2606847
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-10000,-80000,7500000,-210000,-130000,-2370000,30000,-3623430,2038581,2640605,2487226,2814571,2669079,3152623
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,128,- -,- -,- -,- -,8000,12000,12000
15,EBITDA,-39140000,-98770000,-6510000,-15180000,-3420000,-11690000,-6359872,-11198460,-78293399,39196635,673476,-2737130,-2049980,-675612
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.7632,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-39120000,-98610000,-21500000,-14760000,-3160000,-6950000,-6348834,-3678346,-10700013,-10680343,-3693713,-2745129,-2061978,-2497967
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-18.2895,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-10000,-80000,7490000,-210000,-130000,-2370000,18834,-3896684,-69631967,47236373,1879963,-2814571,-2968472,-3826304
20,Income Before Tax,-39130000,-98690000,-14010000,-14970000,-3290000,-9320000,-6330000,-7575030,-80331980,36556030,-1813750,-5559700,-5030450,-6324271
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.5263,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-39130000,-98690000,-14010000,-14970000,-3290000,-9320000,-6330000,-7575030,-80331980,36556030,-1813750,-5559700,-5030450,-6324271
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.5263,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-5.88,-8.31,-1.12,-1.11,-0.20,-0.48,-0.25,-0.22,-1.69,0.47,-0.01,-0.04,-0.03,-0.03
26,EPS Diluted,-5.88,-8.31,-1.12,-1.11,-0.20,-0.48,-0.25,-0.22,-1.69,-0.09,-0.02,-0.04,-0.03,-0.03
27,Weighted Average Shares Outstanding,6650000,11870000,12500000,13500000,16150000,19430000,25177899,33797751,47550817,78163516,130511894,156878353,176957325,238576740
28,Weighted Average Shares Outstanding Diluted,6650000,11870000,12500000,13500000,16150000,19430000,25177899,33797751,47550817,185473774,235437542,156878353,176957325,238576740
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1445109/000117935010000025/0001179350-10-000025-index.html,- -,https://www.sec.gov/Archives/edgar/data/1445109/000118518512000568/0001185185-12-000568-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518513000603/0001185185-13-000603-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518514000742/0001185185-14-000742-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518515002637/0001185185-15-002637-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518516004795/0001185185-16-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518517000939/0001185185-17-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518518000443/0001185185-18-000443-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518519000326/0001185185-19-000326-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518520000264/0001185185-20-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518521000419/0001185185-21-000419-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,10000,10000,10000,2580000,35642,1130,123066,100444,11773,25745,92282,4
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,10000,10000,10000,2580000,35642,1130,123066,100444,11773,25745,92282,4
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10000,- -,- -,- -,10000,60000,- -,- -,- -,- -,- -,- -,39219,- -
37,Total Current Assets,10000,- -,10000,10000,20000,2640000,35642,1130,123066,100444,11773,25745,131501,4
38,PP&E,- -,- -,- -,- -,- -,- -,3200473,3212944,- -,- -,- -,28000,16000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,10000,- -,- -,10000,- -,3200473,3212944,- -,- -,- -,28000,16000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4
47,Total Assets,10000,10000,10000,10000,30000,2640000,3236115,3214074,123066,100444,11773,53745,147501,8
48,Accounts Payable,620000,1350000,1710000,600000,1040000,760000,791939,1020470,1285724,1956743,2268507,1149467,1022110,1901
49,Short-Term Debt,- -,- -,40000,70000,420000,90000,1509470,1913950,1545058,1878457,5014412,5510029,9157926,11752346
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,- -
52,Other Current Liabilities,420000,140000,1860000,630000,1610000,730000,2893651,4165840,73712335,21907071,4224073,6071160,7671748,-11731055
53,Total Current Liabilities,1040000,1490000,3610000,1300000,3070000,1580000,5195060,7100260,76543117,25742271,11606992,12830656,17951784,23191
54,Long-Term Debt,- -,1040000,- -,1200000,- -,- -,- -,- -,4473414,5253262,1493558,1872788,1068464,10096
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,1050000,- -,1200000,- -,- -,- -,- -,4473414,5253262,1493558,1872788,1068464,10096
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1040000,2540000,3610000,2500000,3070000,1580000,5195060,7100260,81016531,30995533,13100550,14703444,19020248,23524
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
