,https://roic.ai/company/DUUO,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,1394172,1116324,791876,637730,771905,346478
2,COGS,322199,344927,311292,242025,255387,285805
3,Gross Profit,1071973,771397,480584,395705,516518,60673
4,Gross Profit Ratio,0.7689,0.6910,0.6069,0.6205,0.6691,0.1751
5,Research and Development Exp.,142782,40201,- -,- -,- -,- -
6,General and Administrative Exp.,1309074,1268093,5402322,1032558,443953,331781
7,Selling and Marketing Exp.,36641,9336,13268,29643,7673,4884
8,"Selling, General and Administrative Exp.",1345715,1277429,5415590,1062201,451626,336665
9,Other Expenses,95107,128965,545017,372601,54287,7979
10,Operating Expenses,1583604,1446595,5960607,1434802,505913,344644
11,COGS and Expenses,1905803,1791522,6271899,1676827,761300,630449
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),35323,29133,89044,224810,189026,162903
14,Depreciation and Amortization,37359,62517,31320,23360,17930,6450
15,EBITDA,-497848,-709610,-5453455,-1026523,-112106,-329052
16,EBITDA ratio,-0.3571,-0.6357,-6.8868,-1.6097,-0.1452,-0.9497
17,Operating Income,-574497,-808723,- -,- -,-42664,-330723
18,Operating Income ratio,-0.4121,-0.7245,- -,- -,-0.0553,-0.9545
19,Total Other Income Expenses (Gains),3967,7463,-93796,-235596,-276398,-167682
20,Income Before Tax,-570530,-801260,-5573819,-1274693,-319062,-498405
21,Income Before Tax Ratio,-0.4092,-0.7178,-7.0388,-1.9988,-0.4133,-1.4385
22,Income Tax expense (Gain),-10575,-11934,- -,44254,54268,34451
23,Net Income,-559955,-789326,-5573819,-1318947,-373330,-532856
24,Net Income ratio,-0.4016,-0.7071,-7.0388,-2.0682,-0.4836,-1.5379
25,EPS,-0.01,-0.02,-0.08,-0.01,-0.00,-0.00
26,EPS Diluted,-0.01,-0.02,-0.08,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,47243218,48160448,67168726,113506375,116737903,117754296
28,Weighted Average Shares Outstanding Diluted,47243218,48160448,67168726,113506375,116737903,117754296
