,https://roic.ai/company/TNET,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,840390000,1019061000,1644275000,2193531000,2659288000,3060313000,3275000000,3503000000,3856000000,4034000000,4540000000
2,COGS,710482000,813588000,1333246000,1820571000,2263070000,2604196000,2679000000,2839000000,3172000000,262000000,3603000000
3,Gross Profit,129908000,205473000,311029000,372960000,396218000,456117000,596000000,664000000,684000000,3772000000,937000000
4,Gross Profit Ratio,0.1546,0.2016,0.1892,0.1700,0.1490,0.1490,0.1820,0.1896,0.1774,0.9351,0.2064
5,Research and Development Exp.,15646000,16718000,19948000,26101000,27558000,31438000,45000000,49000000,43000000,- -,50000000
6,General and Administrative Exp.,31421000,37879000,52455000,53926000,69626000,91659000,114000000,142000000,137000000,152000000,176000000
7,Selling and Marketing Exp.,38087000,59931000,109183000,139997000,166759000,173714000,187000000,182000000,190000000,186000000,202000000
8,"Selling, General and Administrative Exp.",69508000,97810000,161638000,193923000,236385000,265373000,301000000,324000000,327000000,338000000,378000000
9,Other Expenses,21589000,29117000,63106000,66145000,53958000,35348000,33000000,40000000,46000000,3328000000,54000000
10,Operating Expenses,106743000,143645000,244692000,286169000,317901000,332159000,379000000,413000000,416000000,3666000000,482000000
11,COGS and Expenses,817225000,957233000,1577938000,2106740000,2580971000,2936355000,3058000000,3252000000,3588000000,3666000000,4085000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,12000000,23000000,10000000,6000000
13,Interest Expense (Gain),751000,9709000,45724000,54193000,19449000,20257000,20000000,22000000,21000000,21000000,20000000
14,Depreciation and Amortization,20303000,31196000,73838000,84403000,52817000,39175000,35000000,46000000,57000000,81000000,94000000
15,EBITDA,41237000,93081000,140646000,171672000,132276000,163884000,255000000,309000000,348000000,374000000,555000000
16,EBITDA ratio,0.0491,0.0913,0.0855,0.0783,0.0497,0.0536,0.0779,0.0882,0.0902,0.0927,0.1222
17,Operating Income,20807000,61828000,66337000,86791000,78317000,123958000,217000000,251000000,268000000,368000000,455000000
18,Operating Income ratio,0.0248,0.0607,0.0403,0.0396,0.0295,0.0405,0.0663,0.0717,0.0695,0.0912,0.1002
19,Total Other Income Expenses (Gains),-624000,-9652000,-45253000,-53715000,-18307000,-19506000,-17000000,-10000000,2000000,-11000000,-14000000
20,Income Before Tax,20183000,52176000,21084000,33076000,60010000,104452000,200000000,241000000,270000000,357000000,441000000
21,Income Before Tax Ratio,0.0240,0.0512,0.0128,0.0151,0.0226,0.0341,0.0611,0.0688,0.0700,0.0885,0.0971
22,Income Tax expense (Gain),5421000,20344000,7937000,17579000,28315000,43046000,22000000,49000000,58000000,- -,103000000
23,Net Income,14762000,31832000,13147000,15497000,31695000,61406000,178000000,192000000,212000000,272000000,338000000
24,Net Income ratio,0.0176,0.0312,0.0080,0.0071,0.0119,0.0201,0.0544,0.0548,0.0550,0.0674,0.0744
25,EPS,0.23,0.49,0.20,0.24,0.45,0.88,2.57,2.72,3.04,4.03,5.04
26,EPS Diluted,0.21,0.46,0.19,0.22,0.44,0.85,2.49,2.65,2.99,3.99,4.97
27,Weighted Average Shares Outstanding,65418755,65418755,65418755,56160539,70228159,70159696,69175377,70385639,70000000,67000000,67000000
28,Weighted Average Shares Outstanding Diluted,68797515,68797515,68797515,59566773,72618069,71972486,71385280,72300663,71000000,68000000,68000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937098/000156459015002136/0001564590-15-002136-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709816000114/0000937098-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709817000062/0000937098-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709818000055/0000937098-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709819000030/0000937098-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709820000067/0000937098-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709821000027/0000937098-21-000027-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,63749000,94356000,134341000,166178000,184004000,336000000,228000000,213000000,301000000,612000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,54000000,68000000,57000000,135000000
33,Cash and Short-Term Investments,- -,63749000,94356000,134341000,166178000,184004000,336000000,282000000,281000000,358000000,747000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,315000000,294000000,264000000,339000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,438273000,804190000,1689997000,1404342000,1351350000,1655000000,1049000000,1296000000,1538000000,1353000000
37,Total Current Assets,- -,502022000,898546000,1824338000,1570520000,1535354000,1991000000,1646000000,1871000000,2160000000,2439000000
38,PP&E,- -,24360000,25690000,32298000,37844000,58622000,70000000,79000000,140000000,130000000,121000000
39,Goodwill,- -,195966000,288857000,288857000,289207000,289207000,289000000,289000000,289000000,294000000,294000000
40,Intangible Assets,- -,91009000,134020000,81718000,46772000,31074000,26000000,21000000,15000000,18000000,6000000
41,Intangible Assets,- -,286975000,422877000,370575000,335979000,320281000,315000000,310000000,304000000,312000000,300000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,135000000,125000000,138000000,168000000
43,Tax Assets,- -,- -,1000000,7184000,- -,- -,2000000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,74370000,86625000,113369000,153887000,180886000,215000000,265000000,308000000,303000000,281000000
45,Total Non-Current Assets,- -,385705000,536192000,523426000,527710000,559789000,602000000,789000000,877000000,883000000,870000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,887727000,1434738000,2347764000,2098230000,2095143000,2593000000,2435000000,2748000000,3043000000,3309000000
48,Accounts Payable,- -,5250000,7315000,12273000,12904000,22541000,45000000,45000000,31000000,50000000,86000000
49,Short-Term Debt,- -,9803000,6669000,20738000,35326000,36559000,40000000,22000000,39000000,33000000,11000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,729000000,901000000,1095000000,929000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,56000000,44000000,134000000,97000000
52,Other Current Liabilities,- -,459589000,819501000,1735750000,1409862000,1319483000,1672000000,1302000000,1529000000,1653000000,1545000000
53,Total Current Liabilities,- -,474642000,833485000,1768761000,1458092000,1378583000,1757000000,1425000000,1643000000,1870000000,1739000000
54,Long-Term Debt,- -,291531000,812208000,524412000,464390000,422495000,383000000,391000000,369000000,397000000,536000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,18026000,8888000,- -,54641000,92373000,68000000,68000000,61000000,22000000,11000000
57,Other Non-Current Liabilities,- -,169086000,50519000,80350000,113026000,167102000,179000000,176000000,200000000,147000000,142000000
58,Total Non-Current Liabilities,- -,478643000,871615000,604762000,632057000,681970000,630000000,635000000,630000000,566000000,689000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,65000000,60000000,52000000
61,Total Liabilities,- -,953285000,1705100000,2373523000,2090149000,2060553000,2387000000,2060000000,2273000000,2436000000,2428000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,45488000,197038000,442682000,494397000,535132000,583000000,641000000,694000000,747000000,808000000
