,https://roic.ai/company/ROCC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,64500000,49400000,49100000,61300000,53600000,50200000,49100000,20300000,33300000,30800000,23800000,34100000,41400000,34000000,47100000,81203000,96571000,110957000,181284000,228425000,673864000,753929000,852950000,1220851000,815137000,254438000,306005000,312867000,431468000,516004000,305298000,- -,160054000,440832000,471216000,273268000,576824000
2,COGS,40800000,22400000,21800000,23800000,25400000,23200000,24700000,3500000,2600000,7000000,14500000,6500000,5500000,5200000,6400000,13289000,21116000,20487000,32453000,47831000,377514000,416330000,439511000,574512000,420620000,63854000,65835000,262432000,316298000,394881000,417004000,- -,89981000,206013000,268911000,216805000,231747000
3,Gross Profit,23700000,27000000,27300000,37500000,28200000,27000000,24400000,16800000,30700000,23800000,9300000,27600000,35900000,28800000,40700000,67914000,75455000,90470000,148831000,180594000,296350000,337599000,413439000,646339000,394517000,190584000,240170000,50435000,115170000,121123000,-111706000,- -,70073000,234819000,202305000,56463000,345077000
4,Gross Profit Ratio,0.3674,0.5466,0.5560,0.6117,0.5261,0.5378,0.4969,0.8276,0.9219,0.7727,0.3908,0.8094,0.8671,0.8471,0.8641,0.8363,0.7813,0.8154,0.8210,0.7906,0.4398,0.4478,0.4847,0.5294,0.4840,0.7490,0.7849,0.1612,0.2669,0.2347,-0.3659,- -,0.4378,0.5327,0.4293,0.2066,0.5982
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74494000,80000000,7811000,7430000,44608000,50962000,48406000,42371000,- -,18262000,21854000,24684000,27370000,42342000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19500000,11700000,11800000,14000000,14300000,10800000,12200000,9800000,17100000,8300000,7200000,7600000,8200000,8200000,8800000,11398000,15680000,21440000,24893000,26170000,36606000,49566000,66983000,74494000,80000000,58383000,48328000,44608000,50962000,48406000,42371000,- -,18262000,21854000,24684000,27370000,42342000
9,Other Expenses,7900000,5500000,6800000,6800000,7300000,8600000,10200000,5000000,6700000,7800000,9400000,6800000,8900000,10000000,11200000,15675000,79700000,37443000,61837000,66087000,97727000,108984000,151246000,263258000,303194000,185050000,242573000,51424000,20994000,17063000,12583000,- -,- -,- -,- -,- -,-2667000
10,Operating Expenses,27400000,17200000,18600000,20800000,21600000,19400000,22400000,14800000,23800000,16100000,16600000,14400000,17100000,18200000,20000000,27073000,95380000,58883000,86730000,92257000,134333000,158550000,218229000,337752000,383194000,243433000,290901000,96032000,71956000,65469000,54954000,- -,18262000,21854000,24684000,27370000,39675000
11,COGS and Expenses,68200000,39600000,40400000,44600000,47000000,42600000,47100000,18300000,26400000,23100000,31100000,20900000,22600000,23400000,26400000,40362000,116496000,79370000,119183000,140088000,511847000,574880000,657740000,912264000,803814000,307287000,356736000,358464000,388254000,460350000,471958000,- -,108243000,227867000,293595000,244175000,271422000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1458000,1602000,2039000,1237000,1101000,1332000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
