,https://roic.ai/company/TSHA,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,- -,- -,- -
2,COGS,- -,- -,- -
3,Gross Profit,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -
5,Research and Development Exp.,- -,31893000,131943000
6,General and Administrative Exp.,- -,11109000,41324000
7,Selling and Marketing Exp.,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,11109000,41324000
9,Other Expenses,- -,- -,- -
10,Operating Expenses,- -,43002000,173267000
11,COGS and Expenses,- -,43002000,- -
12,Interest Income ,- -,49000,172000
13,Interest Expense (Gain),- -,28000,1428000
14,Depreciation and Amortization,- -,9000,492000
15,EBITDA,- -,-59974000,-172775000
16,EBITDA ratio,- -,-Infinity,-Infinity
17,Operating Income,- -,-43002000,-173267000
18,Operating Income ratio,- -,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-17009000,-1256000
20,Income Before Tax,- -,-60011000,-174523000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -
23,Net Income,- -,-60011000,-174523000
24,Net Income ratio,- -,-Infinity,-Infinity
25,EPS,- -,-3.40,-9.88
26,EPS Diluted,- -,-3.40,-9.88
27,Weighted Average Shares Outstanding,- -,17665683,17665683
28,Weighted Average Shares Outstanding Diluted,- -,17665683,17665683
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1806310/000156459021010433/0001564590-21-010433-index.htm,https://www.sec.gov/Archives/edgar/data/1806310/000156459022012782/0001564590-22-012782-index.htm
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,- -,251253000,149103000
32,Short-Term Investments,- -,- -,- -
33,Cash and Short-Term Investments,- -,251253000,149103000
34,Net Receivables,- -,- -,- -
35,Inventory,- -,- -,- -
36,Other Current Assets,15000,6626000,10499000
37,Total Current Assets,15000,257879000,159602000
38,PP&E,- -,287000,50610000
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,- -,715000,3744000
45,Total Non-Current Assets,- -,1002000,54354000
46,Other Assets,- -,- -,- -
47,Total Assets,15000,258881000,213956000
48,Accounts Payable,- -,1994000,21763000
49,Short-Term Debt,- -,- -,- -
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,- -,- -,- -
52,Other Current Liabilities,150000,5135000,29983000
53,Total Current Liabilities,150000,7129000,51746000
54,Long-Term Debt,- -,- -,- -
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,- -,450000,66827000
58,Total Non-Current Liabilities,- -,450000,66827000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,150000,7579000,118573000
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,- -,- -
64,Retained Earnings,-1115000,-61126000,-235649000
65,Other Comprehensive Income/Loss,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,331032000
67,Total Stockholders Equity,-135000,251302000,95383000
68,Total Liabilities And Stockholders Equity,15000,258881000,213956000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,15000,258881000,213956000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1806310/000156459021010433/0001564590-21-010433-index.htm,https://www.sec.gov/Archives/edgar/data/1806310/000156459022012782/0001564590-22-012782-index.htm
72,CASH FLOW STATEMENT, , , 
73,Net Income,- -,-60011000,-174523000
74,Depreciation and Amortization,- -,9000,492000
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,- -,3354000,18184000
77,Change in Working Capital,- -,-111000,-142894000
78,Accounts Receivable,- -,- -,- -
79,Inventory,- -,- -,- -
80,Accounts Payable,- -,1961000,14494000
81,Other Working Capital,- -,250750000,107856000
82,Other Non-Cash Items,- -,26030000,181699000
83,Cash Provided by Operating Activities,- -,-30729000,-117042000
84,CAPEX,- -,-9082000,-15304000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,- -,-9000000,-6250000
89,Cash Used for Investing Activites,- -,-9082000,-21554000
90,Debt Repayment,- -,-1673000,- -
91,Common Stock Issued,- -,165854000,- -
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,- -,126883000,39083000
95,Cash Used/Provided by Financing Activities,- -,291064000,39083000
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,- -,291064000,-99513000
98,Cash at the End of Period,- -,251253000,151740000
99,Cash at the Beginning of Period,- -,- -,251253000
100,Free Cash Flow,- -,-39811000,-132346000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1806310/000156459021010433/0001564590-21-010433-index.htm,https://www.sec.gov/Archives/edgar/data/1806310/000156459022012782/0001564590-22-012782-index.htm
102,false,,,
