,https://roic.ai/company/FANG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,12716011,27253174,48671712,74962000,208002000,495718000,446733000,527107000,1205111000,2176256000,3964000000,2813000000,6797000000
2,COGS,705159,2263996,4268573,46757000,100653000,258027000,333312000,294899000,537197000,1032553000,2276000000,2029000000,2566000000
3,Gross Profit,12010852,24989178,44403139,28205000,107349000,237691000,113421000,232208000,667914000,1143703000,1688000000,784000000,4231000000
4,Gross Profit Ratio,0.9445,0.9169,0.9123,0.3763,0.5161,0.4795,0.2539,0.4405,0.5542,0.5255,0.4258,0.2787,0.6225
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,10800000,11954000,24554000,38059000,54225000,61503000,90667000,192000000,228000000,146000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,10800000,11954000,24554000,38059000,54225000,61503000,90667000,192000000,228000000,146000000
9,Other Expenses,10673066,15823185,29414919,98000,201000,467000,833000,1064000,1391000,5417000,11000000,11000000,6000000
10,Operating Expenses,10673066,15823185,29414919,10898000,12155000,25021000,38892000,55289000,62894000,96084000,203000000,239000000,152000000
11,COGS and Expenses,11378225,18087181,33683492,57655000,112808000,283048000,372204000,350188000,600091000,1128637000,2479000000,2268000000,2718000000
12,Interest Income ,35075,34474,11197,3000,1000,1000,- -,-40684000,- -,- -,- -,4000000,1000000
13,Interest Expense (Gain),10938,836265,2528058,3610000,7041000,31394000,41510000,40684000,40554000,87276000,172000000,195000000,189000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304000000,1275000000
15,EBITDA,-2695144,9052484,1983007,21992000,93382000,334134000,-710428000,-124158000,503247000,1101310000,459000000,-4122000000,4277000000
16,EBITDA ratio,-0.2119,0.3322,0.0407,0.2934,0.4489,0.6740,-1.5903,-0.2355,0.4176,0.5061,0.1158,-1.4653,0.6292
17,Operating Income,1337786,9165993,14988220,17307000,95194000,212670000,-740269000,-68617000,605020000,1010788000,695000000,-5476000000,4001000000
18,Operating Income ratio,0.1052,0.3363,0.3079,0.2309,0.4577,0.4290,-1.6571,-0.1302,0.5020,0.4645,0.1753,-1.9467,0.5886
19,Total Other Income Expenses (Gains),-4068005,-147983,-13016410,1075000,-8853000,92286000,-8831000,-96099000,-107831000,102469000,-333000000,-300000000,-1094000000
20,Income Before Tax,- -,- -,- -,18382000,86341000,304956000,-749100000,-164716000,497189000,1113257000,362000000,-5776000000,2907000000
21,Income Before Tax Ratio,- -,- -,- -,0.2452,0.4151,0.6152,-1.6768,-0.3125,0.4126,0.5115,0.0913,-2.0533,0.4277
22,Income Tax expense (Gain),- -,- -,- -,6553000,31754000,108985000,-201310000,192000,-19568000,168362000,47000000,-1104000000,631000000
23,Net Income,-2706082,8216219,-545051,11829000,54587000,193755000,-550628000,-165034000,482261000,845672000,240000000,-4517000000,2182000000
