,https://roic.ai/company/BKH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,113900000,111900000,122400000,283900000,120000000,127500000,133400000,135300000,139400000,145500000,149900000,162600000,313700000,679200000,791900000,1623836000,1558558000,423919000,1250052000,1121701000,1391644000,656882000,695914000,1005790000,1269578000,1307251000,1272188000,1173884000,1275852000,1393570000,1304605000,1572974000,1680266000,1754268000,1734900000,1696941000,1949102000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,39300000,34200000,177100000,531500000,637300000,1371841000,1165144000,65432000,718450000,703261000,954968000,203473000,175919000,449742000,652750000,626528000,574989000,735263000,837828000,940877000,817996000,955531000,1017893000,1107316000,1066823000,987808000,1243624000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,103500000,110600000,128400000,136600000,147700000,154600000,251995000,393414000,358487000,531602000,418440000,436676000,453409000,519995000,556048000,616828000,680723000,697199000,438621000,438024000,452693000,486609000,617443000,662373000,646952000,668077000,709133000,705478000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7113,0.7378,0.7897,0.4354,0.2175,0.1952,0.1552,0.2524,0.8456,0.4253,0.3730,0.3138,0.6902,0.7472,0.5528,0.4859,0.5207,0.5480,0.3736,0.3433,0.3248,0.3730,0.3925,0.3942,0.3688,0.3851,0.4179,0.3620
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,9200000,8500000,11600000,15700000,18300000,44423000,80635000,67864000,73690000,68859000,95751000,91883000,115568000,138568000,154187000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,9200000,8500000,11600000,15700000,18300000,44423000,80635000,67864000,73690000,68859000,95751000,91883000,115568000,138568000,154187000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,56800000,59200000,65600000,66000000,82700000,74500000,92822000,142600000,162610000,326902000,215662000,254989000,208854000,224876000,361603000,292508000,486821000,510960000,197171000,182472000,192163000,207206000,287900000,245637000,249915000,262035000,280830000,296049000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,64700000,68400000,74100000,77600000,98400000,92800000,137245000,223235000,230474000,400592000,284521000,350740000,300737000,340444000,500171000,446695000,486821000,510960000,197171000,182472000,192163000,207206000,287900000,245637000,249915000,262035000,280830000,296049000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,106700000,107700000,108300000,254700000,629900000,730100000,1509086000,1388379000,295906000,1119042000,987782000,1305708000,504210000,516363000,949913000,1099445000,1113349000,1085949000,932434000,1020300000,1133040000,1025202000,1243431000,1263530000,1357231000,1328858000,1268638000,1539673000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612000,694000,2017000,1957000,1723000,1925000,1621000,1429000,1016000,1641000,1632000,1461000,1708000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84690000,92720000,105424000,113610000,111788000,70960000,83719000,135412000,138118000,141616000,139291000,144931000,154112000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224457000,235953000
15,EBITDA,18000000,15800000,20400000,21900000,21100000,22900000,22700000,23600000,22900000,34200000,36300000,43900000,46700000,37500000,52900000,83206000,138621000,91114000,91142000,84677000,51719000,114821000,144413000,75685000,199560000,186703000,173378000,243538000,288358000,265136000,29448000,218857000,388519000,376391000,368181000,629914000,633978000
16,EBITDA ratio,0.1580,0.1412,0.1667,0.0771,0.1758,0.1796,0.1702,0.1744,0.1643,0.2351,0.2422,0.2700,0.1489,0.0552,0.0668,0.0512,0.0889,0.2149,0.0729,0.0755,0.0372,0.1748,0.2075,0.0752,0.1572,0.1428,0.1363,0.2075,0.2260,0.1903,0.0226,0.1391,0.2312,0.2146,0.2122,0.3712,0.3253
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,38800000,42200000,54300000,59000000,49300000,61800000,114750000,170179000,128013000,131010000,133919000,85936000,152672000,179551000,55877000,126832000,193902000,186239000,243711000,255552000,260530000,29795000,222586000,416736000,397037000,406042000,428303000,409429000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2667,0.2815,0.3339,0.1881,0.0726,0.0780,0.0707,0.1092,0.3020,0.1048,0.1194,0.0618,0.2324,0.2580,0.0556,0.0999,0.1483,0.1464,0.2076,0.2003,0.1870,0.0228,0.1415,0.2480,0.2263,0.2340,0.2524,0.2101
