,https://roic.ai/company/AVTX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,1152987,27813137,18326801,6750351,6698615,5398000
2,COGS,- -,- -,- -,- -,635648,7478262,-566523,300199,1491000
3,Gross Profit,- -,- -,- -,- -,27177489,10848539,7316874,6398416,3907000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9771,0.5919,1.0839,0.9552,0.7238
5,Research and Development Exp.,8914084,12240535,6587183,10149879,4372578,5786635,11764133,32192335,59835000
6,General and Administrative Exp.,4020364,4875030,4422764,7083155,7941584,10676881,10123320,17417000,21832000
7,Selling and Marketing Exp.,- -,- -,- -,- -,973345,8522461,1484044,2341231,2826000
8,"Selling, General and Administrative Exp.",4020364,4875030,4422764,7083155,8914929,19199342,11607364,19758231,24658000
9,Other Expenses,- -,- -,- -,- -,- -,4532448,1338996,1741083,3039000
10,Operating Expenses,12934448,17115565,11009947,17233034,13287507,29518425,24710493,53691649,87532000
11,COGS and Expenses,12934448,17115565,11009947,17233034,13923155,36996687,24143970,53991848,89023000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,48873,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-2391000
14,Depreciation and Amortization,20032,28943,23508,26856,425476,4554963,3883567,1843178,1657000
15,EBITDA,-12793301,-19352783,-12299488,-16444747,14261818,-35531757,-11908664,-64449555,-85306000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-14.2627,0.5128,-1.9388,-1.7642,-9.6213,-15.8033
17,Operating Income,-12934448,-17115565,-11009947,-16080047,13889982,-39313766,-16137408,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-13.9464,0.4994,-2.1452,-2.3906,- -,- -
19,Total Other Income Expenses (Gains),-110560,1059974,519844,-391556,-53640,-772954,146971,-19882829,-2411000
20,Income Before Tax,-13045008,-16055591,-10490103,-16471603,13836342,-40086720,-15990437,-67176062,-84545000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-14.2860,0.4975,-2.1873,-2.3688,-10.0284,-15.6623
22,Income Tax expense (Gain),- -,- -,- -,- -,1966519,-33910,280316,-2792961,-196000
23,Net Income,-13045008,-16055591,-10490103,-16471603,11869823,-40052810,-16072547,-63499772,-84376000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-14.2860,0.4268,-2.1855,-2.3810,-9.4795,-15.6310
25,EPS,-2.84,-1.01,-4.71,-1.87,0.42,-1.20,-0.28,-0.86,-0.83
26,EPS Diluted,-2.84,-1.01,-4.71,-1.87,0.42,-1.20,-0.28,-0.86,-0.83
27,Weighted Average Shares Outstanding,4630143,3501768,2226023,8830396,18410005,34773613,57403571,73837209,101657831
28,Weighted Average Shares Outstanding Diluted,4630143,3501768,2226023,8830396,18754799,34773613,57403571,73837209,101657831
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534120/000162828021004162/0001628280-21-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1534120/000162828022004671/0001628280-22-004671-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,3421480,11742349,21161967,5127958,2472187,10646301,3609438,18919448,54585000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,7628947,- -,- -
33,Cash and Short-Term Investments,3421480,11742349,21161967,5127958,2472187,10646301,11238385,18919448,54585000
34,Net Receivables,- -,- -,- -,132472,3679453,8626566,5242217,4385318,4799000
35,Inventory,- -,- -,- -,- -,382153,1110780,21334,3136,38000
36,Other Current Assets,714280,418640,460382,402364,4457574,1548246,1222080,2697442,2423000
37,Total Current Assets,4135760,12160989,21622349,5662794,10991367,21931893,17724016,26005344,61845000
38,PP&E,65987,38740,35216,43243,44612,586512,1447663,1607070,2695000
39,Goodwill,- -,- -,- -,- -,14292282,16411123,14409088,14409088,14409000
40,Intangible Assets,- -,- -,- -,- -,17664480,31239468,2426258,1585175,38000
41,Intangible Assets,- -,- -,- -,- -,31956762,47650591,16835346,15994263,14447000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,873853,117165,- -,62828,131353,81725,101945,148642,1227000
45,Total Non-Current Assets,939840,155905,35216,106071,32132727,48318828,18384954,17749975,18369000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5075600,12316894,21657565,5768865,43124094,70250721,36108970,43755319,80214000
48,Accounts Payable,1639505,931139,678109,1010209,1298980,1446141,2077524,2573548,3369000
49,Short-Term Debt,- -,1905879,3208074,2353667,- -,1050000,- -,426346,32833000
50,Tax Payable,- -,- -,- -,- -,2259148,2032258,551671,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1426137,2156798,1963635,947987,10107457,23720438,10082935,12225042,-16314000
53,Total Current Liabilities,3065642,4993816,5849818,4311863,11406437,26216579,12160459,15224936,19888000
54,Long-Term Debt,- -,5308211,2353482,- -,- -,14327882,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,7144,69238,85981,90395,113000
57,Other Non-Current Liabilities,19856633,28345531,370538,1250000,3850905,8729274,2866965,3878395,37131000
58,Total Non-Current Liabilities,19856633,33653742,2724020,1250000,3858049,23126394,2952946,3968790,37244000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,426346,- -
61,Total Liabilities,22922275,38647558,8573838,5561863,15264486,49342973,15113405,19193726,57132000
62,Preferred Stock,- -,- -,- -,- -,- -,2857,2857,1257,- -
63,Common Stock,643,650,8650,9434,2686732,40804,44384,75003,113000
64,Retained Earnings,-27017786,-43073377,-53563480,-70035083,-58165260,-98218070,-114290617,-177790389,-262166000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,9170468,16742063,66638557,70232651,83338136,119082157,135238941,202275722,285135000
67,Total Stockholders Equity,-17846675,-26330664,13083727,207002,27859608,20907748,20995565,24561593,23082000
68,Total Liabilities And Stockholders Equity,5075600,12316894,21657565,5768865,43124094,70250721,36108970,43755319,80214000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5075600,12316894,21657565,5768865,43124094,70250721,36108970,43755319,80214000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534120/000162828021004162/0001628280-21-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1534120/000162828022004671/0001628280-22-004671-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-13045008,-16055591,-10490103,-16471603,11869823,-40052810,-16072547,-63499772,-84376000
74,Depreciation and Amortization,20032,28943,23508,26856,425476,4554963,3883567,1843178,1657000
75,Deferred Income Tax,- -,- -,- -,- -,-832629,-16745,16743,195585,22000
76,Stock Based Compensation,748648,1086581,394748,1694891,1157252,2431063,2532257,6785686,8172000
77,Change in Working Capital,644262,6097055,8605358,-14421600,-1766001,-3869616,9848243,5216851,31176592
78,Accounts Receivable,- -,- -,- -,- -,-247195,-222530,1658333,-678101,1117000
79,Inventory,- -,- -,- -,- -,-202622,-311199,532947,18198,-35000
80,Accounts Payable,818391,-708366,-268709,332100,96065,82451,1019358,98520,796000
