,https://roic.ai/company/BILL,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,64865000,108351000,157600000,238265000
2,COGS,19372000,29918000,39144000,61806000
3,Gross Profit,45493000,78433000,118456000,176459000
4,Gross Profit Ratio,0.7013,0.7239,0.7516,0.7406
5,Research and Development Exp.,17986000,28924000,53405000,90235000
6,General and Administrative Exp.,16034000,29198000,53893000,128817000
7,Selling and Marketing Exp.,19290000,30114000,45356000,71374000
8,"Selling, General and Administrative Exp.",35324000,59312000,99249000,200191000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,53310000,88236000,152654000,290426000
11,COGS and Expenses,72682000,118154000,191798000,352232000
12,Interest Income ,1058000,3207000,4092000,2992000
13,Interest Expense (Gain),427000,825000,229000,28158000
14,Depreciation and Amortization,2314000,3154000,4257000,11009000
15,EBITDA,-4444000,-3491000,-26552000,-100170000
16,EBITDA ratio,-0.0685,-0.0322,-0.1685,-0.4204
17,Operating Income,-7817000,-9803000,-34198000,-113967000
18,Operating Income ratio,-0.1205,-0.0905,-0.2170,-0.4783
19,Total Other Income Expenses (Gains),632000,2333000,3160000,-25370000
20,Income Before Tax,-7185000,-7470000,-31038000,-139337000
21,Income Before Tax Ratio,-0.1108,-0.0689,-0.1969,-0.5848
22,Income Tax expense (Gain),10000,-156000,53000,-40617000
23,Net Income,-7195000,-7314000,-31091000,-98720000
24,Net Income ratio,-0.1109,-0.0675,-0.1973,-0.4143
25,EPS,-0.12,-0.13,-0.70,-1.19
26,EPS Diluted,-0.12,-0.13,-0.70,-1.19
27,Weighted Average Shares Outstanding,60665000,57599000,44106000,82813000
28,Weighted Average Shares Outstanding Diluted,60665000,57599000,44106000,82813000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786352/000156459020041865/0001564590-20-041865-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/0001564590-21-046383-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,22401000,90306000,573643000,509615000
32,Short-Term Investments,69867000,71969000,123974000,655314000
33,Cash and Short-Term Investments,92268000,162275000,697617000,1164929000
34,Net Receivables,5347000,9193000,10801000,173433000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,921094000,1341632000,1671031000,2267675000
37,Total Current Assets,1018709000,1513100000,2379449000,3606037000
38,PP&E,5948000,6557000,13866000,120827000
39,Goodwill,- -,- -,- -,1772043000
40,Intangible Assets,- -,- -,- -,417341000
41,Intangible Assets,- -,- -,- -,2189384000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,4626000,6641000,10700000,52925000
45,Total Non-Current Assets,10574000,13198000,24566000,2363136000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1029283000,1526298000,2404015000,5969173000
48,Accounts Payable,2026000,5575000,4091000,11904000
49,Short-Term Debt,3667000,494000,2300000,- -
50,Tax Payable,935000,2881000,2976000,- -
51,Deferred Revenue,918290000,1332775000,1650141000,2221446000
52,Other Current Liabilities,6595000,10571000,20315000,92309000
53,Total Current Liabilities,930578000,1349415000,1676847000,2325659000
54,Long-Term Debt,5833000,- -,- -,1076020000
55,Deferred Revenue,1931000,1786000,2622000,2926000
56,Deferred Tax Liabilities,- -,- -,- -,9090000
57,Other Non-Current Liabilities,192845000,277754000,13827000,25888000
58,Total Non-Current Liabilities,200609000,279540000,16449000,1113924000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,193000,494000,1107000,86639000
61,Total Liabilities,1131187000,1628955000,1693296000,3439583000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,2000
64,Retained Earnings,-110342000,-117656000,-148747000,-247467000
65,Other Comprehensive Income/Loss,-177000,326000,2420000,-100000
66,Other Total Stockholders Equity,8614000,14672000,857044000,2777155000
67,Total Stockholders Equity,-101904000,-102657000,710719000,2529590000
68,Total Liabilities And Stockholders Equity,1029283000,1526298000,2404015000,5969173000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1029283000,1526298000,2404015000,5969173000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786352/000156459020041865/0001564590-20-041865-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/0001564590-21-046383-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-7195000,-7314000,-31091000,-98720000
74,Depreciation and Amortization,2314000,3154000,4257000,11009000
75,Deferred Income Tax,- -,-176000,- -,-40617000
76,Stock Based Compensation,1545000,4082000,18064000,68290000
77,Change in Working Capital,-5202000,75554000,538917000,577776000
78,Accounts Receivable,-279000,-2098000,-1054000,-6535000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-563000,3171000,-1596000,7417000
81,Other Working Capital,88131000,163685000,702602000,1280378000
82,Other Non-Cash Items,182000,-79249000,-534577000,-513115000
83,Cash Provided by Operating Activities,-8356000,-3949000,-4430000,4623000
84,CAPEX,-2046000,-4299000,-12076000,-21206000
85,Acquisitions Net,- -,- -,- -,-556090000
86,Purchases of Investments,-726788000,-830622000,-1088611000,-2070296000
87,Sales/Maturities of Investments,307326000,749018000,852159000,1247197000
88,Other Investing Activites,2953000,-335454000,-959000,-28799000
89,Cash Used for Investing Activites,-417822000,-419801000,-249487000,-1426890000
90,Debt Repayment,-3387000,-9500000,- -,-2300000
91,Common Stock Issued,- -,- -,533657000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,329669000,501155000,329469000,1641883000
95,Cash Used/Provided by Financing Activities,326282000,491655000,863126000,1639583000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-99896000,67905000,609209000,217316000
98,Cash at the End of Period,591568000,90306000,1592377000,1809693000
99,Cash at the Beginning of Period,691464000,22401000,983168000,1592377000
100,Free Cash Flow,-10402000,-8248000,-16506000,-16583000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1786352/000156459020041865/0001564590-20-041865-index.htm,https://www.sec.gov/Archives/edgar/data/1786352/000156459021046383/0001564590-21-046383-index.htm
102,false,,,,
