,https://roic.ai/company/TTOO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,19000,266000,119000,2813000,4080000,4666000,10500000,8335000,18130000,28058000
2,COGS,- -,- -,- -,1740000,6872000,12028000,15404000,16763000,21280000,20703000
3,Gross Profit,- -,266000,- -,1073000,-2792000,-7362000,-4904000,-8428000,-3150000,7355000
4,Gross Profit Ratio,- -,1.0000,- -,0.3814,-0.6843,-1.5778,-0.4670,-1.0112,-0.1737,0.2621
5,Research and Development Exp.,11727000,14936000,19782000,25362000,24009000,23733000,14489000,16326000,16919000,21801000
6,General and Administrative Exp.,- -,- -,11018000,19094000,24077000,22757000,25697000,27304000,21287000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,11018000,19094000,24077000,22757000,25697000,27304000,21287000,28527000
9,Other Expenses,- -,5022000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,19958000,30800000,44456000,48086000,46490000,40186000,43630000,38206000,50328000
11,COGS and Expenses,14672000,19958000,30800000,46196000,54958000,58518000,55590000,60393000,59486000,71031000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,14000,112000
13,Interest Expense (Gain),154000,403000,721000,1967000,4098000,8907000,6682000,7348000,5504000,6586000
14,Depreciation and Amortization,571000,584000,691000,1465000,2280000,2940000,2449000,3642000,1710000,2538000
15,EBITDA,-13730000,-19623000,-29978000,-41858000,-48426000,-50581000,-42022000,-48016000,-39584000,-40117000
16,EBITDA ratio,-722.6316,-73.7707,-251.9160,-14.8802,-11.8691,-10.8403,-4.0021,-5.7608,-2.1833,-1.4298
17,Operating Income,-14653000,-19692000,-30681000,-43383000,-50878000,-53852000,-45090000,-52058000,-41356000,-42973000
18,Operating Income ratio,-771.2105,-74.0301,-257.8235,-15.4223,-12.4701,-11.5414,-4.2943,-6.2457,-2.2811,-1.5316
19,Total Other Income Expenses (Gains),198000,-918000,-709000,-1907000,-3926000,-8576000,-6063000,-6948000,-5442000,-6268000
20,Income Before Tax,-14455000,-20610000,-31390000,-45290000,-54804000,-62428000,-51153000,-59006000,-46798000,-49241000
21,Income Before Tax Ratio,-760.7895,-77.4812,-263.7815,-16.1002,-13.4324,-13.3793,-4.8717,-7.0793,-2.5812,-1.7550
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-14455000,-20610000,-31390000,-45290000,-54804000,-62428000,-51153000,-59006000,-46798000,-49241000
24,Net Income ratio,-760.7895,-77.4812,-263.7815,-16.1002,-13.4324,-13.3793,-4.8717,-7.0793,-2.5812,-1.7550
