,https://roic.ai/company/NVT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1809300000,2116000000,2097900000,2213600000,2204000000,1998600000,2462000000
2,COGS,1139200000,1280200000,1256000000,1337500000,1338200000,1249200000,1520100000
3,Gross Profit,670100000,835800000,841900000,876100000,865800000,749400000,941900000
4,Gross Profit Ratio,0.3704,0.3950,0.4013,0.3958,0.3928,0.3750,0.3826
5,Research and Development Exp.,29300000,40600000,42500000,45600000,48200000,43500000,48600000
6,General and Administrative Exp.,- -,- -,485900000,519700000,484500000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,485900000,519700000,484500000,- -,537900000
9,Other Expenses,373800000,462400000,- -,- -,- -,447000000,- -
10,Operating Expenses,403100000,503000000,528400000,565300000,532700000,490500000,586500000
11,COGS and Expenses,1542300000,1783200000,1784400000,1902800000,1870900000,1739700000,2106600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1100000,1400000,200000,31200000,44700000,36400000,32300000
14,Depreciation and Amortization,62900000,95200000,97900000,97100000,96800000,102600000,108400000
15,EBITDA,329900000,411600000,411400000,397000000,398900000,129500000,461400000
16,EBITDA ratio,0.1823,0.1945,0.1961,0.1793,0.1810,0.0648,0.1874
17,Operating Income,267000000,332800000,313500000,310800000,333100000,38400000,355400000
18,Operating Income ratio,0.1476,0.1573,0.1494,0.1404,0.1511,0.0192,0.1444
19,Total Other Income Expenses (Gains),-1100000,-17800000,-200000,-42100000,-75700000,-47900000,-34700000
20,Income Before Tax,265900000,315000000,313300000,268700000,257400000,-9500000,320700000
21,Income Before Tax Ratio,0.1470,0.1489,0.1493,0.1214,0.1168,-0.0048,0.1303
22,Income Tax expense (Gain),55800000,55900000,-48400000,37900000,34700000,37700000,47800000
23,Net Income,210100000,259100000,361700000,230800000,222700000,-47200000,272900000
24,Net Income ratio,0.1161,0.1224,0.1724,0.1043,0.1010,-0.0236,0.1108
25,EPS,1.18,1.45,2.03,1.29,1.30,-0.28,1.62
26,EPS Diluted,1.18,1.45,2.03,1.28,1.29,-0.28,1.60
27,Weighted Average Shares Outstanding,178300000,178300000,178300000,178600000,171600000,169600000,168200000
28,Weighted Average Shares Outstanding Diluted,178300000,178300000,178300000,180800000,173000000,169600000,170100000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1720635/000172063519000008/0001720635-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063520000009/0001720635-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063521000013/0001720635-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1720635/000172063522000009/0001720635-22-000009-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,21500000,26900000,159000000,106400000,122500000,49500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,21500000,26900000,159000000,106400000,122500000,49500000
34,Net Receivables,- -,388100000,419200000,415300000,403700000,359400000,438100000
35,Inventory,- -,202200000,224100000,228200000,244700000,235200000,321900000
36,Other Current Assets,- -,45500000,62400000,44000000,43900000,47300000,102000000
37,Total Current Assets,- -,657300000,732600000,846500000,798700000,764400000,911500000
38,PP&E,- -,260200000,- -,- -,- -,335000000,291100000
39,Goodwill,- -,2222800000,2238200000,2234300000,2279100000,2098200000,2186700000
40,Intangible Assets,- -,1307100000,1236600000,1173300000,1160500000,1105500000,1143800000
41,Intangible Assets,- -,3529900000,3474800000,3407600000,3439600000,3203700000,3330500000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,40900000,29800000,- -
44,Other Non-Current Assets,- -,46400000,517600000,298600000,361100000,33200000,141100000
45,Total Non-Current Assets,- -,3836500000,3992400000,3706200000,3841600000,3601700000,3762700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4493800000,4725000000,4552700000,4640300000,4366100000,4674200000
48,Accounts Payable,- -,150100000,174100000,186400000,187100000,171100000,261000000
49,Short-Term Debt,- -,- -,- -,12500000,17500000,34200000,5000000
50,Tax Payable,- -,- -,- -,- -,- -,32800000,- -
51,Deferred Revenue,- -,6600000,9800000,13200000,13700000,11300000,- -
52,Other Current Liabilities,- -,161700000,207000000,249600000,243900000,233400000,370300000
53,Total Current Liabilities,- -,318400000,390900000,461700000,462200000,450000000,636300000
54,Long-Term Debt,- -,- -,- -,929200000,1047100000,963700000,994200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,470400000,279400000,224800000,237800000,230100000,210300000
57,Other Non-Current Liabilities,- -,219300000,263400000,249900000,300700000,312500000,337300000
58,Total Non-Current Liabilities,- -,689700000,542800000,1403900000,1585600000,1506300000,1541800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,48400000,49900000,- -
61,Total Liabilities,- -,1008100000,933700000,1865600000,2047800000,1956300000,2178100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3546300000,3848400000,1800000,1700000,1700000,- -
64,Retained Earnings,- -,- -,- -,83400000,186700000,20700000,- -
65,Other Comprehensive Income/Loss,- -,-346600000,-57000000,-108000000,-99000000,-95200000,-83000000
66,Other Total Stockholders Equity,- -,286000000,-100000,2709900000,2503100000,2482600000,- -
67,Total Stockholders Equity,- -,3485700000,3791300000,2687100000,2592500000,2409800000,2496100000
68,Total Liabilities And Stockholders Equity,- -,4493800000,4725000000,4552700000,4640300000,4366100000,4674200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4493800000,4725000000,4552700000,4640300000,4366100000,4674200000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1720635/000172063519000008/0001720635-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063520000009/0001720635-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063521000013/0001720635-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1720635/000172063522000009/0001720635-22-000009-index.htm
